Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"22,139,000","26,912,000","508,000",0,"30,986,000","112,298","528,382","3,758,366","5,553,518","54,923,633","96,608,396","105,940,065","82,389,937"
Investments,"7,780,000","12,619,000",0,"123,711,879","101,067,245","653,252,675","729,394,726","728,618,473","774,195,323","103,531,797","128,731,330","60,598,356","145,818,504"
Cash in Hand and Bank,"6,763,000","43,315,000","78,795,000","4,142,300","34,183,522","3,808,470","3,697,153","8,053,871","66,639,368","170,254,633","116,780,993","140,197,684","72,892,124"
Stores and Spares,0,0,0,0,0,"372,583","399,443","497,018","95,353","1,133,295","1,251,425","998,306","314,166"
Stock in Trade,"335,526,000","77,824,000",0,0,0,"10,605,101","25,353,203","27,730,247","43,562,366","269,940,092","215,865,454","230,135,219","208,850,700"
Trade Debts,"68,360,000","199,247,000","103,836,000",0,0,"1,462,272","2,544,860","6,351,937","76,266,688","116,686,238","111,492,786","112,097,321","78,626,250"
Current Assets,"534,497,000","548,594,000","307,549,000","179,109,143","189,497,351","740,013,468","849,045,760","872,711,478","1,128,995,238","753,871,827","660,151,126","613,307,301","540,163,803"
Quick Assets,"198,971,000","470,770,000","307,549,000","179,109,143","189,497,351","729,035,784","823,293,114","844,484,213","1,085,337,519","482,798,440","443,034,247","382,173,776","330,998,937"
Total Assets,"967,314,000","1,140,726,000","308,067,000","179,119,609","189,548,805","740,159,566","849,614,608","876,670,759","1,137,314,305","812,756,664","761,736,640","723,476,718","628,205,284"
Interest Bearing Long Term Liability,0,"3,682,000",0,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"3,902,000","3,759,500","3,309,500","2,904,500","2,354,500"
Interest Bearing Short Term Liability,0,"1,127,000",0,0,0,0,0,0,0,0,0,0,0
* Non Interest Bearing Short Term Liability,"79,450,000","92,237,000","58,659,000","4,669,679","5,595,629","4,777,792","6,848,354","20,026,785","231,322,688","410,094,985","384,347,803","360,006,618","239,982,579"
Trades Payables,"79,450,000","92,237,000","58,659,000","4,669,679","5,595,629","4,777,792","6,848,354","20,026,785","231,322,688","385,058,018","365,482,396","348,504,592","226,156,181"
Total Current Liabilities,"85,248,000","100,612,000","110,143,000","4,669,679","5,595,629","5,342,292","7,417,854","20,616,285","231,322,688","410,094,985","384,347,803","360,006,618","239,982,579"
Total Liabilities,"95,166,000","113,503,000","110,143,000","4,669,679","5,595,629","5,342,292","7,417,854","20,616,285","235,224,688","417,120,751","392,031,593","368,854,888","249,146,246"
Paid Up Capital,"311,431,000","249,145,000","94,349,000","94,348,800","94,348,800","94,348,800","94,348,800","94,348,800","94,348,800","94,348,800","94,348,800","94,348,800","78,624,000"
Reserves,"560,717,000","778,078,000","103,575,000","80,101,130","89,604,376","640,468,474","747,847,954","761,705,674","807,740,817","301,287,113","275,356,247","260,273,030","300,435,038"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"872,148,000","1,027,223,000","197,924,000","174,449,930","183,953,176","734,817,274","842,196,754","856,054,474","902,089,617","395,635,913","369,705,047","354,621,830","379,059,038"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"31,143,100","24,914,500","9,434,900","9,434,880","9,434,880","9,434,880","9,434,880","9,434,880","9,434,880","9,434,880","9,434,880","9,434,880","7,862,400"
