Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"394,428,000","1,243,965,000","157,241,000","599,501","11,013,416","30,352,452","41,539,424","28,248,196","22,184,996","1,340,896,454","1,241,271,858","1,035,616,536","1,085,373,013"
COGS,"309,444,000","789,311,000","125,658,000","486,653","11,691,777","22,721,659","28,172,048","18,790,716","14,203,792","1,072,179,459","979,018,743","779,506,351","755,532,282"
Gross Profit,"84,984,000","454,654,000","31,583,000","112,848","-678,361","7,630,793","13,367,376","9,457,480","7,981,204","268,716,995","262,253,115","256,110,185","329,840,731"
Administrative Expenses,"56,158,000","104,502,000","3,988,000","4,707,340","7,689,766","11,991,905","11,598,051","15,615,547","18,988,746","16,745,926","20,091,296","19,916,213","18,168,166"
Selling & Distributive Expenses,"62,386,000","26,465,000","164,000",0,"1,835,287","10,629,776","16,298,865","10,787,254","9,927,757","199,000,293","212,500,747","212,066,296","171,337,691"
Financial Charges,"3,046,000","2,269,000","1,115,000","85,771","386,061","35,204","169,819","62,061","66,641","1,784,875","1,647,203","6,181,721","1,636,159"
Other Income,"48,357,000","2,506,000","7,007,000","8,108,974","33,332,715","54,758,383","67,602,246","80,917,915","615,794,982","19,544,610","10,155,766","7,696,352","24,324,750"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"164,493,000","12,034,000",0,0,"371,195","11,290,078","1,245,039","1,697,735","29,509,301","7,352,301","6,184,234","11,403,166","21,215,006"
EBITDA,"-142,649,000","322,912,000","34,438,000","14,225,482","85,047,106","28,816,094","52,537,662","63,370,213","570,306,977","75,266,593","45,954,206","32,992,915","151,568,402"
EBIT,"-149,696,000","314,159,000","34,438,000","3,514,482","22,758,106","28,477,417","51,827,667","62,274,859","565,350,382","65,163,085","33,632,604","20,420,862","143,444,618"
EBT,"-152,742,000","311,890,000","33,323,000","3,428,711","22,372,045","28,442,213","51,657,848","62,212,798","565,283,741","63,378,210","31,985,401","14,239,141","141,808,459"
Tax,"2,476,000","59,537,000","9,668,000","3,097,159","7,949,233","7,374,950","6,937,353","-2,641,839","-4,264,343","23,821,396","16,902,184","10,357,253","44,990,537"
PAT,"-155,218,000","252,353,000","23,655,000","331,552","14,422,812","21,067,263","44,720,495","62,905,695","569,548,084","39,556,814","15,083,217","3,881,888","96,817,922"
EPS,-4.98,10.13,2.51,0.04,1.52,2.23,4.74,6.67,55.75,4.19,1.6,0.41,10.26
