Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"43,530,322,000","36,961,042,000","32,340,933,000","29,336,725,000","25,817,969,000","24,310,162,000","23,226,086,000","20,267,440,000","18,708,711,000","14,150,420,000","11,529,310,000","11,184,930,000","7,131,928,000"
COGS,"30,912,914,000","26,490,454,000","20,850,970,000","18,344,900,000","16,502,405,000","16,631,197,000","16,645,655,000","14,594,894,000","13,298,699,000","9,989,856,000","7,699,401,000","8,482,756,000","5,035,128,000"
Gross Profit,"12,617,408,000","10,470,588,000","11,489,963,000","10,991,825,000","9,315,564,000","7,678,965,000","6,580,431,000","5,672,546,000","5,410,012,000","4,160,564,000","3,829,909,000","2,702,174,000","2,096,800,000"
Administrative Expenses,"581,540,000","520,066,000","457,590,000","392,443,000","325,531,000","268,311,000","223,672,000","182,138,000","182,596,000","157,749,000","142,021,000","102,024,000","73,053,000"
Selling & Distributive Expenses,"5,503,832,000","5,132,341,000","6,392,044,000","5,803,719,000","4,870,647,000","4,214,248,000","3,811,056,000","3,120,036,000","2,825,054,000","2,115,193,000","1,846,098,000","1,345,967,000","981,933,000"
Financial Charges,"95,813,000","38,496,000","29,240,000","24,534,000","23,476,000","20,410,000","17,796,000","15,376,000","17,587,000","11,933,000","11,036,000","48,867,000","19,875,000"
Other Income,"1,000,208,000","613,160,000","467,233,000","459,509,000","416,927,000","361,719,000","140,728,000","89,154,000","62,192,000","72,573,000","89,644,000","53,297,000","118,259,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"724,664,000","428,655,000","410,310,000","397,171,000","336,846,000","262,926,000","209,036,000","181,301,000","206,472,000","164,081,000","156,206,000","112,508,000","119,189,000"
EBITDA,"7,619,073,000","5,821,642,000","5,383,953,000","5,441,630,000","4,749,195,000","3,814,213,000","2,936,664,000","2,668,571,000","2,598,480,000","1,993,934,000","1,924,551,000","1,337,357,000","1,151,350,000"
EBIT,"6,807,580,000","5,002,686,000","4,697,252,000","4,858,001,000","4,199,467,000","3,295,199,000","2,477,395,000","2,278,225,000","2,258,082,000","1,796,114,000","1,775,228,000","1,194,972,000","1,040,884,000"
EBT,"6,711,767,000","4,964,190,000","4,668,012,000","4,833,467,000","4,175,991,000","3,274,789,000","2,459,599,000","2,262,849,000","2,240,495,000","1,784,181,000","1,764,192,000","1,146,105,000","1,021,009,000"
Tax,"1,846,951,000","1,453,387,000","1,410,957,000","1,577,045,000","1,357,102,000","1,052,621,000","766,346,000","673,699,000","620,860,000","616,801,000","612,553,000","396,139,000","341,716,000"
PAT,"4,864,816,000","3,510,803,000","3,257,055,000","3,256,422,000","2,818,889,000","2,222,168,000","1,693,253,000","1,589,150,000","1,619,635,000","1,167,380,000","1,151,639,000","749,966,000","679,293,000"
EPS,84.54,61.01,67.92,67.91,58.78,46.34,35.31,36.45,44.58,36.95,41.92,31.4,28.44
