Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"5,096,317,000","5,156,510,000","4,782,451,000","1,816,165,000","1,649,727,000","1,382,840,000","1,454,469,000","1,336,465,000","943,213,000","453,600,000","369,619,000","393,807,000"
Investments,"469,080,000","154,567,000","475,518,000","870,516,000","511,999,000","369,300,000","15,931,000","12,874,000","6,553,000","1,991,000","2,040,000","55,494,000"
Cash in Hand and Bank,"15,022,000","13,139,000","8,638,000","15,428,000","17,515,000","10,484,000","18,491,000","20,540,000","31,447,000","8,770,000","7,264,000","7,905,000"
Stores and Spares,"322,853,000","306,095,000","172,085,000","94,530,000","82,909,000","64,857,000","59,948,000","48,492,000","32,277,000","12,882,000","13,072,000","14,220,000"
Stock in Trade,"2,622,464,000","3,128,554,000","2,009,317,000","1,494,637,000","1,342,482,000","896,013,000","1,105,924,000","1,171,125,000","771,357,000","878,155,000","386,135,000","700,688,000"
Trade Debts,"1,966,580,000","1,569,135,000","1,054,285,000","898,551,000","718,262,000","819,895,000","659,748,000","633,907,000","430,164,000","268,224,000","229,308,000","245,388,000"
Current Assets,"5,580,221,000","6,022,692,000","4,095,137,000","2,863,159,000","2,510,213,000","2,176,458,000","2,295,302,000","2,135,393,000","1,369,884,000","1,281,665,000","742,856,000","1,117,554,000"
Quick Assets,"2,634,904,000","2,588,043,000","1,913,735,000","1,273,992,000","1,084,822,000","1,215,588,000","1,129,430,000","915,776,000","566,250,000","390,628,000","343,649,000","402,646,000"
Total Assets,"11,160,731,000","11,351,443,000","9,368,674,000","5,566,394,000","4,684,714,000","3,942,289,000","3,806,716,000","3,561,474,000","2,432,938,000","1,790,220,000","1,120,962,000","1,516,070,000"
Interest Bearing Long Term Liability,"2,638,802,000","2,695,000,000","2,735,000,000","570,000,000","220,000,000","660,000,000","780,000,000","460,000,000","418,750,000","56,250,000","93,750,000","131,250,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,785,380,000","3,140,345,000","1,021,625,000","201,369,000","200,195,000","665,211,000","1,301,750,000","1,269,320,000","953,918,000","706,151,000","418,195,000","883,197,000"
* Non Interest Bearing Short Term Liability,"712,799,000","702,091,000","824,955,000","568,552,000","723,351,000","258,703,000","339,724,000","620,310,000","149,141,000","149,752,000","133,558,000","110,715,000"
Trades Payables,"534,434,000","506,202,000","752,240,000","546,806,000","714,568,000","225,905,000","286,813,000","577,535,000","95,167,000","115,785,000","114,615,000","74,825,000"
Total Current Liabilities,"3,511,290,000","3,851,719,000","1,854,740,000","775,432,000","927,448,000","926,596,000","1,641,474,000","1,889,630,000","1,103,059,000","855,903,000","551,753,000","993,912,000"
Total Liabilities,"6,386,327,000","6,885,205,000","4,852,669,000","1,549,517,000","1,368,423,000","1,743,324,000","2,421,474,000","2,349,630,000","1,521,809,000","912,153,000","647,321,000","1,137,794,000"
Paid Up Capital,"425,069,000","386,426,000","336,022,000","296,055,000","296,055,000","275,400,000","275,400,000","275,400,000","172,125,000","172,125,000","91,800,000","91,800,000"
Reserves,"4,349,335,000","4,079,812,000","4,179,983,000","3,720,822,000","3,020,236,000","1,923,565,000","1,109,842,000","936,444,000","739,004,000","705,942,000","381,841,000","286,476,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"4,774,404,000","4,466,238,000","4,516,005,000","4,016,877,000","3,316,291,000","2,198,965,000","1,385,242,000","1,211,844,000","911,129,000","878,067,000","473,641,000","378,276,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"42,506,900","38,642,600","33,602,200","29,605,500","29,605,500","27,540,000","27,540,000","27,540,000","17,212,500","17,212,500","9,180,000","9,180,000"
