Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"9,436,193,000","8,093,407,000","7,091,653,000","6,443,932,000","6,888,605,000","6,223,832,000","5,355,792,000","4,129,334,000","3,256,878,000","2,471,964,000","1,985,235,000","2,060,614,000"
COGS,"8,262,464,000","6,692,758,000","5,993,321,000","5,187,454,000","5,306,538,000","4,916,581,000","4,749,192,000","3,692,801,000","2,978,650,000","2,168,243,000","1,749,546,000","1,919,207,000"
Gross Profit,"1,173,729,000","1,400,649,000","1,098,332,000","1,256,478,000","1,582,067,000","1,307,251,000","606,600,000","436,533,000","278,228,000","303,721,000","235,689,000","141,407,000"
Administrative Expenses,"95,009,000","93,958,000","75,475,000","62,145,000","48,477,000","40,980,000","36,752,000","31,646,000","24,959,000","21,181,000","15,050,000","11,694,000"
Selling & Distributive Expenses,"164,781,000","129,294,000","98,022,000","117,198,000","84,536,000","72,739,000","57,840,000","54,865,000","39,401,000","29,639,000","25,026,000","20,253,000"
Financial Charges,"783,503,000","506,554,000","128,262,000","64,118,000","72,404,000","210,153,000","226,009,000","156,953,000","154,653,000","71,221,000","96,428,000","176,748,000"
Other Income,"21,631,000","29,978,000","28,971,000","20,508,000","29,018,000","6,828,000","4,524,000","4,389,000","4,260,000","2,964,000","4,302,000","10,233,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"53,389,000","40,741,000","60,661,000","60,582,000","97,677,000","67,572,000","21,722,000","22,063,000","9,984,000","18,833,000","8,045,000","1,296,000"
EBITDA,"1,223,566,000","1,464,759,000","1,085,413,000","1,182,976,000","1,495,820,000","1,225,744,000","585,735,000","398,596,000","261,080,000","269,570,000","224,815,000","138,477,000"
EBIT,"882,181,000","1,166,634,000","893,145,000","1,037,061,000","1,380,395,000","1,132,788,000","494,810,000","332,348,000","208,144,000","237,032,000","191,870,000","118,397,000"
EBT,"98,678,000","660,080,000","764,883,000","972,943,000","1,307,991,000","922,635,000","268,801,000","175,395,000","53,491,000","165,811,000","95,442,000","-58,351,000"
Tax,"28,443,000","97,207,000","53,804,000","270,894,000","389,752,000","271,224,000","17,315,000","56,826,000","-18,040,000","-21,644,000","-877,000","-23,140,000"
PAT,"70,235,000","562,873,000","711,079,000","702,049,000","918,239,000","651,411,000","251,486,000","118,569,000","71,531,000","187,455,000","96,319,000","-35,211,000"
EPS,1.65,14.57,21.79,23.71,31.55,23.65,9.13,5.42,4.16,10.89,10.49,-3.84
