Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,60.52,34.33,33.08,40.06,32.24,29.59,32.85,46.45,36.09,22.95,19.06,0.00
Plow Back,39.48,65.67,66.92,59.94,67.76,70.41,67.14,53.55,63.91,77.05,80.94,100.00
Return on Equity,1.47,12.60,15.75,17.48,27.69,29.62,18.16,9.78,7.85,21.35,20.34,-9.31
Return on Assets,0.63,4.96,7.59,12.61,19.60,16.52,6.61,3.33,2.94,10.47,8.59,-2.32
Book Value per Share,112.32,115.58,134.40,135.68,112.02,79.85,50.30,44.00,52.93,51.01,51.59,41.21
Earning Per Share,1.65,14.57,21.79,23.71,31.55,23.65,9.13,5.42,4.16,10.89,10.49,-3.84
Net Working Capital to Total Asseets,0.19,0.19,0.24,0.38,0.34,0.32,0.17,0.07,0.11,0.24,0.17,0.08
Current Ratio,1.59,1.56,2.21,3.69,2.71,2.35,1.40,1.13,1.24,1.50,1.35,1.12
Acid Test,0.75,0.67,1.03,1.64,1.17,1.31,0.69,0.48,0.51,0.46,0.62,0.41
Times Interest Earned,1.13,2.30,6.96,16.17,19.07,5.39,2.19,2.12,1.35,3.33,1.99,0.67
Total Debt Ratio,0.57,0.61,0.52,0.28,0.29,0.44,0.64,0.66,0.63,0.51,0.58,0.75
Debt To Equity,1.34,1.54,1.07,0.39,0.41,0.79,1.75,1.94,1.67,1.04,1.37,3.01
Return on Capital Employed,0.12,0.16,0.12,0.22,0.37,0.38,0.23,0.20,0.16,0.25,0.34,0.23
Average Collection Period,76.07,70.77,54.26,50.90,38.06,48.08,44.96,56.03,48.21,39.60,42.16,43.47
Days sales Inventory,130.11,187.31,132.85,111.82,98.04,71.33,89.60,120.55,98.48,150.00,83.28,135.96
Total Assets Turnover,0.85,0.71,0.76,1.16,1.47,1.58,1.41,1.16,1.34,1.38,1.77,1.36
Gross Profit Margin,12.44,17.31,15.49,19.50,22.97,21.00,11.33,10.57,8.54,12.29,11.87,6.86
Net Profit Margin,0.74,6.96,10.03,10.89,13.33,10.47,4.70,2.87,2.20,7.58,4.85,-1.71
