Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"3,822,202,000","4,066,515,000","7,043,787,000","10,208,644,000","7,412,035,000","2,101,564,000","4,031,570,000","5,001,667,000","3,942,869,000","4,402,706,000","3,704,388,000","3,310,869,000","4,200,205,000"
COGS,"3,771,306,000","3,846,126,000","6,232,466,000","8,349,794,000","5,269,059,000","2,069,070,000","3,801,268,000","4,350,877,000","3,434,086,000","3,592,487,000","2,887,295,000","2,597,190,000","3,303,807,000"
Gross Profit,"50,896,000","220,389,000","811,321,000","1,858,850,000","2,142,976,000","32,494,000","230,302,000","650,790,000","508,783,000","810,219,000","817,093,000","713,679,000","896,398,000"
Administrative Expenses,"245,226,000","188,325,000","173,036,000","286,750,000","283,103,000","166,752,000","165,111,000","173,168,000","163,942,000","157,292,000","159,134,000","126,630,000","135,705,000"
Selling & Distributive Expenses,"13,324,000","14,785,000","17,852,000","31,024,000","15,497,000","27,247,000","52,072,000","68,077,000","46,098,000","38,806,000","27,017,000","17,156,000","15,262,000"
Financial Charges,"308,939,000","244,282,000","231,319,000","187,273,000","243,780,000","80,666,000","84,146,000","62,903,000","109,514,000","143,172,000","121,908,000","203,571,000","153,018,000"
Other Income,"424,778,000","280,544,000","667,179,000","448,721,000","136,230,000","334,261,000","518,780,000","874,099,000","199,445,000","223,011,000","189,899,000","38,970,000","19,573,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"25,958,000","28,646,000","84,890,000","410,821,000","421,253,000","29,319,000","68,746,000","134,023,000","65,806,000","68,050,000","101,420,000","175,200,000","109,744,000"
EBITDA,"416,959,000","384,665,000","1,308,437,000","1,682,022,000","1,675,519,000","254,793,000","562,952,000","1,240,403,000","549,825,000","941,941,000","903,686,000","278,361,000","955,248,000"
EBIT,"191,166,000","269,177,000","1,202,722,000","1,578,976,000","1,559,353,000","143,437,000","463,153,000","1,149,621,000","432,382,000","769,082,000","719,421,000","98,500,000","779,640,000"
EBT,"-117,773,000","24,895,000","971,403,000","1,391,703,000","1,315,573,000","62,771,000","379,007,000","1,086,718,000","322,868,000","625,910,000","597,513,000","-105,071,000","626,622,000"
Tax,"-100,649,000","-118,581,000","219,653,000","379,268,000","348,437,000","-43,651,000","18,819,000","270,978,000","-18,906,000","194,121,000","180,966,000","134,678,000","210,941,000"
PAT,"-17,124,000","143,476,000","751,750,000","1,012,435,000","967,136,000","106,422,000","360,188,000","815,740,000","341,774,000","431,789,000","416,547,000","-239,749,000","415,681,000"
EPS,-0.22,1.85,9.68,13.04,12.97,1.71,5.8,14.45,6.05,7.65,7.38,-4.25,7.36
