Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,0.00,0.00,20.65,40.26,40.13,40.85,43.11,24.23,33.04,45.77,40.66,0.00,37.04
Plow Back,100.00,100.00,79.35,59.74,59.87,59.15,56.89,75.78,66.96,54.23,59.34,100.00,62.96
Return on Equity,-0.31,2.66,11.18,14.85,16.65,2.63,8.99,20.91,11.02,15.01,15.88,-9.42,13.88
Return on Assets,-0.18,1.73,7.46,8.31,10.20,1.97,7.61,16.96,8.19,10.65,9.39,-5.83,8.58
Book Value per Share,70.18,69.48,86.61,87.85,74.81,65.22,57.99,69.08,54.93,50.94,46.45,45.09,58.33
Earning Per Share,-0.22,1.85,9.68,13.04,12.97,1.71,5.80,14.45,6.05,7.65,7.38,-4.25,7.36
Net Working Capital to Total Asseets,0.05,0.06,0.12,0.17,0.15,0.08,0.18,0.23,0.20,0.17,0.08,0.07,0.15
Current Ratio,1.11,1.19,1.42,1.44,1.45,1.40,2.27,2.28,1.80,1.61,1.22,1.22,1.45
Acid Test,0.53,0.79,0.85,0.84,0.72,1.25,1.54,1.43,1.18,0.80,0.58,0.72,1.01
Times Interest Earned,0.62,1.10,5.20,8.43,6.40,1.78,5.50,18.28,3.95,5.37,5.90,0.48,5.10
Total Debt Ratio,0.44,0.35,0.33,0.44,0.39,0.25,0.15,0.19,0.26,0.29,0.41,0.38,0.38
Debt To Equity,0.77,0.54,0.50,0.79,0.63,0.33,0.18,0.23,0.35,0.41,0.69,0.61,0.62
Return on Capital Employed,0.03,0.05,0.17,0.21,0.25,0.03,0.11,0.29,0.14,0.26,0.27,0.04,0.24
Average Collection Period,21.56,8.65,5.54,23.73,15.90,15.27,8.10,14.37,34.15,12.03,27.28,9.25,10.31
Days sales Inventory,222.60,95.58,100.24,124.58,157.83,27.29,46.01,62.17,69.36,92.13,139.00,98.40,75.51
Total Assets Turnover,0.40,0.49,0.70,0.84,0.78,0.39,0.85,1.04,0.95,1.09,0.84,0.81,0.87
Gross Profit Margin,1.33,5.42,11.52,18.21,28.91,1.55,5.71,13.01,12.90,18.40,22.06,21.56,21.34
Net Profit Margin,-0.45,3.53,10.67,9.92,13.05,5.06,8.93,16.31,8.67,9.81,11.24,-7.24,9.90
