Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"167,161,473","165,578,592","238,140,354","188,473,884","78,060,666","269,997,134","14,679,869","21,970,755","24,105,918","29,739,152","35,219,607"
Fixed Assets,"16,291,707","19,781,656","21,738,159","17,736,996","21,047,823","17,277,566","11,102,946","39,077,737","41,688,594","42,640,950","44,481,253"
Other Non Current Assets,"813,715,706","755,894,256","16,260,178","13,543,178","13,543,178","13,543,178","13,543,178","18,543,178","13,652,316","13,729,355","14,309,845"
Cash in Hand and Bank,"73,886,978","73,138,809","57,570,630","58,368,472","11,752,638","4,140,093","6,954,075","8,665,555","10,456,763","15,068,289","18,061,687"
Other Current Assets,"183,715,487","165,199,773","907,196,384","731,000,199","713,816,661","269,884,585","118,542,644","87,767,021","112,474,213","113,428,084","125,703,839"
Total Assets,"1,254,771,351","1,179,593,086","1,240,905,705","1,009,122,729","838,220,966","574,842,556","164,822,712","176,024,246","202,377,804","214,605,830","237,776,231"
Under Writing Provisions,"114,605,364","109,008,893","123,755,860","143,196,943","185,975,204","159,549,937","61,305,719","59,737,402","71,127,678","79,203,258","107,219,324"
Creditors and Accruals,"161,040,337","133,440,664","125,516,564","201,166,469","136,397,222","62,481,192","14,350,398","28,586,932","25,388,064","30,968,029","29,866,391"
Other Liabilites,"5,013,650","9,986,264","4,112,759","418,209","5,772,971","418,209","418,209","418,208","418,208","418,209","418,209"
Total Liabilities,"280,659,351","252,435,821","253,385,183","344,781,621","328,145,397","222,449,338","76,074,326","88,742,542","96,933,950","110,589,496","137,503,924"
Paid Up Capital,"1,076,950,410","1,076,950,410","826,833,330","826,833,330","620,125,000","620,125,000","121,000,000","121,000,000","121,000,000","121,000,000","121,000,000"
Reserves,"-102,838,410","-149,793,145","160,687,192","-162,492,222","-186,049,431","-267,731,782","-32,251,614","-54,825,797","-36,663,645","-38,091,167","-41,835,193"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"974,112,000","927,157,265","987,520,522","664,341,108","510,075,569","352,393,218","88,748,386","87,281,703","105,443,855","104,016,333","100,272,307"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"107,695,041","107,695,041","82,683,333","82,683,333","62,012,500","62,012,500","12,100,000","12,100,000","12,100,000","12,100,000","12,100,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,"21,107,500","21,107,500","21,107,500","21,107,500"
