Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Long Term Loans & Advances,"5,945,000","6,782,000","8,654,000","10,633,000","12,485,000",0,0,0,0,0,0,0
Investments,"2,946,320,000","2,367,523,000","2,108,946,000","2,440,890,000","3,612,508,000","2,825,317,000","4,780,356,000","5,383,322,000","4,533,865,000","2,947,025,000","3,927,349,000","3,249,876,000"
Fixed Assets,"28,074,000","39,236,000","13,405,000","14,951,000","13,751,000","15,593,000","17,644,000","20,237,000","22,393,000","1,586,000","1,931,000","2,540,000"
Cash in Hand and Bank,"7,803,000","1,869,000","9,570,000","5,269,000","906,000","159,891,000","21,844,000","17,835,000","13,494,000","19,230,000","8,296,000","65,136,000"
Current Assets,0,"2,349,512,000","2,167,909,000","2,468,270,000","3,632,542,000",0,0,0,0,0,0,0
Total Assets,"3,004,370,000","2,521,702,000","2,264,085,000","2,546,226,000","3,659,044,000","3,032,369,000","4,886,548,000","5,507,511,000","4,638,820,000","3,202,647,000","4,064,279,000","3,448,921,000"
Total Non Current Liabilities,"36,382,000","26,501,000","15,281,000","12,237,000","24,331,000",0,0,0,0,0,0,0
Total Current Liabilities,"515,630,000","378,871,000","414,674,000","263,896,000","462,110,000",0,0,0,0,0,0,0
Total Liabilities,"552,012,000","405,372,000","429,955,000","276,133,000","486,441,000","517,232,000","296,035,000","196,219,000","174,412,000","48,544,000","179,752,000","155,731,000"
Paid Up Capital,"615,591,000","586,277,000","586,277,000","586,277,000","586,277,000","586,277,000","586,277,000","586,277,000","586,277,000","390,851,000","279,179,000","203,039,000"
Reserves,"1,162,044,000","890,489,000","791,076,000","1,155,444,000","1,839,445,000","1,508,423,000","3,664,849,000","4,526,865,000","3,878,131,000","2,725,582,000","3,076,639,000","3,090,151,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"2,452,358,000","2,116,330,000","1,834,130,000","2,270,093,000","3,172,603,000","2,515,137,000","4,590,513,000","5,311,292,000","4,464,408,000","3,154,103,000","3,884,527,000","3,293,190,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"61,559,100","58,627,700","58,627,700","58,627,700","58,627,722","58,627,722","58,627,722","58,627,722","58,627,722","39,085,148","27,917,963","20,303,973"
Surplus On Revaluation of Assets,"674,723,000","639,564,000","456,777,000","528,372,000","746,881,000","420,437,000","339,387,000","198,150,000",0,"37,670,000","528,709,000",0
