Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Net Working Capital to Total Asseets,-0.17,0.78,0.77,0.87,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Current Ratio,0.00,6.20,5.23,9.35,7.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Interest Earn,12.13,9.28,-13.36,-35.65,57.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Capital Employed,0.21,0.05,-0.11,-0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Payout,86.15,59.86,-67.21,0.00,41.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,13.85,40.14,167.21,100.00,58.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Equity,14.57,4.63,-11.89,-23.70,22.42,13.32,19.58,22.14,31.99,-5.83,2.71,-25.97
Return on Assets,11.89,3.88,-9.63,-21.13,19.44,11.05,18.39,21.35,30.79,-5.75,2.59,-24.79
Book Value per Share,39.84,36.10,31.28,38.72,54.11,42.90,78.30,90.59,76.15,80.70,139.14,162.19
Earning Per Share,5.80,1.67,-3.72,-9.17,12.13,5.71,15.33,20.06,24.36,-5.06,2.77,-30.63
