Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,"1,577,445,000","1,809,262,000","1,764,624,000","1,788,130,000","1,825,691,000","1,459,560,000","1,508,224,000","1,301,522,000","1,296,736,000","290,337,000","345,066,000"
Investments,"34,260,000","36,799,000","39,338,000","41,877,000","44,416,000","46,961,000","49,513,000",0,"2,614,000","14,031,000","14,771,000"
Cash in Hand and Bank,"25,010,000","30,310,000","23,935,000","36,668,000","13,339,000","15,712,000","6,694,000","17,782,000","4,676,000","4,741,000","38,001,000"
Stores and Spares,"50,669,000","45,491,000","36,511,000","36,541,000","35,461,000","33,633,000","34,694,000","33,147,000","34,275,000","37,705,000","48,101,000"
Stock in Trade,"597,668,000","654,276,000","815,537,000","714,275,000","518,289,000","561,514,000","556,245,000","982,607,000","796,422,000","626,914,000","783,211,000"
Trade Debts,"268,897,000","348,689,000","184,711,000","137,409,000","118,458,000","80,926,000","130,036,000","161,080,000","126,616,000","151,312,000","110,200,000"
Current Assets,"1,606,893,000","1,411,721,000","1,453,623,000","1,271,611,000","982,810,000","947,512,000","952,769,000","1,468,540,000","1,200,018,000","931,229,000","1,062,017,000"
Quick Assets,"958,556,000","711,954,000","601,575,000","520,795,000","429,060,000","352,365,000","361,830,000","452,786,000","369,321,000","266,610,000","230,705,000"
Total Assets,"3,406,799,000","3,376,254,000","3,330,519,000","3,185,380,000","2,954,393,000","2,588,445,000","2,648,662,000","2,881,060,000","2,598,048,000","1,246,781,000","1,438,006,000"
Interest Bearing Long Term Liability,"84,442,000","72,574,000","57,430,000","81,102,000","160,320,000","117,554,000","237,256,000","88,889,000",0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"1,206,045,000","1,397,684,000","1,308,971,000","1,242,650,000","1,008,500,000","961,345,000","960,573,000","835,401,000","676,613,000","200,547,000","356,521,000"
* Non Interest Bearing Short Term Liability,"1,100,706,000","774,936,000","656,187,000","560,551,000","487,464,000","519,422,000","548,664,000","875,962,000","828,317,000","538,115,000","538,069,000"
Trades Payables,"1,033,279,000","734,705,000","633,871,000","538,937,000","459,566,000","494,474,000","515,064,000","854,271,000","810,058,000","527,147,000","524,341,000"
Total Current Liabilities,"2,341,817,000","2,194,357,000","1,987,066,000","1,811,896,000","1,530,689,000","1,552,658,000","1,519,932,000","1,711,363,000","1,504,930,000","738,662,000","894,590,000"
Total Liabilities,"2,483,749,000","2,269,363,000","2,051,790,000","1,905,152,000","1,691,009,000","1,670,212,000","1,757,188,000","1,800,252,000","1,504,930,000","740,578,000","917,127,000"
Paid Up Capital,"107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000","107,640,000"
Reserves,"-378,866,000","-42,131,000","131,205,000","108,358,000","67,169,000","44,275,000","3,062,000","177,942,000","175,798,000","398,563,000","413,239,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,194,276,000","1,041,382,000","1,039,885,000","1,064,230,000","1,088,575,000","766,318,000","780,772,000","795,226,000","809,680,000",0,0
Shareholder Equity,"923,050,000","1,106,891,000","1,278,730,000","1,280,228,000","1,263,384,000","918,233,000","891,474,000","1,080,808,000","1,093,118,000","506,203,000","520,879,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"10,764,000","10,764,000","10,764,000","10,763,959","10,763,959","10,763,959","10,763,959","10,763,959","10,763,959","10,763,959","10,763,959"
