Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Sales,"2,374,110,000","2,813,520,000","2,921,715,000","2,391,591,000","2,163,119,000","2,174,731,000","1,915,705,000","2,374,266,000","2,469,834,000","2,086,451,000","2,101,734,000"
COGS,"2,139,045,000","2,492,215,000","2,462,941,000","1,964,982,000","1,782,094,000","1,716,151,000","1,762,605,000","1,861,293,000","2,116,349,000","1,680,378,000","1,635,833,000"
Gross Profit,"235,065,000","321,305,000","458,774,000","426,609,000","381,025,000","458,580,000","153,100,000","512,973,000","353,485,000","406,073,000","465,901,000"
Administrative Expenses,"143,056,000","151,581,000","148,388,000","127,969,000","117,773,000","105,060,000","175,395,000","236,657,000","201,660,000","102,987,000","121,580,000"
Selling & Distributive Expenses,"141,402,000","170,966,000","145,287,000","134,850,000","103,827,000","96,671,000","150,870,000","222,014,000","292,434,000","281,455,000","268,019,000"
Financial Charges,"213,533,000","178,715,000","121,530,000","117,741,000","126,376,000","139,261,000","147,873,000","120,485,000","68,887,000","57,348,000","74,243,000"
Other Income,"55,263,000","82,049,000","63,633,000","46,393,000","59,251,000","33,049,000","109,428,000","88,976,000","372,143,000","37,457,000","38,525,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"164,608,000","97,628,000","48,616,000","28,432,000","22,450,000","85,017,000","16,447,000","23,030,000","70,035,000","11,289,000","20,600,000"
EBITDA,"-70,506,000","65,761,000","266,163,000","273,256,000","275,032,000","274,322,000","-15,644,000","181,277,000","222,608,000","113,963,000","164,560,000"
EBIT,"-158,738,000","-16,821,000","180,116,000","181,751,000","196,226,000","204,881,000","-80,184,000","120,248,000","161,499,000","47,799,000","94,227,000"
EBT,"-372,271,000","-195,536,000","58,586,000","64,010,000","69,850,000","65,620,000","-228,057,000","-237,000","92,612,000","-9,549,000","19,984,000"
Tax,"-10,752,000","-8,000","53,304,000","47,166,000","69,651,000","38,861,000","-38,723,000","12,073,000","-21,505,000","9,401,000","9,968,000"
PAT,"-361,519,000","-195,528,000","5,282,000","16,844,000","199,000","26,759,000","-189,334,000","-12,310,000","114,117,000","-18,950,000","10,016,000"
EPS,-33.59,-18.16,0.49,1.56,0.02,2.48,-17.59,-1.14,10.6,-1.76,0.93
