Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,0.00,0.00,40.76,38.34,0.00,0.00,0.00,0.00,549.91,0.00,0.00
Plow Back,100.00,100.00,59.24,61.66,100.00,100.00,100.00,100.00,-449.91,100.00,100.00
Return on Equity,-39.17,-17.66,0.41,1.32,0.02,2.91,-21.24,-1.14,10.44,-3.74,1.92
Return on Assets,-10.61,-5.79,0.16,0.53,0.01,1.03,-7.15,-0.43,4.39,-1.52,0.70
Book Value per Share,85.75,102.83,118.80,118.94,117.37,85.31,82.82,100.41,101.55,47.03,48.39
Earning Per Share,-33.59,-18.16,0.49,1.56,0.02,2.48,-17.59,-1.14,10.60,-1.76,0.93
Net Working Capital to Total Asseets,-0.22,-0.23,-0.16,-0.17,-0.19,-0.23,-0.21,-0.08,-0.12,0.15,0.12
Current Ratio,0.69,0.64,0.73,0.70,0.64,0.61,0.63,0.86,0.80,1.26,1.19
Acid Test,0.41,0.32,0.30,0.29,0.28,0.23,0.24,0.26,0.25,0.36,0.26
Times Interest Earned,-0.74,-0.09,1.48,1.54,1.55,1.47,-0.54,1.00,2.34,0.83,1.27
Total Debt Ratio,0.73,0.67,0.62,0.60,0.57,0.65,0.66,0.62,0.58,0.59,0.64
Debt To Equity,2.69,2.05,1.60,1.49,1.34,1.82,1.97,1.67,1.38,1.46,1.76
Return on Capital Employed,-0.15,-0.01,0.13,0.13,0.14,0.20,-0.07,0.10,0.15,0.09,0.17
Average Collection Period,41.34,45.24,23.07,20.97,19.99,13.58,24.78,24.76,18.71,26.47,19.14
Days sales Inventory,110.63,102.48,126.27,139.47,113.42,126.58,122.37,199.19,143.27,144.36,185.49
Total Assets Turnover,0.70,0.83,0.88,0.75,0.73,0.84,0.72,0.82,0.95,1.67,1.46
Gross Profit Margin,9.90,11.42,15.70,17.84,17.61,21.09,7.99,21.61,14.31,19.46,22.17
Net Profit Margin,-15.23,-6.95,0.18,0.70,0.01,1.23,-9.88,-0.52,4.62,-0.91,0.48
