Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"26,865,212,000","26,791,269,000","27,017,233,000","22,121,310,000","21,291,521,000","20,653,656,000","19,448,417,000","19,491,501,000","19,311,801,000","19,679,623,000","20,015,133,000","19,927,245,000"
Investments,"291,000","9,551,000","48,234,000","32,307,000","23,620,000","10,551,000","8,545,000","4,401,000","1,410,000","1,473,000","2,172,000","4,656,000"
Cash in Hand and Bank,"71,018,000","98,485,000","122,722,000","203,001,000","328,880,000","149,722,000","64,067,000","125,785,000","71,787,000","60,016,000","122,311,000","132,572,000"
Stores and Spares,"1,322,484,000","1,515,203,000","1,221,964,000","1,244,429,000","834,095,000","652,081,000","522,930,000","457,303,000","383,699,000","336,016,000","379,892,000","397,500,000"
Stock in Trade,"471,698,000","828,195,000","697,138,000","593,925,000","765,142,000","653,149,000","671,008,000","240,131,000","149,471,000","120,024,000","384,169,000","127,802,000"
Trade Debts,"313,952,000","293,660,000","245,463,000","523,420,000","575,669,000","600,920,000","441,664,000","417,830,000","409,929,000","347,983,000","316,485,000","715,855,000"
Current Assets,"2,889,561,000","3,310,800,000","3,125,579,000","3,194,112,000","3,236,793,000","2,611,346,000","2,102,776,000","1,504,627,000","1,236,236,000","1,132,873,000","1,510,001,000","1,608,832,000"
Quick Assets,"1,095,379,000","967,402,000","1,206,477,000","1,355,758,000","1,637,556,000","1,306,116,000","908,838,000","807,193,000","703,066,000","676,833,000","745,940,000","1,083,530,000"
Total Assets,"29,895,176,000","30,247,170,000","30,267,464,000","25,434,769,000","24,638,612,000","23,369,521,000","21,597,468,000","21,041,362,000","20,591,527,000","20,869,466,000","21,596,724,000","21,611,087,000"
Interest Bearing Long Term Liability,"122,207,000","241,267,000","3,468,974,000","3,635,427,000","4,622,892,000","4,650,367,000","5,061,183,000","4,036,638,000","4,050,209,000","4,942,019,000","5,137,819,000","5,769,189,000"
Non Interest Bearing Long Term Liability,0,0,"1,894,032,000","1,572,784,000","1,077,138,000","974,791,000","754,843,000","776,355,000","767,695,000","922,284,000","445,222,000","445,222,000"
Interest Bearing Short Term Liability,"2,609,429,000","2,609,429,000","2,591,145,000","2,600,372,000","2,680,958,000","2,762,355,000","2,691,262,000","3,547,149,000","3,548,178,000","3,006,656,000","2,407,789,000","1,862,043,000"
* Non Interest Bearing Short Term Liability,"2,356,485,000","2,541,209,000","2,699,065,000","2,032,949,000","2,559,983,000","2,874,252,000","2,805,301,000","2,866,193,000","2,743,748,000","2,701,782,000","2,702,672,000","2,222,532,000"
Trades Payables,"1,563,824,000","1,748,548,000","1,727,768,000","1,054,928,000","1,522,683,000","1,835,289,000","1,766,338,000","1,827,230,000","1,704,785,000","1,653,861,000","1,624,625,000","1,649,766,000"
Total Current Liabilities,"5,127,910,000","5,296,081,000","5,362,287,000","4,770,678,000","5,340,423,000","5,699,795,000","5,572,038,000","6,459,736,000","6,373,406,000","5,708,438,000","5,110,461,000","4,084,575,000"
Total Liabilities,"12,878,064,000","12,981,362,000","13,889,572,000","12,311,559,000","12,993,857,000","13,596,628,000","13,409,028,000","13,174,145,000","13,026,428,000","13,195,843,000","13,366,975,000","13,287,677,000"
Paid Up Capital,"4,841,133,000","4,841,133,000","4,841,133,000","4,841,133,000","4,341,133,000","3,891,133,000","3,891,133,000","3,891,133,000","3,891,133,000","3,573,750,000","3,573,750,000","3,573,750,000"
Reserves,"6,043,059,000","6,122,758,000","4,996,791,000","3,578,723,000","2,467,321,000","1,150,327,000","588,450,000","138,870,000","-301,423,000","54,349,000","648,287,000","734,720,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"6,132,920,000","6,301,917,000","6,539,968,000","4,703,354,000","4,836,301,000","4,731,433,000","3,708,857,000","3,837,214,000","3,975,389,000","4,045,524,000","4,007,712,000","4,014,940,000"
Shareholder Equity,"17,017,112,000","17,265,808,000","16,377,892,000","13,123,210,000","11,644,755,000","9,772,893,000","8,188,440,000","7,867,217,000","7,565,099,000","7,673,623,000","8,229,749,000","8,323,410,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"484,113,300","484,113,300","484,113,343","484,113,343","434,113,343","389,113,343","389,113,343","389,113,343","389,113,343","357,375,000","357,375,000","357,375,000"
