Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"12,054,025,000","13,473,483,000","12,856,279,000","12,879,095,000","11,245,246,000","9,963,458,000","8,657,569,000","7,046,551,000","5,088,836,000","3,494,784,000","5,682,571,000","4,598,002,000"
COGS,"10,826,727,000","11,355,978,000","10,322,230,000","10,232,405,000","9,656,597,000","8,834,554,000","7,690,157,000","6,173,868,000","5,145,286,000","3,800,662,000","5,249,197,000","4,706,326,000"
Gross Profit,"1,227,298,000","2,117,505,000","2,534,049,000","2,646,690,000","1,588,649,000","1,128,904,000","967,412,000","872,683,000","-56,450,000","-305,878,000","433,374,000","-108,324,000"
Administrative Expenses,"701,220,000","688,686,000","684,937,000","546,594,000","437,743,000","389,151,000","385,880,000","314,523,000","202,737,000","180,579,000","157,534,000","246,815,000"
Selling & Distributive Expenses,"139,089,000","206,194,000","261,854,000","301,217,000","324,000,000","231,626,000","90,539,000","74,446,000","81,652,000","120,332,000","192,475,000","94,741,000"
Financial Charges,"20,742,000","21,789,000","25,571,000","21,677,000","43,864,000","22,036,000","14,473,000","27,266,000","10,854,000","11,153,000","463,191,000","325,142,000"
Other Income,"3,551,000","200,131,000","128,029,000","297,432,000","19,458,000","68,206,000","11,891,000","7,007,000","17,217,000","3,046,000","30,945,000","281,025,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"91,334,000","153,311,000","120,128,000","162,800,000","70,636,000","70,974,000","65,963,000","39,544,000","4,085,000","4,589,000","27,609,000","88,325,000"
EBITDA,"1,067,280,000","2,136,439,000","2,289,066,000","2,517,851,000","1,306,147,000","940,838,000","866,172,000","831,242,000","40,973,000","-319,331,000","554,405,000","282,853,000"
EBIT,"299,206,000","1,269,445,000","1,595,159,000","1,933,511,000","775,728,000","505,359,000","436,921,000","451,177,000","-327,707,000","-608,332,000","86,701,000","-257,180,000"
EBT,"278,464,000","1,247,656,000","1,569,588,000","1,911,834,000","731,864,000","483,323,000","422,448,000","423,911,000","-338,561,000","-619,485,000","-376,490,000","-582,322,000"
Tax,"553,768,000","345,414,000","263,797,000","411,893,000","22,196,000","45,881,000","36,024,000","40,769,000","24,310,000","3,279,000","-213,282,000","-83,185,000"
PAT,"-275,304,000","902,242,000","1,305,791,000","1,499,941,000","709,668,000","437,442,000","386,424,000","383,142,000","-362,871,000","-622,764,000","-163,208,000","-499,137,000"
EPS,-0.57,1.87,2.71,3.11,1.81,1.12,0.99,0.98,-0.97,-1.74,-0.46,-1.39
