Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plow Back,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Return on Equity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Return on Assets,-7.13,-1.92,-0.37,-1.23,-4.55,-3.10,-7.85,-5.35,-28.51,-10.41
Book Value per Share,-16.96,-15.20,-14.70,-18.63,-20.41,-20.71,-19.86,-17.83,-16.27,-8.40
Earning Per Share,-1.83,-0.52,-0.10,-0.40,-1.46,-0.97,-2.91,-2.04,-13.02,-4.92
Net Working Capital to Total Asseets,-1.33,-1.22,-1.21,-1.21,-1.00,-1.06,-0.89,-0.84,-0.76,-0.51
Current Ratio,0.21,0.23,0.23,0.23,0.39,0.36,0.42,0.42,0.44,0.52
Acid Test,0.19,0.21,0.20,0.20,0.36,0.32,0.31,0.31,0.31,0.38
Times Interest Earned,-1707.29,-302.59,-87.34,-313.31,-1118.78,-4.77,-153.36,-519.81,-0.66,-47.45
Total Debt Ratio,1.69,1.58,1.58,1.58,1.64,1.66,1.54,1.47,1.41,1.18
Debt To Equity,-2.46,-2.71,-2.73,-2.72,-2.57,-2.51,-2.87,-3.14,-3.42,-6.63
Return on Capital Employed,0.10,0.03,0.01,0.02,0.07,0.04,0.15,0.12,0.32,1.50
Average Collection Period,2894.22,659.79,202.29,421.37,150.01,9.03,3357.66,3094.77,47.64,10.57
Days sales Inventory,177.77,195.74,195.47,387.50,303.47,75.20,1488.80,1328.33,600.62,202.46
Total Assets Turnover,0.00,0.01,0.02,0.01,0.02,0.29,0.00,0.00,0.04,0.24
Gross Profit Margin,-13232.50,-263.75,-179.20,-660.28,-245.09,-5.57,-5422.86,-6206.53,-171.18,-14.47
Net Profit Margin,-15978.02,-131.86,-15.63,-217.46,-293.59,-10.66,-10405.39,-7268.23,-691.54,-42.67
