Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Fixed Assets,"83,548,622,000","79,980,234,000","76,493,984,000","62,447,737,000","39,576,830,000","29,958,970,000","29,832,625,000","28,740,974,000","27,185,726,000","25,985,385,000","25,772,952,000","26,096,001,000","25,466,201,000","24,024,614,000"
Investments,"24,976,216,000","26,406,036,000","32,278,158,000","35,608,138,000","30,766,981,000","37,773,978,000","35,663,523,000","26,513,578,000","15,990,996,000","17,385,765,000","15,437,894,000","10,958,476,000","21,878,543,000","25,108,264,000"
Cash in Hand and Bank,"347,834,000","488,918,000","469,104,000","421,880,000","7,009,844,000","31,426,342,000","1,309,026,000","468,881,000","428,441,000","167,642,000","230,792,000","243,842,000","226,372,000","116,173,000"
Stores and Spares,"8,237,990,000","9,240,264,000","5,114,227,000","4,939,420","4,006,181,000","3,635,858,000","3,688,795,000","4,107,003,000","4,137,262,000","3,543,034,000","3,017,742,000","2,935,880,000","2,299,250,000","1,496,291,000"
Stock in Trade,"4,352,995,000","3,714,058,000","1,377,596,000","1,162,914,000","766,633,000","1,188,376,000","1,348,742,000","1,661,721,000","954,645,000","862,141,000","1,036,876,000","899,836,000","445,856,000","295,140,000"
Trade Debts,"2,286,084,000","1,191,881,000","188,293,000","220,182,000","201,574,000","156,899,000","168,769,000","273,535,000","317,970,000","459,300,000","303,949,000","513,966,000","366,173,000","144,245,000"
Current Assets,"34,095,100,000","33,623,260,000","29,075,626,000","27,300,684,000","30,835,521,000","31,426,342,000","32,068,626,000","25,983,994,000","18,440,377,000","18,295,030,000","16,417,492,000","13,287,592,000","19,202,591,000","19,214,954,000"
Quick Assets,"21,504,115,000","20,668,938,000","22,583,803,000","26,132,830,580","26,062,707,000","26,602,108,000","27,031,089,000","20,215,270,000","13,348,470,000","13,889,855,000","12,362,874,000","9,451,876,000","16,457,485,000","17,423,523,000"
Total Assets,"129,551,534,000","125,941,425,000","121,889,017,000","108,371,319,000","83,418,265,000","74,391,443,000","73,282,069,000","63,526,719,000","50,685,198,000","49,673,050,000","47,046,043,000","42,723,041,000","51,992,934,000","51,744,331,000"
Interest Bearing Long Term Liability,"21,972,000,000","15,985,030,000","17,730,324,000","12,520,000,000","2,400,000,000","714,261,000","1,321,009,000","2,899,187,000","4,629,083,000","4,880,579,000","5,089,507,000","4,375,837,000","8,411,051,000","8,687,588,000"
Non Interest Bearing Long Term Liability,"253,937,000","242,043,000","109,726,000","79,441,000","77,813,000","72,003,000","68,970,000","65,383,000","68,355,000","70,893,000","81,138,000","73,765,000","73,890,000","79,467,000"
Interest Bearing Short Term Liability,"25,506,588,000","25,298,864,000","14,519,814,000","9,071,228,000","4,602,273,000","2,460,333,000","3,354,850,000","6,860,322,000","8,899,028,000","10,693,548,000","11,724,925,000","13,832,517,000","10,281,222,000","5,982,129,000"
* Non Interest Bearing Short Term Liability,"12,010,462,000","8,839,443,000","7,943,179,000","5,671,651,000","5,419,271,000","4,075,383,000","2,535,721,000","2,412,181,000","2,271,825,000","1,928,556,000","2,026,174,000","1,967,192,000","1,735,000,000","1,021,132,000"
Trades Payables,"11,298,187,000","8,029,874,000","7,595,299,000","5,454,447,000","5,366,340,000","4,048,079,000","2,476,304,000","2,286,351,000","2,108,894,000","1,644,045,000","1,679,749,000","1,435,420,000","1,370,336,000","1,027,274,000"
Total Current Liabilities,"37,624,257,000","34,247,052,000","22,553,193,000","14,849,803,000","10,056,634,000","6,583,476,000","5,940,563,000","9,307,593,000","11,205,943,000","12,657,194,000","13,786,189,000","15,834,799,000","12,054,718,000","7,390,229,000"
Total Liabilities,"62,907,377,000","55,013,010,000","44,754,596,000","33,502,440,000","17,634,836,000","12,095,372,000","11,765,534,000","15,528,505,000","17,754,566,000","19,455,765,000","20,526,823,000","21,804,599,000","21,912,677,000","17,821,146,000"
Paid Up Capital,"4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,191,000","4,381,192,000","3,650,993,000","3,042,494,000","2,535,412,000","2,535,412,000"
Reserves,"62,262,966,000","66,547,224,000","72,753,230,000","70,487,688,000","61,402,238,000","57,914,880,000","57,135,344,000","43,617,023,000","28,549,441,000","25,836,093,000","22,868,227,000","17,875,948,000","27,544,845,000","31,387,773,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"66,644,157,000","70,928,415,000","77,134,421,000","74,868,879,000","65,783,429,000","62,296,071,000","61,516,535,000","47,998,214,000","32,930,632,000","30,217,285,000","26,519,220,000","20,918,442,000","30,080,257,000","33,923,185,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"438,119,100","438,119,100","438,119,100","438,119,118","438,119,118","438,119,118","438,119,118","438,119,118","438,119,118","438,119,119","365,099,266","304,249,388","253,541,200","253,541,200"
