Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Sales,"38,033,124,000","40,516,525,000","30,668,428,000","30,136,165,000","29,703,758,000","26,104,611,000","26,542,509,000","24,915,924,000","22,949,853,000","18,577,198,000","16,275,354,000","18,038,209,000","12,445,996,000","6,419,625,000"
COGS,"36,447,218,000","35,154,086,000","21,928,207,000","18,291,600,000","17,035,566,000","16,649,411,000","17,284,941,000","15,589,917,000","15,443,098,000","14,192,229,000","13,569,994,000","12,358,479,000","10,530,723,000","4,387,640,000"
Gross Profit,"1,585,906,000","5,362,439,000","8,740,221,000","11,844,565,000","12,668,192,000","9,455,200,000","9,257,568,000","9,326,007,000","7,506,755,000","4,384,969,000","2,705,360,000","5,679,730,000","1,915,273,000","2,031,985,000"
Administrative Expenses,"658,874,000","628,517,000","624,725,000","551,221,000","572,780,000","472,326,000","480,468,000","405,579,000","267,705,000","211,362,000","172,436,000","141,852,000","111,658,000","104,169,000"
Selling & Distributive Expenses,"1,783,422,000","1,305,695,000","898,156,000","979,045,000","949,628,000","746,723,000","1,445,225,000","1,751,174,000","2,202,901,000","2,470,599,000","994,418,000","1,871,517,000","561,465,000","65,122,000"
Financial Charges,"4,653,286,000","3,304,102,000","519,267,000","382,895,000","130,451,000","281,504,000","608,859,000","994,879,000","1,670,784,000","2,051,678,000","1,902,760,000","2,606,358,000","1,749,837,000","467,759,000"
Other Income,"2,283,128,000","2,404,923,000","3,026,661,000","2,118,216,000","2,379,053,000","2,320,335,000","1,647,126,000","1,466,289,000","1,187,936,000","987,826,000","911,672,000","770,137,000","847,344,000","479,420,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"529,640,000","538,207,000","2,354,656,000","891,513,000","913,642,000","727,805,000","518,745,000","544,806,000","500,835,000","37,964,000","189,015,000","795,854,000","581,913,000","139,721,000"
EBITDA,"4,588,198,000","8,795,010,000","10,193,594,000","13,602,813,000","14,501,513,000","11,727,763,000","10,268,710,000","9,686,944,000","7,189,414,000","4,083,280,000","3,653,727,000","4,752,212,000","2,861,944,000","2,682,435,000"
EBIT,"897,098,000","5,294,943,000","7,889,345,000","11,541,002,000","12,611,195,000","9,828,681,000","8,460,256,000","8,090,737,000","5,723,250,000","2,652,870,000","2,261,163,000","3,383,258,000","1,498,907,000","2,188,230,000"
EBT,"-3,756,188,000","1,990,841,000","7,370,078,000","11,158,107,000","12,480,744,000","9,547,177,000","7,851,397,000","7,095,858,000","4,052,466,000","601,192,000","358,403,000","776,900,000","-250,930,000","1,720,471,000"
Tax,"-1,597,527,000","381,082,000","-1,467,530,000","3,182,766,000","3,691,072,000","1,922,497,000","1,885,899,000","1,593,689,000","-55,652,000","430,231,000","125,381,000","251,319,000","-197,700,000","98,000,000"
PAT,"-2,158,661,000","1,609,759,000","8,837,608,000","7,975,341,000","8,789,672,000","7,624,680,000","5,965,498,000","5,502,169,000","4,108,118,000","170,961,000","233,022,000","525,581,000","-53,230,000","1,622,471,000"
EPS,-4.93,3.67,20.17,18.2,20.06,17.4,13.62,12.56,9.38,0.45,0.72,1.96,-0.21,6.43
