Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Fixed Assets,"27,853,000","31,494,000","72,997,000","86,873,000","107,553,000","144,696,000","48,453,000","40,962,000","55,336,000","63,172,000"
Investments,"3,201,817,000","3,201,795,000","3,030,231,000","2,603,622,000","1,576,128,000","459,043,000","445,785,000","342,475,000","915,708,000","929,878,000"
Cash in Hand and Bank,"6,362,000","19,788,000","10,239,000","300,330,000","9,172,000","20,303,000","20,256,000","23,394,000","29,270,000","24,474,000"
Stores and Spares,"892,000","892,000","7,789,000","7,789,000","13,266,000","12,000,000","36,582,000","37,531,000","45,206,000","49,119,000"
Stock in Trade,"34,582,000","47,380,000","58,824,000","86,558,000","210,307,000","280,519,000","261,306,000","295,152,000","319,688,000","201,103,000"
Trade Debts,"71,000","4,411,000","1,548,000","35,398,000","117,144,000","51,533,000","94,882,000","159,017,000","82,643,000","69,763,000"
Current Assets,"681,014,000","170,627,000","298,412,000","755,245,000","1,221,637,000","498,007,000","552,095,000","1,155,176,000","1,133,714,000","1,262,848,000"
Quick Assets,"645,540,000","122,355,000","231,799,000","660,898,000","998,064,000","205,488,000","254,207,000","822,493,000","768,820,000","1,012,626,000"
Total Assets,"4,213,518,000","3,601,713,000","3,405,275,000","3,454,398,000","2,396,397,000","1,126,481,000","1,252,553,000","1,744,980,000","1,729,670,000","1,707,968,000"
Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"552,345,000","388,269,000","561,820,000","466,487,000","12,566,000","178,491,000","261,708,000",0,0,0
* Non Interest Bearing Short Term Liability,"78,719,000","68,339,000","137,658,000","126,787,000","119,507,000","144,348,000","114,749,000","99,854,000","123,104,000","120,365,000"
Trades Payables,"51,166,000","57,655,000","127,828,000","116,508,000","119,484,000","139,216,000","109,618,000","99,854,000","123,104,000","120,365,000"
Total Current Liabilities,"706,448,000","510,648,000","699,478,000","593,274,000","348,364,000","345,802,000","389,355,000","110,460,000","130,910,000","133,907,000"
Total Liabilities,"707,925,000","510,648,000","699,478,000","593,274,000","354,698,000","363,550,000","398,774,000","171,626,000","189,795,000","182,464,000"
Paid Up Capital,"590,578,000","590,578,000","590,578,000","590,578,000","590,578,000","590,578,000","590,578,000","590,578,000","590,578,000","513,547,000"
Reserves,"2,915,015,000","2,490,249,000","2,103,545,000","2,255,478,000","1,451,121,000","172,353,000","263,201,000","982,776,000","949,297,000","1,011,957,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,"10,238,000","11,674,000","15,068,000",0,0,0,0,0,0
Shareholder Equity,"3,505,593,000","3,091,065,000","2,705,797,000","2,861,124,000","2,041,699,000","762,931,000","853,779,000","1,573,354,000","1,539,875,000","1,525,504,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10
Number of Shares,"59,057,800","59,057,800","59,057,800","59,057,859","59,057,859","59,057,859","59,057,859","59,057,859","59,057,859","51,354,660"
