Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,37.62,62.79,41.12,26.48,23.03,0.00,-22.11,324.21,363.25,43.15
Plow Back,62.38,37.21,58.88,73.52,76.97,100.00,122.11,-224.21,-263.25,56.85
Return on Equity,31.35,18.26,5.31,38.98,62.80,-22.51,-31.29,5.79,1.06,3.90
Return on Assets,26.08,15.67,4.22,32.28,53.50,-15.24,-21.33,5.22,0.94,3.48
Book Value per Share,59.36,52.34,45.82,48.45,34.57,12.92,14.46,26.64,26.07,29.71
Earning Per Share,18.61,9.56,2.43,18.88,21.71,-2.91,-4.52,-0.47,0.28,1.01
Net Working Capital to Total Asseets,-0.01,-0.09,-0.12,0.05,0.36,0.14,0.13,0.60,0.58,0.66
Current Ratio,0.96,0.33,0.43,1.27,3.51,1.44,1.42,10.46,8.66,9.43
Acid Test,0.91,0.24,0.33,1.11,2.87,0.59,0.65,7.45,5.87,7.56
Times Interest Earned,14.73,17.83,7.29,46.37,32.88,-4.08,-45.41,0.00,0.00,0.00
Total Debt Ratio,0.17,0.14,0.21,0.17,0.15,0.32,0.32,0.10,0.11,0.11
Debt To Equity,0.20,0.17,0.26,0.21,0.17,0.48,0.47,0.11,0.12,0.12
Return on Capital Employed,0.39,0.23,0.10,0.46,0.41,-0.17,-0.30,0.08,0.02,0.05
Average Collection Period,4.31,205.36,9.58,80.13,243.26,145.59,257.83,153.16,80.51,66.86
Days sales Inventory,1881.16,2821.34,316.65,226.44,528.42,1045.24,938.91,363.51,392.23,276.59
Total Assets Turnover,0.00,0.00,0.02,0.05,0.07,0.11,0.11,0.22,0.22,0.22
Gross Profit Margin,-14.49,20.34,-30.14,5.68,12.14,20.94,13.78,11.85,9.37,13.30
Net Profit Margin,18278.51,7198.48,243.42,691.64,729.45,-132.91,-198.91,24.03,4.34,15.62
