Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Fixed Assets,"4,326,060,758","4,383,558,222","4,479,852,858","3,448,812,234","3,568,929,575","1,958,250,558","2,022,858,443","2,016,895,019","2,085,626,356","2,155,353,839","2,504,638,780","2,537,363,357"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"6,763,828","48,910,151","13,490,053","20,552,467","45,542,509","21,101,708","40,462,788","3,201,728","3,546,998","3,723,119","3,866,858","10,334,838"
Stores and Spares,"232,860,397","286,622,020","199,170,624","200,804,243","210,807,703","130,655,513","149,040,673","118,749,418","162,506,676","139,953,345","139,793,328","135,895,926"
Stock in Trade,"119,153,645","220,018,479","214,407,859","162,404,493","27,216,037","84,998,141","216,117,193","217,025,760","104,948,507","92,445,057","19,223,714","42,165,762"
Trade Debts,"11,441,977","105,295,812","144,323,234","167,546,402","166,041,054","137,401,993","56,744,918","3,038,538","9,899,364","17,971,314",0,0
Current Assets,"569,759,085","875,392,889","765,872,623","1,015,515,408","910,577,160","789,721,612","834,254,947","663,555,264","663,717,638","733,866,125","575,498,533","525,487,551"
Quick Assets,"217,745,043","368,752,390","352,294,140","652,306,672","672,553,420","574,067,958","469,097,081","327,780,086","396,262,455","501,467,723","416,481,491","347,425,863"
Total Assets,"4,906,148,748","5,269,271,656","5,256,012,196","4,474,994,357","4,490,173,450","2,758,646,885","2,867,790,905","2,690,829,043","2,759,798,312","2,909,710,200","3,090,693,118","3,101,825,451"
Interest Bearing Long Term Liability,"2,022,113,765","2,096,401,543","1,104,854,442","1,109,632,530","1,062,528,911","981,001,924","1,378,349,783","1,055,232,000","1,319,965,765","1,385,994,978","1,062,799,346","1,159,975,736"
Non Interest Bearing Long Term Liability,"3,563,334",0,"1,788,334","1,882,313","1,852,334","1,852,334","1,882,313","1,532,313","170,840,200","1,983,242","341,615,824","298,140,169"
Interest Bearing Short Term Liability,"92,081,512","185,292,637","382,580,559","1,532,779,060","1,452,442,328","1,444,912,328","1,267,058,258","974,162,316","591,522,332","550,710,393","495,513,446","416,202,948"
* Non Interest Bearing Short Term Liability,"914,461,515","1,112,216,730","2,988,805,164","3,245,544,074","2,792,622,010","2,541,814,640","2,454,529,911","2,388,528,633","2,111,183,203","1,728,829,173","899,139,266","478,216,905"
Trades Payables,"699,141,931","905,966,038","2,272,628,593","2,670,254,906","2,237,880,330","2,007,216,326","1,940,435,092","1,675,931,100","1,417,184,823","1,050,947,662","481,732,907","316,307,898"
Total Current Liabilities,"1,160,376,913","1,584,131,772","5,237,795,779","4,778,323,134","4,309,960,324","4,057,238,791","3,721,588,169","3,362,690,949","2,702,705,535","2,279,539,566","1,410,442,339","910,209,480"
Total Liabilities,"4,175,764,328","4,602,916,772","7,299,702,490","6,640,221,590","5,865,974,670","5,020,433,826","5,092,604,595","4,422,217,812","4,024,379,702","3,667,517,786","3,073,212,161","2,774,167,883"
Paid Up Capital,"948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800","948,399,800"
Reserves,"-2,637,648,733","-2,782,269,238","-5,577,250,695","-4,896,007,325","-4,439,958,406","-4,206,138,895","-4,203,323,387","-3,745,041,789","-3,314,458,972","-2,844,925,395","-2,150,588,322","-1,883,357,393"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"2,419,633,353","2,500,224,322","2,585,160,601","1,782,380,292","2,115,757,386","995,952,154","1,030,109,897","1,065,253,220","1,101,477,782","1,138,718,009","1,219,669,479","1,262,615,161"
Shareholder Equity,"730,384,420","666,354,884","-2,043,690,294","-2,165,227,233","-1,375,801,220","-2,261,786,941","-2,224,813,690","-1,731,388,769","-1,264,581,390","-757,807,586","17,480,957","327,657,568"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980","94,839,980"
