Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Sales,"296,105,600","1,593,516,615","1,306,529,257","1,806,251,894","2,346,936,848","2,138,894,941","1,068,197,617","145,271,934","1,103,744,233","773,176,312","1,146,062,796","556,149,275"
COGS,"489,593,137","1,937,197,269","1,782,703,753","2,080,542,318","2,359,393,646","2,426,241,483","1,416,478,467","520,018,560","1,544,143,067","1,125,015,743","1,230,944,867","792,769,586"
Gross Profit,"-193,487,537","-343,680,654","-476,174,496","-274,290,424","-12,456,798","-287,346,542","-348,280,850","-374,746,626","-440,398,834","-351,839,431","-84,882,071","-236,620,311"
Administrative Expenses,"34,661,819","58,673,674","66,186,994","55,817,746","55,858,889","42,438,125","40,788,114","41,496,157","46,196,158","29,727,459","101,742,774","85,516,468"
Selling & Distributive Expenses,"2,401,669","8,929,419","5,117,600","24,156,773","18,781,904","6,175,295","3,349,392","2,939,818","3,334,223","2,952,784","5,970,180","6,849,654"
Financial Charges,"371,291,194","160,202,017","185,438,844","184,760,569","171,989,656","161,861,741","108,678,116","19,268,646","17,404,622","15,444,432","266,011,769","227,717,911"
Other Income,"567,538","1,193,872,925","2,023,540","1,845,586","2,536,210","562,676","321,676","13,117,330","560,033","9,191,422","949,439","302,250"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"18,438,942","12,606,642","31,455,500","2,220,463","222,979","-1,342","25,858,329","38,305,384",0,"1,257,215",0,0
EBITDA,"-102,516,496","920,773,873","-456,820,320","-229,069,694","-21,962,058","-269,911,329","-350,807,163","-375,356,518","-417,205,471","-301,108,558","-78,971,690","-200,627,460"
EBIT,"-248,422,429","769,982,536","-576,911,050","-354,639,820","-84,784,360","-335,395,944","-417,955,009","-444,370,655","-489,369,182","-376,585,467","-191,645,586","-328,684,183"
EBT,"-619,713,623","609,780,519","-762,349,894","-539,400,389","-256,774,016","-497,257,685","-526,633,125","-463,639,301","-506,773,804","-392,029,899","-457,657,355","-556,402,094"
Tax,"75,342,841","-14,764,160","-10,893,789","-11,715,538","23,478,486",0,0,"3,168,078",0,"-52,867,006","-147,480,744","-137,233,462"
PAT,"-695,056,464","624,544,679","-751,456,105","-527,684,851","-280,252,502","-497,257,685","-526,633,125","-466,807,379","-506,773,804","-339,162,893","-310,176,611","-419,168,632"
EPS,-7.33,6.59,-7.92,-5.56,-2.96,-5.24,-5.55,-4.92,-5.34,-3.58,-3.27,-4.72
