Year,2020,2019,2018,2017,2009,2008
Fixed Assets,"2,031,207,000","1,483,894,000","1,392,836,000","1,518,988,000","2,612,427,176","1,428,819,120"
Investments,0,0,0,0,0,0
Cash in Hand and Bank,"6,945,000","30,993,000","113,085,000","21,760,000","3,289,127","165,113,879"
Stores and Spares,"319,793,000","271,162,000","211,484,000","203,073,000","160,536,034","13,889,057"
Stock in Trade,"183,058,000","72,454,000","26,317,000","47,803,000","56,069,125",0
Trade Debts,"54,940,000","80,742,000","39,439,000","67,322,000","1,227,602",0
Current Assets,"760,606,000","716,916,000","584,650,000","535,482,000","361,883,388","214,235,598"
Quick Assets,"257,755,000","373,300,000","346,849,000","284,606,000","145,278,229","200,346,541"
Total Assets,"2,836,685,000","2,248,187,000","2,039,392,000","2,160,371,000","3,098,429,163","1,718,896,249"
Interest Bearing Long Term Liability,"239,977,000","877,631,000",0,0,"1,469,818,187","955,686,172"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0
Interest Bearing Short Term Liability,"54,714,000","124,317,000",0,"42,231,000","259,319,520",0
* Non Interest Bearing Short Term Liability,"415,823,000","327,030,000","211,939,000","400,691,000","496,512,376","82,467,674"
Trades Payables,"409,043,000","312,085,000","211,561,000","209,488,000","404,005,888","55,452,480"
Total Current Liabilities,"472,065,000","453,743,000","263,664,000","442,922,000","755,831,896","82,467,674"
Total Liabilities,"901,370,000","1,464,628,000","263,664,000","442,922,000","2,225,650,083","1,038,153,846"
Paid Up Capital,"1,508,889,000","1,020,000,000","1,020,000,000","1,020,000,000","1,020,000,000","695,000,000"
Reserves,"426,426,000","-236,441,000","-344,272,000","-402,551,000","-147,220,920","-14,257,597"
Preferred Equity,0,0,"1,100,000,000","1,100,000,000",0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0
Shareholder Equity,"1,935,315,000","783,559,000","1,775,728,000","1,717,449,000","872,779,080","680,742,403"
Paid Up Value,10,10,10,10,10,10
Number of Shares,"150,888,900","102,000,000","102,000,000","102,000,000","102,000,000","69,500,000"
