Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Fixed Assets,"4,785,402,752","5,120,634,123","5,467,732,088","3,572,615,748","3,831,111,859","3,255,982,960","3,323,747,736","3,483,490,228","3,112,879,709","4,467,473,283","3,691,077,783","3,934,553,558"
Investments,0,0,0,"502,456,500","528,118,500","131,040,000","90,909,000","66,202,500","41,496,000","17,881,500","28,392,000","58,695,000"
Cash in Hand and Bank,"33,329,240","48,348,292","90,587,518","31,534,730","12,462,276","39,210,333","88,850,174","45,532,099","37,170,523","13,155,607","10,613,005","35,276,803"
Stores and Spares,"195,842,773","232,018,466","213,435,671","241,491,145","315,456,859","399,111,974","415,571,698","422,179,215","414,820,036","469,051,334","391,054,179","324,473,243"
Stock in Trade,"1,033,517,670","273,052,732","1,467,636,506","1,871,974,090","242,821,045","198,918,299","541,097,848","665,105,200","443,832,651","109,123,922","748,380,332","828,021,153"
Trade Debts,"25,846,847","14,415,008","32,774,163","81,471,047","82,613,340","176,518,121","325,754,411","220,598,523","33,465,540","33,599,017","40,417,734","136,382,940"
Current Assets,"2,007,517,480","1,058,694,515","2,205,784,473","3,469,368,775","1,892,796,449","2,012,000,311","2,554,647,156","2,557,254,557","2,140,496,814","1,921,563,054","2,641,849,895","2,958,175,686"
Quick Assets,"778,157,037","553,623,317","524,712,296","1,355,903,540","1,334,518,545","1,413,970,038","1,597,977,610","1,469,970,142","1,281,844,127","1,343,387,798","1,502,415,384","1,805,681,290"
Total Assets,"6,792,920,232","6,179,328,638","7,673,516,561","7,041,984,523","5,723,908,077","5,267,983,271","5,878,394,892","6,040,744,785","5,253,376,523","6,389,066,287","6,337,585,928","6,932,735,452"
Interest Bearing Long Term Liability,0,"1,770,419","145,630,428","972,300,784","1,735,848,550","1,958,770,566","2,294,074,057","2,754,904,774","3,343,407,869","356,864,851","586,650,988","299,041,135"
Non Interest Bearing Long Term Liability,"377,813,650","343,000,146","309,206,277","365,097,336",0,0,"196,725,866","443,344,000",0,0,"196,605,453","189,605,453"
Interest Bearing Short Term Liability,"2,844,542,618","2,555,159,878","2,425,002,223","1,871,144,865","1,457,183,040","1,172,127,120","1,054,083,586","938,403,785","461,577,510","3,072,121,021","3,062,171,174","3,206,434,615"
* Non Interest Bearing Short Term Liability,"3,289,788,808","1,737,219,787","2,657,246,536","3,337,770","1,055,631,373","1,021,133,619","1,104,422,283","937,961,920","753,213,237","1,108,567,854","1,501,608,587","1,816,636,589"
Trades Payables,"3,277,779,184","1,724,526,540","2,653,530,905",3,"1,052,337,202","1,017,374,389","1,095,419,155","935,219,378","745,612,302","772,488,909","1,145,799,380","1,605,614,554"
Total Current Liabilities,"6,252,900,969","4,422,849,208","5,171,718,302","5,126,397,710","2,579,656,299","2,389,859,263","2,310,504,393","1,972,364,229","1,305,467,535","4,236,365,663","4,627,235,015","5,082,849,670"
Total Liabilities,"7,144,982,669","5,645,064,973","6,595,658,615","6,608,760,170","4,528,126,001","4,363,523,648","4,873,388,741","5,323,133,120","4,744,569,605","5,052,251,213","5,525,605,508","5,934,245,252"
Paid Up Capital,"915,119,920","915,119,920","915,119,920","665,119,920","665,119,920","665,119,920","365,119,920","365,119,920","365,119,920","365,119,920","365,119,920","365,119,920"
Reserves,"-3,548,267,205","-2,848,217,397","-2,528,757,159","-1,452,050,235","-781,090,614","-591,705,194","-261,488,749","-611,424,131","-643,183,077","-439,596,129","-461,562,867","-367,654,360"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"2,281,084,848","2,467,361,142","2,691,495,185","1,220,154,668","1,311,752,770","831,044,897","901,374,980","963,915,876","786,870,075","1,411,291,283","908,423,367","1,001,024,640"
Shareholder Equity,"-352,062,437","534,263,665","1,077,857,946","433,224,353","1,195,782,076","904,459,623","1,005,006,151","717,611,665","508,806,918","1,336,815,074","811,980,420","998,490,200"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"91,511,992","91,511,992","91,511,992","66,511,992","66,511,992","66,511,992","36,511,992","36,511,992","36,511,992","36,511,992","36,511,992","36,511,991"
