Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2008
Sales,"3,824,784,973","5,707,989,323","4,738,180,041","2,984,804,024","2,567,628,356","4,442,366,162","5,575,225,261","4,558,489,018","3,417,072,437","4,333,664,944","2,439,049,969","5,469,616,728"
COGS,"4,465,760,781","5,760,834,843","5,002,555,537","3,464,924,572","3,170,515,838","4,469,252,369","5,572,417,008","4,410,105,533","3,586,243,250","4,213,773,934","2,419,704,363","5,427,223,173"
Gross Profit,"-640,975,808","-52,845,520","-264,375,496","-480,120,548","-602,887,482","-26,886,207","2,808,253","148,383,485","-169,170,813","119,891,010","19,345,606","42,393,555"
Administrative Expenses,"91,791,495","107,890,865","121,809,761","125,327,840","100,328,906","97,005,997","85,568,884","65,409,672","64,550,650","52,312,334","99,032,891","114,870,774"
Selling & Distributive Expenses,"123,579,371","351,116,052","199,213,616","92,325,122","67,465,006","98,448,967","141,764,264","166,968,748","49,906,697","11,103,123","16,812,193","44,653,881"
Financial Charges,"36,363,656","54,433,284","85,570,976","78,740,582","71,423,429","104,335,539","124,306,898","105,246,454","54,552,642","6,087,129","297,870,179","627,205,830"
Other Income,"1,897,862","5,828,593","-147,008,906","47,410,865","110,283,958","4,840,586","257,263,164","69,058,996","2,081,027","1,187,286","653,645","3,639,269"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"30,197,600",0,0,"44,207,269","40,188,427","127,122,263","7,611,583",0,"146,535,000","2,519,421","77,377,625",0
EBITDA,"-529,044,583","-78,344,567","-161,121,320","-421,197,928","-426,027,503","21,364,387","300,334,153","243,069,572","-142,597,113","265,538,437","71,448,747","194,729,490"
EBIT,"-884,646,412","-506,023,844","-732,407,779","-694,569,914","-700,585,862","-344,622,848","25,126,686","-14,935,939","-428,082,133","55,143,418","-173,223,458","-113,491,831"
EBT,"-921,010,068","-560,457,128","-817,978,755","-773,310,496","-772,009,291","-448,958,387","-99,180,212","-120,182,393","-482,634,775","49,056,289","-471,093,637","-740,697,661"
Tax,"-34,683,966","-13,543,206","-30,179,911","-17,403,864","-76,116,523","5,172,497","10,588,136","-25,822,167","-50,260,688","97,793,444","-237,509,232","-201,394,682"
PAT,"-886,326,102","-546,913,922","-787,798,844","-755,906,632","-695,892,768","-454,130,884","-109,768,348","-94,360,226","-432,374,087","-48,737,155","-233,584,405","-539,302,979"
EPS,-9.69,-5.98,-10.37,-11.36,-10.46,-8.43,-3.01,-2.58,-11.84,-1.33,-6.4,-14.77
