Year,2020,2019,2018,2017,2016,2015,2014,2013,2012
Fixed Assets,"65,645,796,000","65,924,426,000","68,203,956,000","68,923,195,000","70,168,266,000","72,192,289,000","74,962,817,000","79,315,218,000","82,877,701,000"
Investments,"25,074,660,000","5,502,044,000","6,895,029,000","7,643,763,000","703,045,000","15,367,555,000","25,075,776,000","18,058,054,000","2,635,339,000"
Cash in Hand and Bank,"3,382,228,000","3,409,674,000","642,060,000","1,655,406,000","28,473,000","865,302,000","4,188,528,000","4,458,391,000","2,449,168,000"
Stores and Spares,"6,499,113,000","5,301,092,000","5,325,287,000","5,279,794,000","4,886,674,000","4,639,142,000","4,713,746,000","4,368,863,000","4,107,291,000"
Stock in Trade,"6,720,201,000","3,568,895,000","2,959,696,000","3,528,439,000","6,820,161,000","6,942,110,000","1,100,922,000","1,381,665,000","1,687,072,000"
Trade Debts,"2,028,071,000","10,009,934,000","2,374,797,000","3,484,501,000","7,585,312,000","2,261,747,000","757,044,000","758,253,000","1,046,091,000"
Current Assets,"57,374,390,000","57,949,545,000","40,755,017,000","32,239,206,000","27,127,769,000","28,540,308,000","36,296,541,000","30,365,756,000","14,381,943,000"
Quick Assets,"44,155,076,000","49,079,558,000","32,470,034,000","23,430,973,000","15,420,934,000","16,959,056,000","30,481,873,000","24,615,228,000","8,587,580,000"
Total Assets,"128,265,232,000","129,107,926,000","114,147,944,000","106,332,826,000","102,427,594,000","105,381,862,000","111,471,625,000","109,928,787,000","97,504,962,000"
Interest Bearing Long Term Liability,"13,514,080,000","22,192,098,000","25,715,045,000","22,784,014,000","29,379,946,000","25,289,658,000","36,090,622,000","55,896,382,000","51,481,626,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"11,311,945,000","10,307,036,000","5,732,462,000","9,791,596,000","7,081,358,000","10,736,586,000","7,912,729,000","2,924,299,000","15,896,203,000"
* Non Interest Bearing Short Term Liability,"28,957,142,000","41,203,636,000","29,032,239,000","22,128,667,000","15,543,169,000","17,730,659,000","25,834,463,000","19,492,112,000","9,745,455,000"
Trades Payables,"28,696,843,000","40,648,651,000","28,626,619,000","21,585,098,000","14,959,537,000","16,886,856,000","24,472,163,000","18,012,445,000","7,957,173,000"
Total Current Liabilities,"47,306,887,000","51,626,303,000","38,085,079,000","32,908,673,000","24,047,022,000","30,948,787,000","35,556,228,000","22,673,345,000","26,247,706,000"
Total Liabilities,"83,279,425,000","86,255,365,000","71,152,196,000","65,320,054,000","61,144,695,000","62,855,842,000","76,993,530,000","84,859,555,000","81,706,935,000"
Paid Up Capital,"13,352,993,000","13,352,993,000","13,352,993,000","13,352,993,000","13,309,323,000","13,309,323,000","13,183,417,000","12,228,000,000","10,728,000,000"
Reserves,"31,632,814,000","29,499,568,000","29,642,755,000","27,659,779,000","27,973,576,000","29,216,697,000","21,294,678,000","12,841,232,000","5,070,027,000"
Preferred Equity,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0
Shareholder Equity,"44,985,807,000","42,852,561,000","42,995,748,000","41,012,772,000","41,282,899,000","42,526,020,000","34,478,095,000","25,069,232,000","15,798,027,000"
Paid Up Value,10,10,10,10,10,10,10,10,10
Number of Shares,"1,335,299,300","1,335,299,300","1,335,299,300","1,335,299,300","1,330,932,292","1,330,932,292","1,318,341,667","1,222,800,000","1,072,800,000"
