Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Investments,"27,253,859,000","25,881,160,000","25,482,899,000","23,319,397,000","20,510,610,000","19,356,874,000","15,860,356,000","15,001,642,000","13,611,374,000","12,552,086,000","11,899,434,000","12,885,838,000","12,091,082,000","18,867,856,000"
Fixed Assets,"2,818,853,000","2,967,431,000","2,615,648,000","1,222,290,000","1,084,911,000","1,101,318,000","919,445,000","860,006,000","868,900,000","737,404,000","666,137,000","541,407,000","533,524,000","425,039,000"
Other Non Current Assets,"973,154,000","1,048,110,000","721,573,000","436,653,000","2,258,000","2,114,000","2,699,000","2,714,000","4,355,000","25,567,000","161,253,000","40,500,000","77,609,000","87,953,000"
Cash in Hand and Bank,"1,328,500,000","1,191,688,000","1,266,562,000","1,594,759,000","1,867,466,000","1,748,996,000","1,520,795,000","2,083,142,000","1,669,886,000","1,758,119,000","1,706,571,000","1,349,606,000","1,303,684,000","1,162,876,000"
Other Current Assets,"13,437,970,000","14,610,857,000","12,782,441,000","12,529,216,000","12,471,605,000","9,948,803,000","10,923,950,000","10,991,033,000","12,881,591,000","9,304,862,000","10,108,274,000","7,121,599,000","7,223,793,000","6,846,251,000"
Total Assets,"45,812,336,000","45,699,246,000","42,869,123,000","39,102,315,000","36,204,203,000","32,264,035,000","29,227,245,000","28,938,537,000","29,036,106,000","24,378,038,000","24,541,669,000","21,938,950,000","21,229,692,000","27,389,975,000"
Under Writing Provisions,"16,675,275,000","15,848,280,000","13,925,714,000","14,530,649,000","13,147,687,000","11,528,554,000","12,312,519,000","13,027,980,000","14,598,695,000","11,684,182,000","12,707,217,000","9,710,098,000","9,541,238,000","9,629,743,000"
Creditors and Accruals,"7,378,705,000","8,492,350,000","7,490,767,000","6,169,510,000","4,899,357,000","4,034,044,000","3,078,344,000","3,349,002,000","2,708,652,000","2,160,518,000","1,830,011,000","1,439,213,000","1,301,638,000","1,429,773,000"
Other Liabilites,"1,166,126,000","1,062,131,000","1,295,090,000","1,354,935,000","1,122,373,000","795,368,000","725,283,000","653,626,000","597,595,000","537,469,000","413,270,000","325,147,000","280,873,000","153,290,000"
Total Liabilities,"25,220,106,000","25,402,761,000","22,711,571,000","22,055,094,000","19,303,132,000","16,417,023,000","16,116,146,000","17,030,608,000","17,904,942,000","14,382,169,000","14,950,498,000","11,474,458,000","11,123,749,000","11,212,806,000"
Paid Up Capital,"2,000,000,000","2,000,000,000","2,000,000,000","2,000,000,000","2,000,000,000","1,600,000,000","1,600,000,000","1,250,000,000","1,250,000,000","1,250,000,000","1,250,000,000","1,150,000,000","1,150,000,000","1,000,000,000"
Reserves,"17,578,865,000","17,296,071,000","17,298,455,000","15,047,221,000","14,901,071,000","14,247,012,000","11,511,099,000","10,657,929,000","9,881,164,000","8,745,869,000","8,341,171,000","9,314,492,000","8,955,943,000","15,177,169,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"20,592,230,000","20,296,485,000","20,157,552,000","17,047,221,000","16,901,071,000","15,847,012,000","13,111,099,000","11,907,929,000","11,131,164,000","9,995,869,000","9,591,171,000","10,464,492,000","10,105,943,000","16,177,169,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","160,000,000","160,000,000","125,000,000","125,000,000","125,000,000","125,000,000","115,000,000","115,000,000","100,000,000"
Surplus On Revaluation of Assets,"1,013,365,000","1,000,414,000","859,097,000",0,0,0,0,0,0,0,0,0,0,0
