Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Investments,"142,432,034,000","116,065,289,000","105,820,637,000","85,388,521,000","88,831,183,000","71,941,323,000","55,534,580,000","39,585,719,000","34,728,349,000","25,133,535,000","19,711,968,000","15,053,389,000","9,684,973,000","11,757,140,000"
Fixed Assets,"2,884,209,000","2,883,687,000","2,431,627,000","2,197,214,000","2,132,747,000","1,644,339,000","1,077,400,000","797,154,000","590,242,000","441,012,000","419,809,000","350,208,000","308,345,000","270,264,000"
Other Non Current Assets,"38,700,000","24,733,000","27,038,000","106,266,000","113,557,000","123,542,000","77,504,000","88,403,000","77,448,000","65,888,000","56,649,000","59,015,000","11,018,000","13,151,000"
Cash in Hand and Bank,"5,335,091,000","5,713,548,000","4,786,362,000","18,496,913,000","12,395,589,000","14,406,587,000","7,666,369,000","7,614,047,000","1,723,572,000","1,141,457,000","826,325,000","1,365,803,000","1,425,424,000","949,466,000"
Other Current Assets,"3,789,902,000","4,602,382,000","3,698,947,000","4,049,084,000","2,828,455,000","3,149,588,000","2,872,629,000","1,018,936,000","774,696,000","1,248,172,000","1,147,984,000","1,019,066,000","456,571,000","325,229,000"
Total Assets,"154,479,936,000","129,289,639,000","116,764,611,000","110,237,998,000","106,301,531,000","91,265,379,000","67,228,482,000","49,104,259,000","37,894,307,000","28,030,064,000","22,162,735,000","17,847,481,000","11,886,331,000","13,315,250,000"
Under Writing Provisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creditors and Accruals,"3,484,087,000","3,484,845,000","2,429,045,000","4,528,513,000","4,195,085,000","4,003,516,000","3,156,942,000","2,971,934,000","2,041,516,000","1,871,465,000","1,706,179,000","1,442,475,000","1,058,215,000","902,457,000"
Other Liabilites,"144,820,760,000","119,896,834,000","108,307,970,000","101,368,837,000","131,000,000","15,800,000","14,900,000","16,300,000","14,600,000","11,750,000","11,800,000","9,000,000","6,500,000","4,600,000"
Total Liabilities,"148,304,847,000","123,381,679,000","110,737,015,000","105,897,350,000","102,108,148,000","87,855,636,000","64,394,209,000","2,988,234,000","2,056,116,000","1,883,215,000","1,717,979,000","1,451,475,000","1,064,715,000","907,057,000"
Paid Up Capital,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","850,000,000","850,000,000","850,000,000","750,000,000","750,000,000","500,000,000"
Reserves,"5,136,778,000","4,856,954,000","4,951,883,000","3,340,648,000","3,193,383,000","2,409,743,000","1,834,273,000","1,533,372,000","34,988,191,000","25,296,849,000","19,594,756,000","15,646,006,000","10,071,616,000","11,908,193,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"6,175,089,000","5,907,940,000","6,027,596,000","4,340,648,000","4,193,383,000","3,409,743,000","2,834,273,000","2,533,372,000","35,838,191,000","26,146,849,000","20,444,756,000","16,396,006,000","10,821,616,000","12,408,193,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","85,000,000","85,000,000","85,000,000","75,000,000","75,000,000","50,000,000"
Surplus On Revaluation of Assets,"38,311,000","50,986,000","75,713,000",0,0,0,0,0,0,0,0,0,0,0
