Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Net Premium Revenue,"31,653,339,000","31,141,634,000","30,164,268,000",0,0,0,0,0,0,0,0,0,0,0
Net Claims,"17,860,692,000","15,677,433,000","13,094,451,000",0,0,0,0,0,0,0,0,0,0,0
Direct Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Writing Results,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investment Income,"11,468,634,000","11,589,124,000","6,942,391,000","136,145,000","410,697,000","144,448,000","475,995,000","106,673,000","277,797,000","29,792,000","-146,976,000","-81,867,000","-723,877,000","818,780,000"
Administrative & Other Expenses,"32,162,902,000","20,030,319,000","14,951,404,000","22,947,000","-33,455,000","63,609,000","43,125,000","38,725,000","33,724,000","24,562,000","9,468,000","15,412,000","13,317,000","10,727,000"
Other Income,"60,859,000","64,525,000","63,277,000","23,704,000","27,866,000","22,455,000","17,420,000","19,999,000","20,067,000","15,804,000","18,161,000","13,346,000","11,803,000","58,392,000"
Change In Value of Investement,"9,367,995,000","-4,733,358,000","-6,797,691,000",0,0,0,0,0,0,0,0,0,0,0
Statutory Funds Transfer,0,0,0,"2,543,879,000","2,326,078,000","2,122,076,000","973,083,000","1,310,367,000","1,128,328,000","859,781,000","689,318,000","731,654,000","410,432,000","568,300,000"
EBT,"2,527,233,000","2,354,173,000","2,326,390,000","2,680,781,000","2,798,096,000","2,225,370,000","1,423,373,000","1,398,314,000","1,392,468,000","880,815,000","551,035,000","647,721,000","-314,959,000","1,434,745,000"
Tax,"743,083,000","804,909,000","745,057,000","868,400,000","925,200,000","749,900,000","472,472,000","469,200,000","478,350,000","302,450,000","187,800,000","-63,938,000","158,200,000","227,453,000"
PAT,"1,784,150,000","1,549,264,000","1,581,333,000","1,812,381,000","1,872,896,000","1,475,470,000","950,901,000","929,114,000","914,118,000","578,365,000","363,235,000","711,659,000","-473,159,000","1,207,292,000"
EPS,17.84,15.49,15.81,18.12,18.73,14.75,9.51,9.29,10.75,6.8,4.27,9.49,-6.31,16.1
