Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2004
Sales,0,0,0,0,0,0,0,0,0,0,"30,171,520,000","23,317,198,000","18,276,277,000","12,797,662,000"
COGS,0,0,0,0,0,0,0,0,0,0,"23,240,176,000","17,120,635,000","14,364,288,000","9,528,215,000"
Gross Profit,0,0,0,0,0,0,0,0,0,0,"6,931,344,000","6,196,563,000","3,911,989,000","3,269,447,000"
Administrative Expenses,"2,673,739,000","2,610,895,000","1,603,368,000","1,122,907,000","944,749,000","393,402,000","336,972,000","209,794,000","569,463,000","388,652,000",0,0,0,0
Selling & Distributive Expenses,0,0,0,0,0,0,0,0,0,0,"1,945,176,000","1,657,815,000","1,270,703,000","1,036,509,000"
Financial Charges,"155,659,000","148,844,000","357,828,000","559,471,000","596,688,000","1,204,519,000","1,020,262,000","1,032,062,000","784,397,000","92,131,000","1,320,579,000","1,508,948,000","280,070,000","285,711,000"
Other Income,"21,892,463,000","19,829,860,000","18,125,102,000","64,719,104,000","13,406,042,000","4,288,055,000","4,877,790,000","2,820,974,000","1,147,010,000","433,947,000","1,973,467,000","2,754,330,000","1,144,987,000","558,154,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"2,294,544,000","394,210,000","330,802,000","4,617,000","6,166,000","54,882,000","71,838,000","141,433,000","739,724,000","38,773,000","424,110,000","579,556,000","286,652,000","190,328,000"
EBITDA,"17,206,095,000","16,892,676,000","16,234,082,000","63,620,183,000","12,481,299,000","3,863,114,000","4,499,847,000","2,523,612,000","2,278,111,000","1,922,439,000","7,208,047,000","7,367,256,000","4,108,800,000","3,183,075,000"
EBIT,"16,924,180,000","16,824,755,000","16,190,932,000","63,591,580,000","12,455,127,000","3,839,771,000","4,468,980,000","2,469,747,000","2,235,258,000","1,904,106,000","6,535,525,000","6,713,522,000","3,499,621,000","2,600,764,000"
EBT,"16,768,521,000","16,675,911,000","15,833,104,000","63,032,109,000","11,858,439,000","2,635,252,000","3,448,718,000","1,437,685,000","1,450,861,000","1,811,975,000","5,214,946,000","5,204,574,000","3,219,551,000","2,315,053,000"
Tax,"2,465,203,000","3,956,036,000","4,432,940,000","1,168,241,000","489,055,000","4,409,000","334,328,000","190,248,000","27,131,000","136,016,000","1,257,696,000","964,144,000","900,469,000","704,478,000"
PAT,"14,303,318,000","12,719,875,000","11,400,164,000","61,863,868,000","11,358,719,000","2,481,178,000","3,114,390,000","1,247,437,000","1,423,730,000","1,675,959,000","3,957,250,000","4,240,430,000","2,319,082,000","1,610,575,000"
EPS,24.83,24.28,21.76,118.11,21.71,4.81,6.09,2.44,3.62,5.11,14.08,16.81,15.16,10.53
