Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"38,492,244,000","33,812,067,000","19,397,763,000","16,011,070,000","16,008,366,000","16,249,050,000","16,923,190,000","17,132,553,000","17,633,526,000","18,537,582,000","19,198,729,000","19,360,686,000"
Investments,"20,430,526,000","9,589,420,000","7,753,059,000","200,000,000","790,000,000","350,000,000","200,012,000","350,000,000","50,000,000","50,000,000","50,000,000","50,000,000"
Cash in Hand and Bank,"940,920,000","777,823,000","1,359,208,000","679,881,000","371,616,000","154,779,000","537,185,000","860,335,000","89,300,000","106,228,000","321,496,000","190,064,000"
Stores and Spares,"1,784,734,000","1,568,929,000","1,562,767,000","1,602,387,000","1,545,381,000","1,539,344,000","1,476,761,000","1,390,168,000","1,478,662,000","1,098,891,000","633,799,000","192,762,000"
Stock in Trade,"6,194,509,000","4,302,841,000","3,581,387,000","3,681,162,000","3,024,268,000","2,941,206,000","3,897,503,000","3,250,590,000","3,052,402,000","2,469,563,000","2,056,383,000","1,605,218,000"
Trade Debts,"586,212,000","469,613,000","430,400,000","505,123,000","456,396,000","436,852,000","554,666,000","525,017,000","267,868,000","213,674,000","591,770,000","336,242,000"
Current Assets,"24,121,778,000","16,342,675,000","16,331,304,000","8,062,419,000","7,692,049,000","6,878,288,000","8,243,676,000","7,499,741,000","6,307,812,000","4,969,232,000","4,500,796,000","3,086,058,000"
Quick Assets,"16,142,535,000","10,470,905,000","11,187,150,000","2,778,870,000","3,122,400,000","2,397,738,000","2,869,412,000","2,858,983,000","1,776,748,000","1,400,778,000","1,810,614,000","1,288,078,000"
Total Assets,"69,031,112,000","57,466,446,000","35,970,305,000","24,315,163,000","24,460,569,000","24,242,158,000","26,301,184,000","25,240,178,000","24,956,659,000","24,527,859,000","24,134,082,000","22,556,035,000"
Interest Bearing Long Term Liability,"23,404,464,000","23,932,710,000","7,500,000,000","8,750,000,000","8,750,000,000","5,262,612,000","6,098,708,000","7,494,818,000","7,531,866,000","8,777,458,000","11,014,224,000","11,155,098,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,916,894,000","3,146,323,000",0,0,"831,541,000","6,090,244,000","3,616,196,000","3,008,862,000","4,057,065,000","3,214,168,000","2,941,681,000","1,410,634,000"
* Non Interest Bearing Short Term Liability,"9,883,842,000","6,906,089,000","6,499,984,000","4,648,456,000","6,733,198,000","6,357,058,000","9,429,305,000","7,291,908,000","6,884,919,000","6,168,917,000","3,090,722,000","3,200,304,000"
Trades Payables,"9,458,730,000","6,539,817,000","6,435,073,000","4,513,369,000","6,722,102,000","6,300,942,000","9,336,520,000","7,209,155,000","6,763,364,000","6,024,183,000","2,898,031,000","2,998,097,000"
Total Current Liabilities,"15,364,687,000","15,802,713,000","11,336,573,000","7,844,778,000","9,742,232,000","13,659,133,000","14,218,992,000","10,667,882,000","11,030,202,000","9,549,763,000","6,163,425,000","4,681,432,000"
Total Liabilities,"42,960,215,000","39,735,423,000","19,226,719,000","16,594,778,000","18,492,232,000","18,939,127,000","20,362,114,000","18,306,368,000","18,758,258,000","18,389,328,000","17,227,740,000","16,196,362,000"
Paid Up Capital,"9,089,233,000","9,089,233,000","9,089,233,000","6,634,688,000","6,634,688,000","6,634,688,000","6,634,688,000","6,634,688,000","6,634,688,000","6,634,688,000","6,634,688,000","5,203,677,000"
Reserves,"13,981,664,000","8,641,790,000","7,654,353,000","1,085,697,000","-666,351,000","-1,331,657,000","-695,618,000","299,122,000","-436,287,000","-496,157,000","271,654,000","1,155,996,000"
Preferred Equity,"3,000,000,000",0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"26,070,897,000","17,731,023,000","16,743,586,000","7,720,385,000","5,968,337,000","5,303,031,000","5,939,070,000","6,933,810,000","6,198,401,000","6,138,531,000","6,906,342,000","6,359,673,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"908,923,300","908,923,300","908,923,300","663,468,800","663,468,788","663,468,788","663,468,788","663,468,788","663,468,788","663,468,788","663,468,788","520,367,677"
