Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"35,331,398,000","37,836,632,000","35,271,635,000","27,730,736,000","22,854,024,000","22,263,742,000","23,819,272,000","24,591,905,000","20,466,332,000","16,885,802,000","14,628,061,000","11,571,117,000"
COGS,"24,382,129,000","29,730,593,000","26,535,620,000","21,665,326,000","18,919,015,000","19,490,499,000","21,998,345,000","19,681,106,000","17,013,767,000","14,810,642,000","13,436,594,000","10,418,657,000"
Gross Profit,"10,949,269,000","8,106,039,000","8,736,015,000","6,065,410,000","3,935,009,000","2,773,243,000","1,820,927,000","4,910,799,000","3,452,565,000","2,075,160,000","1,191,467,000","1,152,460,000"
Administrative Expenses,"549,854,000","565,842,000","668,900,000","584,163,000","518,896,000","515,348,000","627,899,000","606,409,000","478,361,000","386,402,000","311,136,000","205,389,000"
Selling & Distributive Expenses,"243,269,000","391,624,000","1,374,967,000","1,318,396,000","1,179,769,000","1,211,496,000","1,428,412,000","1,343,872,000","1,134,662,000","853,818,000","608,684,000","468,512,000"
Financial Charges,"2,191,097,000","1,785,583,000","606,147,000","821,006,000","927,181,000","1,144,194,000","1,064,972,000","1,373,541,000","1,647,137,000","1,537,796,000","1,411,956,000","596,264,000"
Other Income,"1,086,872,000","894,262,000","1,234,411,000","132,651,000","20,358,000","57,489,000","174,344,000","278,267,000","501,055,000","21,418,000","22,130,000","100,262,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"835,788,000","1,214,558,000","871,677,000","365,241,000","149,457,000","325,474,000","309,139,000","520,816,000","527,744,000","435,494,000","171,271,000","231,701,000"
EBITDA,"12,172,176,000","8,346,800,000","8,029,459,000","4,874,396,000","2,985,441,000","2,062,393,000","866,861,000","3,911,327,000","2,990,365,000","1,583,534,000","1,143,387,000","863,855,000"
EBIT,"10,407,230,000","6,828,277,000","7,054,882,000","3,930,261,000","2,107,245,000","778,414,000","-370,179,000","2,717,969,000","1,812,853,000","420,864,000","122,506,000","347,120,000"
EBT,"8,216,133,000","5,042,694,000","6,448,735,000","3,109,255,000","1,180,064,000","-365,780,000","-1,435,151,000","1,344,428,000","165,716,000","-1,116,932,000","-1,289,450,000","-249,144,000"
Tax,"2,503,888,000","1,339,192,000","1,531,438,000","1,060,121,000","525,276,000","283,077,000","-419,012,000","627,261,000","115,990,000","-387,664,000","-475,621,000","-17,355,000"
PAT,"5,712,245,000","3,703,502,000","4,917,297,000","2,049,134,000","654,788,000","-648,857,000","-1,016,139,000","717,167,000","49,726,000","-729,268,000","-813,829,000","-231,789,000"
EPS,6.28,4.07,6.21,3.09,0.99,-0.98,-1.53,1.08,0.07,-1.1,-1.29,-0.42
