Year,2020,2019,2018,2017,2016,2015,2014,2013
Fixed Assets,"12,685,728,000","13,299,480,000","13,664,179,000","13,169,212,000","13,524,720,000","14,078,859,000","14,217,020,000","15,233,998,000"
Investments,"49,321,000","49,963,000","50,004,000","50,000,000","50,000,000","50,000,000","56,000,000",0
Cash in Hand and Bank,"13,041,000","12,386,000","12,740,000","7,409,000","39,623,000","14,153,000","2,701,000","217,674,000"
Stores and Spares,"478,842,000","863,183,000","895,149,000","501,658,000","461,764,000","444,174,000","386,426,000","367,678,000"
Stock in Trade,"374,493,000",0,0,"379,524,000","381,244,000","382,085,000","383,460,000","366,431,000"
Trade Debts,"7,040,059,000","9,806,697,000","7,601,705,000","5,571,570,000","3,896,828,000","2,760,311,000","2,192,805,000","476,333,000"
Current Assets,"12,738,300,000","14,135,887,000","10,335,850,000","8,002,572,000","6,444,694,000","5,352,214,000","4,699,320,000","3,695,747,000"
Quick Assets,"11,884,965,000","13,272,704,000","9,440,701,000","7,121,390,000","5,601,686,000","4,525,955,000","3,929,434,000","2,961,638,000"
Total Assets,"25,510,294,000","27,541,251,000","24,173,605,000","21,290,562,000","20,092,057,000","19,551,619,000","19,028,630,000","19,033,144,000"
Interest Bearing Long Term Liability,0,0,"758,568,000","2,819,315,000","4,610,647,000","6,394,878,000","7,713,518,000","9,586,454,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"3,618,445,000","4,569,887,000","6,563,026,000","5,260,590,000","1,795,272,000","3,787,618,000","3,420,480,000","2,288,101,000"
* Non Interest Bearing Short Term Liability,"5,245,943,000","8,499,479,000","5,295,303,000","3,397,900,000","2,315,405,000","1,879,348,000","1,382,517,000","1,633,682,000"
Trades Payables,"5,190,675,000","8,406,839,000","5,241,411,000","3,366,958,000","2,290,697,000","1,844,183,000","1,355,368,000","1,591,890,000"
Total Current Liabilities,"8,886,963,000","13,578,068,000","11,882,262,000","8,658,490,000","7,026,758,000","5,667,971,000","4,805,793,000","3,923,381,000"
Total Liabilities,"9,873,568,000","13,578,068,000","12,640,830,000","11,477,805,000","11,637,405,000","12,062,849,000","12,519,311,000","13,509,835,000"
Paid Up Capital,"3,238,000,000","3,238,000,000","3,238,000,000","3,238,000,000","3,238,000,000","3,238,000,000","3,238,000,000","3,238,000,000"
Reserves,"12,398,726,000","10,725,183,000","8,294,775,000","6,574,757,000","5,216,652,000","4,250,770,000","3,271,319,000","2,285,309,000"
Preferred Equity,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0
Shareholder Equity,"15,636,726,000","13,963,183,000","11,532,775,000","9,812,757,000","8,454,652,000","7,488,770,000","6,509,319,000","5,523,309,000"
Paid Up Value,10,10,10,10,10,10,10,10
Number of Shares,"323,800,000","323,800,000","323,800,000","323,800,000","323,800,000","328,800,000","323,800,000","323,800,000"
