Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"149,772,008","60,335,998","640,945","185,311,316","167,305,958","197,562,900","94,680,409","234,657,483","236,953,280","122,394,510","62,812,394","42,449,306","36,860,863"
Investments,"227,213,800","230,504,010","279,158,608","255,579,342","395,491,421","447,528,324","744,458,844","482,551,684","388,084,901","1,161,622,799","960,823,454","1,268,521,114","4,803,146,693"
Fixed Assets,"190,478,756","114,387,569","102,822,050","85,778,162","95,873,568","103,950,542","110,672,527","102,843,295","106,182,817","79,157,239","90,657,797","106,581,325","135,382,584"
Cash in Hand and Bank,"286,662,222","578,486,018","756,000,407","8,143,505","4,010,051","5,489,402","50,716,737","36,080,966","35,934,136","17,441,234","9,493,983","19,478,267","179,941,667"
Current Assets,"709,709,503","933,528,699","1,221,107,978","404,281,521","553,497,995","884,614,470","1,301,459,226","744,069,496","1,476,795,937","1,714,066,628","849,897,300","1,108,242,621","5,394,443,468"
Total Assets,"1,376,345,438","1,435,024,410","1,519,939,531","996,817,250","1,262,630,076","1,631,971,804","1,919,616,809","1,491,227,666","2,176,521,066","2,364,875,518","1,825,017,851","2,107,643,224","6,496,909,650"
Total Non Current Liabilities,"112,852,519","733,467,910","769,000,000","218,181,654","280,535,817","290,116,323","394,766,083","274,303,062","236,953,280","117,803,130","423,741,074","531,082,633","911,535,941"
Total Current Liabilities,"343,828,058","651,853,717","650,940,172","515,652,941","599,375,481","852,455,528","1,016,130,874","688,042,669","1,432,926,660","1,762,675,830","876,479,753","971,888,191","4,737,056,584"
Total Liabilities,"456,680,577","1,385,321,627","1,419,940,172","733,834,595","879,911,298","1,142,571,851","1,410,896,957","962,345,731","1,669,879,940","1,880,478,960","1,300,220,827","1,502,970,824","5,648,592,525"
Paid Up Capital,"1,356,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000","441,000,000"
Reserves,"-454,332,448","-410,241,753","-360,942,258","-207,582,381","-89,402,310","15,640,913","40,901,604","56,808,178","34,574,874","45,894,888","76,973,146","156,403,209","410,850,425"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"919,664,861","49,702,783","99,999,359","262,982,655","382,718,778","489,399,953","508,719,852","528,881,935","506,641,126","484,396,558","524,797,024","604,672,400","848,317,125"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"135,600,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000","44,100,000"
Surplus On Revaluation of Assets,"17,997,309","18,944,536","19,941,617","29,565,036","31,121,088","32,759,040","26,818,248","31,073,757","31,066,252","-2,498,330","6,823,878","7,269,191","-3,533,300"
