Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Investments,"1,287,658,000","1,123,750,000","1,165,224,000","1,061,831,000","896,385,000","729,551,000","551,419,000","354,417,000","243,535,000","191,758,000","232,810,000"
Fixed Assets,"146,136,000","155,312,000","115,774,000","123,938,000","119,184,000","53,127,000","56,306,000","58,199,000","110,743,000","124,843,000","114,984,000"
Other Non Current Assets,"255,301,000","115,063,000","1,709,000","2,139,000","2,401,000","73,000",0,0,0,0,0
Cash in Hand and Bank,"28,403,000","35,777,000","90,722,000","69,663,000","66,944,000","82,481,000","35,820,000","62,204,000","52,573,000","40,123,000","55,221,000"
Other Current Assets,"1,922,711,000","1,528,178,000","1,320,336,000","1,078,214,000","490,356,000","533,721,000","432,442,000","360,532,000","307,104,000","276,918,000","257,467,000"
Total Assets,"3,640,209,000","2,958,080,000","2,693,765,000","2,335,785,000","1,575,270,000","1,398,953,000","1,075,987,000","835,352,000","713,955,000","633,642,000","660,482,000"
Under Writing Provisions,"1,978,991,000","1,675,577,000","1,492,574,000","1,198,441,000","668,431,000","557,656,000","443,964,000","317,056,000","270,010,000","253,543,000","281,437,000"
Creditors and Accruals,"177,184,000","130,512,000","126,658,000","132,884,000","106,493,000","158,785,000","58,260,000","47,343,000","38,529,000","36,798,000","41,678,000"
Other Liabilites,"58,732,000","28,153,000","24,251,000","22,760,000","44,332,000","17,600,000","14,478,000","4,853,000","7,373,000","5,146,000","7,655,000"
Total Liabilities,"2,214,907,000","1,834,242,000","1,643,483,000","1,354,085,000","819,256,000","734,041,000","516,702,000","369,252,000","315,912,000","295,487,000","330,770,000"
Paid Up Capital,"1,029,007,000","762,227,000","609,782,000","508,151,000","451,690,000","401,502,000","365,002,000","331,820,000","301,655,000","251,379,000","228,526,000"
Reserves,"396,295,000","361,612,000","440,500,000","473,549,000","304,324,000","263,410,000","194,283,000","134,280,000","96,388,000","86,776,000","101,186,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,425,302,000","1,123,839,000","1,050,282,000","981,700,000","756,014,000","664,912,000","559,285,000","466,100,000","398,043,000","338,155,000","329,712,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"102,900,700","76,222,700","60,978,200","50,815,164","45,169,035","40,150,254","36,500,231","33,182,029","27,651,691","25,137,901","22,852,638"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
