Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"1,340,079,000","1,507,876,000","1,631,860,000","1,442,525,000","1,355,372,000","1,313,152,000","1,249,709,000","1,039,059,000","1,018,471,000","1,027,910,000","776,542,000","671,711,000","599,749,000"
Investments,"224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000","224,000"
Cash in Hand and Bank,"140,253,000","149,083,000","880,414,000","1,017,896,000","399,357,000","1,673,231,000","1,266,552,000","582,762,000","743,678,000","567,426,000","286,206,000","234,679,000","121,025,000"
Stores and Spares,"112,321,000","115,987,000",0,"106,962,000","127,418,000","111,072,000","93,039,000","73,136,000","67,761,000","65,798,000","52,385,000","32,550,000","31,606,000"
Stock in Trade,"1,881,076,000","2,176,433,000","2,266,384,000","3,866,881,000","2,770,081,000","2,396,343,000","2,355,195,000","1,605,155,000","1,497,121,000","1,856,140,000","1,457,671,000","859,857,000","1,014,506,000"
Trade Debts,"3,155,002,000","3,565,856,000","3,146,701,000","2,331,845,000","2,510,293,000","1,335,269,000","602,809,000","286,504,000","346,205,000","317,367,000","203,098,000","162,668,000","170,168,000"
Current Assets,"6,435,812,000","7,000,564,000","7,201,204,000","7,897,218,000","6,388,521,000","6,090,894,000","4,792,792,000","2,743,749,000","2,892,389,000","2,959,417,000","2,107,704,000","1,346,232,000","1,424,032,000"
Quick Assets,"4,442,415,000","4,708,144,000","4,934,820,000","3,923,375,000","3,491,022,000","3,583,479,000","2,344,558,000","1,065,458,000","1,327,507,000","1,037,479,000","597,648,000","453,825,000","377,920,000"
Total Assets,"8,371,101,000","8,556,063,000","8,872,197,000","9,375,549,000","7,781,844,000","7,438,741,000","6,069,410,000","3,803,186,000","3,933,246,000","4,010,501,000","2,904,612,000","2,036,587,000","2,039,697,000"
Interest Bearing Long Term Liability,"221,894,000",0,0,0,0,0,0,0,0,0,0,"20,000,000","100,000,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"2,345,284,000","3,199,663,000","2,850,331,000","3,117,456,000","2,569,132,000","3,068,701,000","2,080,257,000","451,748,000","1,253,521,000","1,239,272,000","1,086,866,000","544,734,000","575,194,000"
* Non Interest Bearing Short Term Liability,"1,994,375,000","1,569,454,000","1,723,941,000","2,024,443,000","1,628,740,000","1,230,472,000","1,222,156,000","969,863,000","739,713,000","1,127,078,000","623,614,000","420,411,000","460,068,000"
Trades Payables,"1,784,889,000","1,182,221,000","1,377,747,000","1,991,805,000","1,596,786,000","1,164,096,000","1,193,062,000","963,604,000","707,708,000","1,079,227,000","608,544,000","452,953,000","444,174,000"
Total Current Liabilities,"4,345,532,000","4,775,193,000","4,575,496,000","5,141,899,000","4,197,872,000","4,299,173,000","3,302,413,000","1,421,611,000","1,993,234,000","2,366,350,000","1,710,480,000","1,011,724,000","1,035,262,000"
Total Liabilities,"4,567,426,000","4,775,193,000","4,585,091,000","5,144,996,000","4,205,073,000","4,346,216,000","3,367,992,000","1,474,484,000","2,048,596,000","2,412,097,000","1,754,611,000","1,055,623,000","1,160,719,000"
Paid Up Capital,"77,686,000","77,686,000","77,686,000","77,686,000","77,686,000","77,686,000","77,686,000","70,624,000","70,624,000","56,499,000","56,499,000","54,057,000","54,057,000"
Reserves,"2,630,153,000","3,094,052,000","3,584,627,000","3,649,635,000","2,983,383,000","2,604,358,000","2,203,784,000","1,828,141,000","1,374,100,000","1,091,989,000","844,000,000","671,907,000","564,522,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,095,836,000","609,132,000","624,793,000","503,232,000","515,702,000","410,481,000","419,948,000","429,937,000","439,926,000","449,916,000","249,502,000","255,000,000","260,399,000"
Shareholder Equity,"3,803,675,000","3,780,870,000","4,287,106,000","4,230,553,000","3,576,771,000","3,092,525,000","2,701,418,000","2,328,702,000","1,884,650,000","1,598,404,000","1,150,001,000","980,964,000","878,978,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"7,768,600","7,768,600","7,768,600","7,768,618","7,768,618","7,768,618","7,768,618","7,062,380","7,062,380","5,649,904","5,649,904","5,405,700","5,405,700"
