Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"8,722,283,000","9,506,579,000","12,301,411,000","12,909,940,000","11,788,316,000","13,138,079,000","11,593,822,000","11,145,295,000","9,465,724,000","7,711,452,000","6,189,135,000","5,630,385,000","3,022,276,000"
COGS,"7,995,164,000","8,534,355,000","10,944,793,000","10,342,279,000","9,613,108,000","11,131,069,000","10,160,746,000","9,565,046,000","8,191,480,000","6,643,630,000","5,413,928,000","5,009,813,000","2,661,011,000"
Gross Profit,"727,119,000","972,224,000","1,356,618,000","2,567,661,000","2,175,208,000","2,007,010,000","1,433,076,000","1,580,249,000","1,274,244,000","1,067,822,000","775,207,000","620,572,000","361,265,000"
Administrative Expenses,"116,419,000","121,858,000","109,280,000","103,834,000","107,389,000","109,022,000","97,231,000","92,261,000","76,034,000","62,479,000","57,885,000","59,241,000","40,116,000"
Selling & Distributive Expenses,"757,940,000","938,232,000","868,292,000","1,228,058,000","1,127,643,000","926,102,000","576,757,000","599,201,000","459,848,000","399,834,000","296,100,000","237,235,000","117,976,000"
Financial Charges,"403,128,000","259,106,000","141,258,000","64,965,000","174,164,000","254,226,000","96,423,000","38,327,000","157,099,000","128,489,000","78,948,000","82,521,000","49,099,000"
Other Income,"166,560,000","18,519,000","12,000,000","5,727,000","4,093,000","12,040,000","15,649,000","9,126,000","15,733,000","4,594,000","5,274,000","3,993,000","13,574,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"52,011,000","82,385,000","55,826,000","115,596,000","118,563,000","112,219,000","74,857,000","105,257,000","96,070,000","51,888,000","43,994,000","63,565,000","24,494,000"
EBITDA,"128,270,000","16,372,000","497,671,000","1,272,465,000","961,910,000","998,131,000","812,906,000","886,444,000","755,453,000","634,953,000","445,279,000","336,520,000","232,461,000"
EBIT,"-32,691,000","-151,732,000","335,220,000","1,125,900,000","825,706,000","871,707,000","699,880,000","792,656,000","658,025,000","558,215,000","382,502,000","264,524,000","192,253,000"
EBT,"-435,819,000","-410,838,000","193,962,000","1,060,935,000","651,542,000","617,481,000","603,457,000","754,329,000","500,926,000","429,726,000","303,554,000","182,003,000","143,154,000"
Tax,"123,033,000","93,673,000","172,341,000","321,679,000","226,926,000","169,796,000","202,365,000","267,903,000","180,781,000","153,336,000","106,267,000","63,797,000","49,355,000"
PAT,"-558,852,000","-504,511,000","21,621,000","739,256,000","424,616,000","447,685,000","401,092,000","486,426,000","320,145,000","276,390,000","197,287,000","118,206,000","93,799,000"
EPS,-71.94,-64.94,2.78,95.16,54.66,57.63,51.63,68.88,45.33,48.92,34.92,21.87,17.35
