Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2006,2005,2004,2003,2002,2001,2000
Cash in Hand and Bank,"59,881,289,000","60,368,417,000","43,173,993,000","37,861,767,000","37,239,302,000","26,084,007,000","20,285,851,000","28,422,497,000","24,508,852,000","18,445,108,000","17,428,924,000","8,427,202,000","8,927,524,000","7,207,998,000","6,696,714,000","5,048,395,000","2,866,278,000","1,850,394,000","7,068,207,000","808,297,000"
Lendings To Banks & Financial Inst.,"5,863,547,000","2,835,570,000","4,845,081,000","10,883,106,000","6,139,375,000","13,156,854,000","1,422,699,000","1,311,980,000","1,209,313,000","4,685,718,000","5,727,909,000","15,526,621,000","3,738,181,000","7,491,245,000","12,788,728,000","7,981,408,000","1,520,792,000","3,271,515,000","3,453,186,000","6,334,040,000"
Advances,"318,179,878,000","309,573,002,000","296,444,861,000","231,532,160,000","204,830,997,000","178,079,084,000","181,224,805,000","184,190,304,000","172,299,205,000","148,161,995,000","133,706,769,000","91,346,001,000","83,512,068,000","74,468,644,000","62,323,508,000","50,542,166,000","29,626,223,000","21,934,701,000","24,023,186,000","12,965,883,000"
Investments,"276,929,792,000","204,068,952,000","214,185,591,000","179,706,358,000","170,210,137,000","183,677,239,000","155,210,513,000","113,319,478,000","87,995,224,000","93,409,187,000","86,418,549,000","56,531,338,000","36,152,537,000","22,525,358,000","24,411,644,000","12,333,893,000","11,218,501,000","6,841,907,000","4,273,790,000","2,393,104,000"
Fixed Assets,"24,038,885,000","24,183,424,000","11,612,007,000","12,939,625,000","12,111,881,000","11,342,980,000","11,543,356,000","10,250,910,000","10,859,963,000","10,849,607,000","8,726,406,000","2,787,617,000","2,646,978,000","2,239,392,000","1,726,086,000","1,158,407,000","1,030,352,000","685,924,000","378,491,000","300,804,000"
Other Assets,"25,064,563,000","28,823,292,000","29,652,650,000","15,103,891,000","13,932,969,000","17,732,696,000","18,438,560,000","17,784,538,000","16,191,775,000","17,016,211,000","15,312,366,000","6,246,634,000","3,264,198,000","1,537,764,000","2,334,577,000","1,473,952,000","1,344,251,000","2,086,867,000","2,710,823,000","2,081,426,000"
Total Assets,"709,957,954,000","629,852,657,000","599,914,183,000","488,026,907,000","444,464,661,000","430,072,860,000","388,125,784,000","355,279,707,000","313,064,332,000","292,567,826,000","267,320,923,000","180,865,413,000","138,241,486,000","115,470,401,000","110,281,257,000","78,538,221,000","47,606,397,000","36,671,308,000","41,897,683,000","24,883,554,000"
Deposits,"540,635,833,000","457,789,109,000","409,383,802,000","373,081,163,000","340,306,404,000","292,130,258,000","283,345,739,000","271,134,303,000","240,712,826,000","214,614,731,000","195,315,204,000","123,655,188,000","102,776,793,000","74,413,641,000","74,736,717,000","56,460,329,000","31,332,172,000","24,457,994,000","31,860,364,000","17,524,435,000"
Borrowings & Bills Payable,"71,989,786,000","81,103,255,000","121,895,446,000","62,092,873,000","58,788,369,000","96,574,480,000","66,274,637,000","50,415,138,000","39,812,603,000","42,772,628,000","37,854,763,000","36,451,217,000","14,563,985,000","19,481,162,000","16,489,039,000","9,383,685,000","6,960,672,000","5,617,818,000","4,695,240,000","4,263,447,000"
