Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2006,2005,2004,2003,2002,2001,2000
Markup Interest Earned,"55,922,010,000","58,398,138,000","35,199,965,000","28,791,306,000","26,200,691,000","32,312,553,000","32,312,633,000","27,790,468,000","28,802,150,000","28,825,449,000","19,710,460,000","16,957,875,000","13,404,132,000","9,728,046,000","6,338,051,000","2,753,451,000","2,074,611,000","3,046,246,000","4,754,347,000","2,350,021,000"
Markup Expense,"31,387,944,000","37,278,033,000","18,924,859,000","14,830,923,000","14,134,284,000","18,357,971,000","18,480,191,000","16,945,315,000","19,838,745,000","19,619,095,000","13,919,256,000","11,967,885,000","8,454,755,000","6,089,255,000","3,311,567,000","1,118,118,000","946,485,000","2,167,670,000","3,863,731,000","1,950,267,000"
Net Income Before Provision,"13,024,658,000","11,034,580,000","7,779,769,000","13,960,383,000","12,066,407,000","13,954,582,000","13,832,442,000","10,845,153,000","8,963,405,000","9,206,354,000","5,791,204,000","4,989,990,000","4,949,377,000","3,638,791,000","3,026,484,000","1,635,333,000","1,128,126,000","878,576,000","890,616,000","399,754,000"
Net Income After Provision,"10,770,357,000","10,191,690,000","8,201,709,000","14,456,795,000","11,502,329,000","12,561,122,000","11,473,605,000","8,728,759,000","7,562,585,000","8,511,109,000","3,589,380,000","2,798,107,000","2,902,015,000","3,016,392,000","3,336,325,000","1,511,807,000","879,848,000","899,915,000","829,306,000","318,201,000"
Non Markup Income,"8,231,043,000","7,247,357,000","6,259,953,000","5,591,213,000","6,768,013,000","5,564,340,000","4,374,169,000","4,526,184,000","5,281,719,000","4,070,369,000","4,012,338,000","2,813,065,000","2,310,593,000","2,753,389,000","2,063,261,000","1,831,485,000","2,713,855,000","977,116,000","659,724,000","484,392,000"
Revenue,"64,153,053,000","65,645,495,000","41,459,918,000","34,382,519,000","32,968,704,000","37,876,893,000","36,686,802,000","32,316,652,000","34,083,869,000","32,895,818,000","23,722,798,000","19,770,940,000","15,714,725,000","12,481,435,000","8,401,312,000","4,584,936,000","4,788,466,000","4,023,362,000","5,414,071,000","2,834,413,000"
Non Markup Expense,"19,740,451,000","17,332,882,000","14,755,290,000","12,778,696,000","11,589,655,000","11,198,383,000","12,295,244,000","11,100,821,000","11,004,203,000","11,103,387,000","6,774,664,000","4,310,671,000","3,416,071,000","1,899,441,000","1,430,719,000","1,135,822,000","848,431,000","622,457,000","534,173,000","359,173,000"
EBT,"10,770,357,000","10,191,690,000","8,201,709,000","7,269,312,000","6,658,637,000","6,920,077,000","3,551,785,000","2,160,779,000","1,840,101,000","1,478,091,000","827,054,000","1,300,501,000","1,796,537,000","3,870,340,000","3,968,867,000","2,207,470,000","2,745,272,000","1,254,574,000","924,857,000","443,420,000"
Tax,"4,259,852,000","4,151,058,000","3,364,526,000","2,754,526,000","2,356,865,000","2,697,713,000","1,074,826,000","310,873,000","417,219,000","197,795,000","-363,275,000","100,342,000","681,585,000","1,053,768,000","899,410,000","454,000,000","593,928,000","598,175,000","514,877,000","236,122,000"
PAT,"6,510,505,000","6,040,632,000","4,837,183,000","4,514,786,000","4,301,772,000","4,222,364,000","2,476,959,000","1,849,906,000","1,422,882,000","1,280,296,000","1,190,329,000","1,200,159,000","1,114,952,000","2,816,572,000","3,069,457,000","1,753,470,000","2,151,344,000","656,399,000","409,980,000","207,298,000"
EPS,4.29,3.98,3.19,3.42,3.59,3.52,2.37,1.77,1.53,1.55,1.63,1.97,1.83,6.65,7.24,4.76,7.39,2.48,1.55,1.53
