Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008,2006,2005
Cash in Hand and Bank,"9,174,848","33,848,731","24,281,195","11,482,750","24,206,892","42,319,170","22,150,478","29,308,110","15,728,215","11,400,377","24,482,724","9,567,845","9,750,067","45,107,428"
Current Assets,"189,226,567","163,224,369","134,542,861","125,963,522","107,330,939","206,592,250","259,597,258","269,693,965","264,613,071","253,920,891","204,296,167","232,558,627","217,139,200","267,368,444"
Musharika & Morabaha finances-Assets,"79,910,662","76,942,584","23,459,718","59,997,510","85,000,000","25,000,000","25,000,000","58,197,900","76,321,478","154,475,000","94,475,000","88,910,000","146,452,048","176,959,837"
Investments,"144,113,854","36,896,384","52,850,678","42,018,564","62,782,744","78,218,404","58,422,382","53,718,793","174,960,195","43,884,591","40,534,630","59,842,852","61,223,600","41,710,218"
Fixed Assets,"3,626,533","4,598,418","5,922,709","5,205,149","2,951,897","2,750,966","4,243,876","6,230,788","32,897,369","43,337,605","42,063,741","17,121,399","61,817,547","36,025,203"
Total Assets,"269,305,854","288,958,907","316,380,258","351,460,973","356,938,445","361,657,792","376,086,840","359,482,019","354,297,159","330,869,281","301,539,855","329,836,685","332,483,364","336,393,867"
Total Current Liabilities,"13,273,864","32,239,069","23,184,507","24,949,121","33,337,677","23,350,965","20,598,586","20,569,009","17,730,423","17,674,419","13,417,704","27,556,303","51,206,518","48,884,585"
Total Non Current Liabilities,"7,909,537","12,080,339","28,782,656","33,976,490","31,373,985","30,155,782","22,091,195","15,359,860","7,907,463","6,321,370","8,426,498","7,439,635","6,726,281","3,972,816"
Musharika & Morabaha finances-Liability,0,0,0,0,0,0,0,0,0,0,0,0,"26,344,885","31,401,497"
Total Liabilities,"21,183,401","44,319,408","51,967,163","58,925,611","64,711,662","53,506,747","42,689,781","35,928,869","25,637,916","23,995,789","21,844,202","34,995,938","57,932,799","52,857,401"
Paid Up Capital,"210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000","210,000,000"
Reserves,"43,493,509","42,048,962","57,100,666","87,765,671","84,741,231","95,070,772","125,022,903","113,901,855","119,985,431","98,441,715","69,695,653","84,840,747","64,550,566","73,536,466"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"248,122,452","244,639,499","264,413,089","292,535,362","292,246,783","305,538,225","333,397,059","323,553,150","328,659,243","306,873,492","279,695,653","294,840,747","274,550,565","283,536,466"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000"
Surplus On Revaluation of Assets,"-5,371,057","-7,409,463","-2,687,577","-5,230,309","-2,494,448","467,453","-1,625,844","-348,705","-1,326,188","-1,568,223",0,0,0,0
