Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008,2006,2005
Operating Income,"30,430,154","25,581,962","24,920,918","39,366,461","23,437,377","6,365,470","42,077,702","34,575,465","39,647,354","63,892,812","65,620,309","67,348,265","51,357,395","56,783,488"
Other Income,"7,134,614","512,753","276,148","6,354,685","2,847,531","2,710,955","4,568,604","-7,416","1,913,169","3,404,623","3,865,294","5,399,772","1,023,690","597,209"
Operating Expenses,"30,499,117","28,417,961","29,408,501","25,575,436","25,473,175","28,107,773","25,436,843","25,560,619","17,185,604","15,211,761","11,721,807","9,412,924","7,685,750","8,427,092"
Financial Charges,"25,473","26,968","31,495","36,510","7,700","127,864","146,811","87,310","236,342","3,477,557","3,032,494","2,099,448","2,871,239","3,219,194"
Other Expenses,"3,179,673","3,951,567","12,500,000","12,890,308","15,760",0,"2,869,710","1,488,265","2,550,749","23,153,996","25,561,293","21,637,906","19,639,716","16,142,369"
Change in Value of Investment,"-4,057,067","-7,814,904","-8,267,558","-4,190,582","-670,474","4,799,714","3,256,928","3,730,125","-2,457,203","-14,186,811","-24,598,030","-7,296,271","-231,304","-324,142"
EBT,"-196,563","-14,116,685","-25,010,488","3,028,310","117,799","-14,359,498","21,449,870","11,161,981","19,130,625","11,267,311","4,571,980","32,301,488","21,953,076","29,267,900"
Tax,0,0,0,0,0,"173,523","50,932","165,912","911,827","232,507","367,456","309,699","943,114","127,180"
PAT,"-196,563","-14,116,685","-25,010,488","3,028,310","117,799","-14,533,021","21,398,938","10,996,069","18,218,798","11,034,804","4,204,524","31,991,789","21,009,962","29,140,720"
EPS,-0.01,-0.67,-1.19,0.14,0.01,-0.69,1.02,0.52,0.87,0.53,0.2,1.52,1,1.39
