Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"100,720,660,000","78,261,964,000","72,989,957,000","72,941,374,000","73,105,193,000","68,823,170,000","67,588,017,000","67,545,353,000","68,215,648,000","65,134,188,000","54,977,929,000"
Investments,"802,419,000","2,863,633,000","2,436,513,000","2,438,860,000","2,106,450,000","85,806,000","85,190,000","85,190,000",0,0,0
Cash in Hand and Bank,"514,739,000","537,654,000","809,945,000","11,099,884,000","295,203,000","948,807,000","238,294,000","984,144,000","3,839,361,000","283,289,000","224,417,000"
Stores and Spares,"7,713,456,000","5,058,691,000","4,745,061,000","4,972,467,000","4,764,101,000","4,090,265,000","3,850,150,000","3,230,805,000","1,930,679,000","2,269,080,000","1,142,798,000"
Stock in Trade,"11,517,911,000","5,028,170,000","3,813,626,000","6,242,649,000","7,002,664,000","2,681,206,000","2,702,076,000","2,507,927,000","1,215,014,000","535,825,000",0
Trade Debts,"7,206,970,000","2,397,405,000","1,796,351,000","2,115,557,000","335,002,000","448,314,000","99,181,000","138,480,000","195,840,000","256,548,000",0
Current Assets,"44,538,915,000","27,116,402,000","20,956,707,000","32,270,573,000","19,532,610,000","14,168,624,000","11,563,764,000","8,329,011,000","8,126,119,000","4,284,606,000","2,216,453,000"
Quick Assets,"25,307,548,000","17,029,541,000","12,398,020,000","21,055,457,000","7,765,845,000","7,397,153,000","5,011,538,000","2,590,279,000","4,980,426,000","1,479,701,000","1,073,655,000"
Total Assets,"155,116,305,000","109,951,006,000","99,336,477,000","110,597,118,000","94,789,153,000","83,120,963,000","79,289,945,000","76,004,796,000","76,347,248,000","69,457,038,000","57,202,532,000"
Interest Bearing Long Term Liability,"6,532,266,000","6,887,911,000","10,774,286,000","16,342,734,000","13,168,124,000","17,335,003,000","22,647,450,000","27,023,742,000","34,457,218,000","37,446,530,000","30,846,063,000"
Non Interest Bearing Long Term Liability,0,0,"51,269,000",0,0,0,0,0,"1,270,163,000","603,672,000","3,898,250,000"
Interest Bearing Short Term Liability,"23,061,369,000","10,963,937,000","7,377,986,000","13,529,357,000","17,041,605,000","6,974,911,000","8,240,594,000","6,775,625,000","3,032,833,000","316,208,000","402,796,000"
* Non Interest Bearing Short Term Liability,"27,320,602,000","13,912,525,000","11,627,369,000","17,658,432,000","8,905,994,000","7,632,836,000","7,034,127,000","5,496,205,000","7,488,944,000","6,693,569,000","4,258,142,000"
Trades Payables,"26,483,859,000","13,688,406,000","11,459,546,000","17,399,012,000","8,645,991,000","7,373,905,000","6,650,695,000","4,996,727,000","4,650,956,000","3,704,173,000","1,662,141,000"
Total Current Liabilities,"50,571,921,000","24,945,294,000","19,005,355,000","31,187,789,000","25,947,599,000","14,607,747,000","15,274,721,000","12,271,830,000","10,757,984,000","7,074,260,000","4,660,938,000"
Total Liabilities,"77,108,007,000","47,689,692,000","45,594,685,000","63,223,102,000","54,560,644,000","46,363,939,000","46,530,987,000","47,054,442,000","48,292,383,000","45,198,258,000","39,459,744,000"
Paid Up Capital,"21,000,000,000","21,000,000,000","21,000,000,000","21,000,000,000","21,000,000,000","21,000,000,000","21,000,000,000","21,000,000,000","24,000,000,000","24,000,000,000","18,000,000,000"
Reserves,"57,008,298,000","41,261,314,000","32,741,792,000","26,374,016,000","19,228,509,000","15,757,024,000","11,758,958,000","7,950,354,000","4,054,865,000","258,780,000","-257,212,000"
Preferred Equity,0,0,0,0,0,0,0,0,"4,000,000,000","4,000,000,000",0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"78,008,298,000","62,261,314,000","53,741,792,000","47,374,016,000","40,228,509,000","36,757,024,000","32,758,958,000","28,950,354,000","28,054,865,000","24,258,780,000","17,742,788,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"2,100,000,000","2,100,000,000","2,100,000,000","2,100,000,000","2,100,000,000","2,100,000,000","2,100,000,000","2,100,000,000","2,000,000,000","2,000,000,000","1,800,000,000"
