Year,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"74,964,214,000","45,963,819,000","37,611,818,000","33,764,644,000","29,733,352,000","36,169,191,000","33,495,889,000","29,518,623,000","14,833,343,000",0,0
COGS,"47,065,331,000","19,482,553,000","17,275,276,000","15,779,727,000","12,611,251,000","14,708,355,000","13,712,677,000","12,252,427,000","4,781,491,000",0,0
Gross Profit,"27,898,883,000","26,481,266,000","20,336,542,000","17,984,917,000","17,122,101,000","21,460,836,000","19,783,212,000","17,266,196,000","10,051,852,000",0,0
Administrative Expenses,"2,778,727,000","2,097,940,000","1,533,619,000","1,308,273,000","1,618,654,000","1,345,890,000","1,098,985,000","738,792,000","376,695,000","113,866,000","96,205,000"
Selling & Distributive Expenses,"3,800,064,000","3,629,719,000","3,481,882,000","2,382,529,000","1,289,561,000","1,448,837,000","1,430,122,000","1,233,944,000","337,946,000",0,0
Financial Charges,"3,760,909,000","1,450,128,000","2,198,268,000","2,739,412,000","2,379,218,000","3,766,899,000","4,169,002,000","5,773,821,000","3,063,055,000","8,950,000","7,494,000"
Other Income,"1,114,436,000","915,440,000","526,866,000","702,558,000","574,313,000","624,309,000","245,776,000","67,033,000","133,810,000","1,746,000","6,578,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"1,480,466,000","1,708,296,000","913,370,000","630,759,000","860,703,000","1,374,485,000","1,010,346,000","506,135,000","320,398,000",0,0
EBITDA,"23,776,303,000","23,265,859,000","16,771,496,000","16,176,784,000","15,590,490,000","19,507,296,000","18,021,398,000","16,339,978,000","9,861,634,000","-92,602,000","-73,169,000"
EBIT,"20,954,062,000","19,960,751,000","14,934,537,000","14,365,914,000","13,927,496,000","17,915,933,000","16,489,535,000","14,854,358,000","9,150,623,000","-112,120,000","-89,627,000"
EBT,"17,193,153,000","18,510,623,000","12,736,269,000","11,626,502,000","11,548,278,000","14,149,034,000","12,320,533,000","9,080,537,000","6,087,568,000","-121,070,000","-97,121,000"
Tax,"5,123,471,000","5,238,231,000","2,160,256,000","1,844,359,000","2,294,667,000","4,891,238,000","4,298,348,000","2,969,418,000","1,970,593,000","42,569,000",0
PAT,"12,069,682,000","13,272,392,000","10,576,013,000","9,782,143,000","9,253,611,000","9,257,796,000","8,022,185,000","6,111,119,000","4,116,975,000","-163,639,000","-97,121,000"
EPS,5.75,6.32,5.04,4.66,4.41,4.41,3.82,2.86,2.06,-0.07,-0.08
