Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"22,125,494,000","23,202,930,000","22,624,413,000","22,003,943,000","21,701,250,000","23,880,553,000","23,881,426,000","24,734,325,000","25,897,954,000","26,658,079,000","23,819,040,000","18,777,204,000"
Investments,0,0,0,0,"1,324,485,000","300,211,000",0,0,0,0,0,0
Cash in Hand and Bank,"561,174,000","402,847,000","531,759,000","5,178,370,000","1,665,579,000","2,296,603,000","842,983,000","1,702,171,000","215,071,000","978,847,000","192,217,000","175,947,000"
Stores and Spares,"3,505,809,000","3,055,041,000","3,067,684,000","2,194,451,000","2,177,367,000","1,965,411,000","2,016,336,000","1,869,919,000","2,554,433,000","2,444,173,000","1,060,533,000","1,038,078,000"
Stock in Trade,"1,187,752,000","944,022,000","1,244,805,000","1,071,970,000","540,588,000","888,536,000","1,409,107,000","981,092,000","955,337,000","493,922,000","96,684,000","137,451,000"
Trade Debts,"1,050,640,000","947,046,000","1,168,343,000","1,148,618,000","569,101,000","566,141,000","580,214,000","205,802,000","64,241,000","36,960,000","24,514,000","54,641,000"
Current Assets,"5,182,458,000","5,675,651,000","6,338,432,000","5,661,675,000","7,499,669,000","6,413,596,000","5,188,357,000","5,039,090,000","4,159,818,000","4,792,126,000","2,070,718,000","1,654,014,000"
Quick Assets,"488,897,000","1,676,588,000","2,025,943,000","2,395,254,000","4,781,714,000","3,559,649,000","1,762,914,000","2,188,079,000","650,048,000","1,854,031,000","913,501,000","478,485,000"
Total Assets,"29,377,145,000","28,965,182,000","29,049,446,000","27,752,219,000","29,357,652,000","30,528,290,000","29,381,332,000","30,305,049,000","30,703,465,000","32,210,829,000","26,779,999,000","21,446,501,000"
Interest Bearing Long Term Liability,"504,983,000","317,835,000","636,868,000","1,063,045,000","1,486,178,000","4,000,119,000","5,362,998,000","7,924,264,000","10,174,513,000","14,994,480,000","12,381,056,000","6,224,227,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,"2,164,655,000"
Interest Bearing Short Term Liability,"2,196,816,000","1,309,146,000","2,065,063,000","738,618,000","2,603,992,000","2,530,736,000","2,593,401,000","2,719,630,000","3,366,349,000","3,649,475,000","1,937,111,000","1,090,778,000"
* Non Interest Bearing Short Term Liability,"1,498,873,000","1,207,589,000","1,060,738,000","1,998,168,000","2,044,296,000","2,199,641,000","1,889,105,000","1,689,800,000","2,127,824,000","1,735,265,000","2,047,804,000","1,537,232,000"
Trades Payables,"1,244,933,000","948,864,000","1,024,758,000","1,558,258,000","1,968,031,000","2,055,628,000","1,725,648,000","1,483,438,000","1,778,447,000","1,290,968,000","1,698,674,000","1,441,825,000"
Total Current Liabilities,"5,182,458,000","3,751,829,000","4,258,822,000","2,668,539,000","4,961,181,000","4,730,377,000","4,482,506,000","4,409,430,000","5,494,173,000","5,384,740,000","3,984,915,000","2,628,010,000"
Total Liabilities,"9,572,825,000","8,066,620,000","8,560,506,000","8,071,094,000","10,929,797,000","13,109,306,000","13,593,145,000","14,368,688,000","16,798,360,000","21,196,812,000","17,169,314,000","11,755,812,000"
Paid Up Capital,"13,798,150,000","12,433,765,000","13,798,150,000","13,798,150,000","13,798,150,000","13,798,150,000","13,798,150,000","13,798,150,000","13,798,150,000","7,419,887,000","7,419,887,000","7,419,887,000"
Reserves,"6,006,170,000","8,464,797,000","6,690,790,000","5,882,975,000","4,629,705,000","3,620,834,000","1,990,037,000","2,138,211,000","106,955,000","3,594,130,000","2,190,798,000","2,270,802,000"
Preferred Equity,0,0,0,0,0,"486,992,000","486,992,000","486,992,000","486,992,000","486,992,000","486,992,000","486,992,000"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"19,804,320,000","20,898,562,000","20,488,940,000","19,681,125,000","18,427,855,000","17,418,984,000","15,788,187,000","15,936,361,000","13,905,105,000","11,014,017,000","9,610,685,000","9,690,689,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"1,379,815,000","1,243,376,500","1,379,815,000","1,379,815,000","1,379,815,000","1,331,116,000","1,331,115,800","1,331,115,000","1,331,115,000","693,289,000","693,289,000","693,289,000"
