Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"17,231,709,000","20,798,082,000","21,160,878,000","20,423,356,000","20,044,438,000","18,642,358,000","17,532,277,000","15,967,900,000","11,523,050,000","4,742,593,000","3,808,455,000","5,314,538,000"
COGS,"16,582,605,000","15,474,771,000","16,046,291,000","15,985,679,000","10,879,156,000","11,615,261,000","11,448,142,000","10,887,427,000","8,454,600,000","3,919,540,000","3,292,871,000","3,627,110,000"
Gross Profit,"649,104,000","5,323,311,000","5,114,587,000","4,437,677,000","9,165,282,000","7,027,097,000","6,084,135,000","5,080,473,000","3,068,450,000","823,053,000","515,584,000","1,687,428,000"
Administrative Expenses,"468,651,000","415,979,000","385,602,000","339,766,000","312,108,000","271,629,000","225,957,000","205,074,000","129,180,000","147,938,000","103,490,000","103,186,000"
Selling & Distributive Expenses,"204,344,000","210,335,000","275,933,000","166,361,000","208,777,000","141,018,000","125,106,000","143,866,000","101,642,000","74,149,000","47,737,000","50,260,000"
Financial Charges,"233,800,000","106,758,000","147,813,000","152,960,000","503,346,000","706,027,000","1,042,144,000","1,512,148,000","1,825,445,000","103,922,000","41,206,000","224,716,000"
Other Income,"84,991,000","148,358,000","104,094,000","442,726,000","268,798,000","191,386,000","152,081,000","94,719,000","26,519,000","28,053,000","27,220,000","190,424,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"567,000","326,689,000","311,184,000","291,095,000","578,543,000","419,918,000","333,504,000","228,579,000","72,457,000","36,944,000","25,460,000","78,173,000"
EBITDA,"1,789,350,000","6,039,123,000","5,663,236,000","5,399,178,000","9,691,742,000","7,676,972,000","6,820,896,000","5,871,565,000","3,861,773,000","984,212,000","693,247,000","1,957,982,000"
EBIT,"60,533,000","4,518,666,000","4,245,962,000","4,083,181,000","8,334,652,000","6,385,918,000","5,551,649,000","4,597,673,000","2,791,690,000","592,075,000","366,117,000","1,646,233,000"
EBT,"-173,267,000","4,411,908,000","4,098,149,000","3,930,221,000","7,831,306,000","5,679,891,000","4,509,505,000","3,085,525,000","966,245,000","488,153,000","324,911,000","1,421,517,000"
Tax,"-113,886,000","1,587,610,000","668,685,000","1,317,010,000","2,464,106,000","1,563,726,000","1,883,511,000","988,458,000","413,655,000","62,492,000","74,732,000","413,894,000"
PAT,"-59,381,000","2,824,298,000","3,429,464,000","2,613,211,000","5,367,200,000","4,116,165,000","2,625,994,000","2,097,067,000","552,590,000","425,661,000","250,179,000","1,007,623,000"
EPS,-0.04,2.05,2.49,1.89,3.98,2.91,1.8,1.42,0.29,0.52,0.31,1.43
