Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Payout,0.00,66.04,72.51,47.52,70.70,80.85,76.03,79.34,0.00,0.00,0.00,0.00
Plow Back,100.00,33.96,27.49,52.48,29.30,19.15,23.96,20.66,100.00,100.00,100.00,100.00
Return on Equity,-0.30,13.51,16.74,13.28,29.13,24.31,17.16,13.57,4.12,4.04,2.74,10.95
Return on Assets,-0.20,9.75,11.81,9.42,18.28,13.48,8.94,6.92,1.80,1.32,0.93,4.70
Book Value per Share,14.35,16.81,14.85,14.26,13.36,12.72,11.50,11.61,10.08,15.18,13.16,13.28
Earning Per Share,-0.04,2.05,2.49,1.89,3.98,2.91,1.80,1.42,0.29,0.52,0.31,1.43
Net Working Capital to Total Asseets,0.00,0.07,0.07,0.11,0.09,0.06,0.02,0.02,-0.04,-0.02,-0.07,-0.05
Current Ratio,1,1.51,1.49,2.12,1.51,1.36,1.16,1.14,0.76,0.89,0.52,0.63
Acid Test,0.09,0.45,0.48,0.90,0.96,0.75,0.39,0.50,0.12,0.34,0.23,0.18
Times Interest Earned,0.26,42.33,28.73,26.69,16.56,9.04,5.33,3.04,1.53,5.70,8.89,7.33
Total Debt Ratio,0.33,0.28,0.29,0.29,0.37,0.43,0.46,0.47,0.55,0.66,0.64,0.55
Debt To Equity,0.48,0.39,0.42,0.41,0.59,0.75,0.86,0.90,1.21,1.92,1.79,1.21
Return on Capital Employed,0.00,0.18,0.17,0.16,0.34,0.25,0.22,0.18,0.11,0.02,0.02,0.09
Average Collection Period,22.25,16.62,20.15,20.53,10.36,11.09,12.08,4.70,2.04,2.85,2.35,3.75
Days sales Inventory,103.31,94.33,98.09,74.58,91.19,89.68,109.21,95.58,151.52,273.61,128.27,118.30
Total Assets Turnover,0.59,0.72,0.73,0.74,0.68,0.61,0.60,0.53,0.38,0.15,0.14,0.25
Gross Profit Margin,3.77,25.59,24.17,21.73,45.73,37.69,34.70,31.82,26.63,17.35,13.54,31.75
Net Profit Margin,-0.34,13.58,16.21,12.79,26.78,22.08,14.98,13.13,4.80,8.97,6.57,18.96
