Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"483,426,198","524,166,093","351,957,254","122,566,035","43,607,606","34,538,666","42,033,792","49,274,092","59,522,493","62,182,786","33,682,027","160,653,741","89,409,347"
Investments,"863,756,444","122,654,517","584,040,353","595,156,739","774,532,891","517,721,320","547,990,550","644,075,218","992,525,353","1,291,707,425","1,187,105,772","1,366,179,708","1,045,752,600"
Fixed Assets,"23,098,249","4,499,961","5,856,334","2,696,763","3,237,549","6,076,764","6,101,657","8,272,110","10,966,102","10,265,622","4,460,522","6,564,267","9,512,448"
Cash in Hand and Bank,"27,606,009","36,263,045","209,076,400","219,306,001","4,049,015","8,879,700","381,619","5,634,049","4,514,160","8,597,745","18,898,227","31,468,578","13,969,198"
Current Assets,"333,671,893","751,509,922","855,966,815","882,614,124","801,905,623","360,288,334","182,851,580","420,402,513","504,156,870","699,193,328","621,476,237","835,327,684","1,082,867,469"
Total Assets,"1,667,185,556","1,385,300,808","1,327,363,032","1,155,308,199","1,012,248,058","692,618,075","737,553,611","837,335,610","1,221,078,136","1,517,876,632","1,464,724,169","1,800,496,815","1,729,253,424"
Total Non Current Liabilities,"75,768,721","66,334,177","127,763,819","193,640,835","194,717,766","3,925,700","8,168,454","80,000,000","134,200,000","208,125,000","130,000,000","100,000","89,300,000"
Total Current Liabilities,"852,626,408","600,374,134","477,349,062","245,740,282","111,098,901","26,288,422","90,352,730","117,097,019","449,542,169","594,358,052","533,248,863","1,014,216,842","1,089,771,792"
Total Liabilities,"928,395,129","666,708,311","605,112,881","439,381,117","305,816,667","30,214,122","98,521,184","197,097,019","583,742,169","802,483,052","663,248,863","1,014,316,842","1,179,071,792"
Paid Up Capital,"650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","650,000,000","400,000,000"
Reserves,"95,027,077","92,830,246","83,092,917","73,947,777","66,955,840","22,776,033","-582,510","451,534","6,782,851","77,979,714","166,442,089","158,567,798","157,981,371"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"738,790,427","718,592,497","722,250,151","715,927,082","706,431,391","662,403,953","639,032,427","640,238,591","637,335,967","715,393,580","801,475,305","786,179,973","550,181,632"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","65,000,000","40,000,000"
Surplus On Revaluation of Assets,"-6,236,650","-24,237,749","-10,842,766","-8,020,695","-10,524,449","-10,372,080","-10,385,063","-10,212,943","-19,446,884","-12,586,134","-14,966,784","-22,387,825","-7,799,739"
