Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Long Term Loans & Advances,"37,500","37,500","37,500","37,500","1,122,750","1,122,750","37,500","37,500","22,550,463","525,514,556","398,166,502","350,075,840","331,346,838"
Investments,"3,686,823,488","3,837,847,312","3,313,596,122","2,036,840,845","3,977,898,466","4,750,204,287","4,667,455,500","4,942,126,056","7,681,547,247","11,757,184,375","12,652,752,313","9,572,078,176","11,278,398,726"
Fixed Assets,"132,965,208","133,198,056","150,936,338","147,356,780","165,681,613","210,238,683","228,369,706","139,574,926","140,251,533","142,679,508","183,273,208","184,140,444","114,750,664"
Cash in Hand and Bank,"360,596","356,006","3,081,554","1,159,924","749,569","1,628,006","1,979,324","1,116,306","18,880,959","70,867,446","6,892,246","17,279,396","350,905,292"
Current Assets,"54,970,881","39,705,093","169,086,370","172,788,888","161,150,546","173,336,936","136,787,961","216,068,818","231,768,751","210,209,125","167,918,899","1,956,565,364","3,751,832,180"
Total Assets,"3,850,290,881","3,991,532,133","3,602,576,909","2,357,024,013","4,241,573,871","5,052,360,200","5,032,650,667","5,115,490,966","7,987,896,020","12,539,407,746","13,273,785,295","10,157,815,747","12,110,165,373"
Total Non Current Liabilities,"25,797,200","30,053,156","1,116,351,443","11,258,349","10,128,087","7,517,955","12,127,377","28,616,342","9,920,907","12,817,561","12,553,457","12,715,195","9,848,589"
Total Current Liabilities,"2,111,670,599","1,823,764,445","436,794,542","32,231,722","41,851,462","56,822,089","47,897,003","53,339,790","93,699,266","173,323,541","314,582,278","383,695,171","381,727,088"
Total Liabilities,"2,137,467,799","1,853,817,601","1,553,145,985","43,490,071","51,979,549","64,340,044","60,024,380","81,956,132","103,620,173","186,141,102","327,135,735","396,410,366","391,575,677"
Paid Up Capital,"3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","3,166,101,120","2,878,273,750","2,502,846,740","1,625,225,160"
Reserves,"-1,453,278,038","-1,028,386,588","-1,116,670,196","-852,567,178","1,023,493,202","1,821,919,036","1,806,525,167","1,867,433,714","4,718,174,727","9,187,165,524","10,068,375,810","7,258,558,641","10,093,364,536"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"1,712,823,082","2,137,714,532","2,049,430,924","2,313,533,942","4,189,594,322","4,988,020,156","4,972,626,287","5,033,534,834","7,884,275,847","12,353,266,644","12,946,649,560","9,761,405,381","11,718,589,696"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","316,610,112","287,827,375","250,284,674","16,522,516"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
