Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"1,844,043,000","1,946,434,000","1,824,532,000","1,825,092,000","1,867,644,000","1,961,145,000","1,965,116,000","2,051,702,000","2,137,494,000","2,163,305,000","2,124,633,000","1,477,220,000"
Investments,"401,772,000","509,086,000","206,895,000",0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"117,691,000","164,355,000","472,804,000","457,368,000","328,942,000","220,450,000","155,352,000","48,381,000","41,805,000","24,183,000","19,734,000","19,536,000"
Stores and Spares,"811,535,000","765,829,000","1,035,788,000","948,290,000","901,305,000","824,561,000","955,915,000","874,058,000","796,805,000","719,342,000","671,548,000","750,680,000"
Stock in Trade,"1,276,269,000","1,258,191,000","1,329,041,000","1,277,174,000","922,043,000","1,062,162,000","637,343,000","308,566,000","227,499,000","109,682,000","108,718,000","167,862,000"
Trade Debts,"24,892,000","68,006,000","75,428,000","16,087,000","12,563,000","13,549,000","16,527,000","15,125,000","25,734,000","18,712,000","10,892,000","65,580,000"
Current Assets,"2,688,363,000","2,781,387,000","3,383,777,000","2,969,812,000","2,197,476,000","2,280,121,000","1,902,415,000","1,287,590,000","1,136,351,000","905,583,000","940,146,000","1,044,659,000"
Quick Assets,"600,559,000","757,367,000","1,018,948,000","744,348,000","374,128,000","393,398,000","309,157,000","104,966,000","112,047,000","76,559,000","159,880,000","126,117,000"
Total Assets,"4,833,806,000","5,066,563,000","5,229,648,000","4,819,637,000","4,076,708,000","4,253,123,000","3,893,251,000","3,359,022,000","3,308,769,000","3,108,098,000","3,122,678,000","2,604,463,000"
Interest Bearing Long Term Liability,"112,026,000","34,322,000","14,757,000",0,0,"80,000,000","260,000,000","125,000,000","254,648,000","456,418,000","684,048,000","292,074,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"613,459,000","8,837,000","3,646,000",0,0,"380,000,000","547,643,000","588,847,000","897,004,000","864,689,000","634,597,000","402,189,000"
* Non Interest Bearing Short Term Liability,"541,658,000","321,259,000","628,789,000","547,854,000","439,314,000","435,068,000","461,480,000","618,142,000","755,244,000","638,250,000","701,571,000","541,788,000"
Trades Payables,"527,345,000","320,896,000","628,683,000","547,854,000","439,314,000","435,068,000","461,480,000","618,142,000","755,244,000","638,250,000","701,571,000","541,788,000"
Total Current Liabilities,"1,169,863,000","344,782,000","662,864,000","547,854,000","439,314,000","815,068,000","1,009,123,000","1,206,989,000","1,652,248,000","1,502,939,000","1,336,168,000","943,977,000"
Total Liabilities,"1,325,795,000","734,996,000","1,019,487,000","925,814,000","843,258,000","1,331,898,000","1,514,256,000","1,449,968,000","1,932,705,000","2,078,763,000","2,158,776,000","1,432,303,000"
Paid Up Capital,"501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","501,600,000","456,000,000"
Reserves,"2,902,065,000","3,697,216,000","3,708,561,000","3,392,223,000","2,731,850,000","2,419,625,000","1,877,395,000","1,407,454,000","874,464,000","527,735,000","462,302,000","716,160,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"104,346,000","132,751,000",0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,508,011,000","4,331,567,000","4,210,161,000","3,893,823,000","3,233,450,000","2,921,225,000","2,378,995,000","1,909,054,000","1,376,064,000","1,029,335,000","963,902,000","1,172,160,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","50,160,000","45,600,000"
