Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Sales,"3,463,904,000","4,740,496,000","4,902,784,000","5,130,744,000","5,031,622,000","4,779,145,000","4,723,814,000","4,588,064,000","4,342,634,000","3,304,272,000","2,902,684,000","3,455,706,000"
COGS,"4,179,341,000","4,146,193,000","3,875,479,000","3,573,968,000","3,408,172,000","3,313,796,000","3,446,595,000","3,333,514,000","3,376,972,000","2,698,348,000","2,749,953,000","2,542,303,000"
Gross Profit,"-715,437,000","594,303,000","1,027,305,000","1,556,776,000","1,623,450,000","1,465,349,000","1,277,219,000","1,254,550,000","965,662,000","605,924,000","152,731,000","913,403,000"
Administrative Expenses,"241,909,000","290,472,000","295,591,000","241,393,000","238,703,000","258,495,000","169,599,000","143,032,000","127,347,000","128,492,000","122,635,000","121,901,000"
Selling & Distributive Expenses,"94,164,000","203,122,000","195,636,000","172,034,000","139,266,000","174,435,000","197,828,000","230,577,000","321,972,000","242,034,000","252,758,000","183,452,000"
Financial Charges,"28,573,000","5,377,000","3,266,000","1,454,000","12,483,000","81,127,000","104,185,000","143,328,000","205,707,000","149,681,000","83,363,000","190,589,000"
Other Income,"45,837,000","46,411,000","111,256,000","30,491,000","11,766,000","15,019,000","21,348,000","20,678,000","7,873,000","13,059,000","14,591,000","8,199,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"11,400,000","44,440,000","80,894,000","85,888,000","66,675,000","57,060,000","52,323,000","21,977,000","6,816,000",0,"29,371,000"
EBITDA,"-870,618,000","255,354,000","716,633,000","1,203,134,000","1,283,975,000","1,089,804,000","980,609,000","956,503,000","606,816,000","328,907,000","-142,323,000","650,162,000"
EBIT,"-1,005,673,000","135,720,000","602,894,000","1,092,946,000","1,171,359,000","980,763,000","874,080,000","849,296,000","502,239,000","241,641,000","-208,071,000","586,878,000"
EBT,"-1,034,246,000","130,343,000","599,628,000","1,091,492,000","1,158,876,000","899,636,000","769,895,000","705,968,000","296,532,000","91,960,000","-291,434,000","396,289,000"
Tax,"-264,175,000","41,368,000","157,890,000","330,799,000","345,051,000","282,166,000","174,554,000","122,818,000","-50,197,000","26,527,000","-83,176,000","81,939,000"
PAT,"-770,071,000","88,975,000","441,738,000","760,693,000","813,825,000","61,747,000","595,341,000","583,150,000","346,729,000","65,433,000","-208,258,000","314,350,000"
EPS,-15.35,1.77,8.81,15.17,16.22,12.31,11.87,11.63,6.91,1.3,-4.15,6.27
