Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"3,308,834,762","2,720,876,300","2,649,216,106","2,566,321,990","2,384,990,408","1,287,233,593","1,136,181,457","1,083,988,968","993,746,191","924,715,697","742,280,446","735,614,952","610,987,413"
Investments,"692,453,809","766,393,575","825,141,993","768,833,939","598,310,134","1,082,708,087","945,833,276","623,585,065","503,085,041","247,637,282","232,528,743","249,875,556","397,900,520"
Cash in Hand and Bank,"99,297,818","183,447,782","197,179,290","135,317,177","249,679,779","453,966,229","104,120,993","67,244,111","58,344,964","20,015,253","15,267,082","22,283,007","35,807,461"
Stores and Spares,"30,392,651","20,878,123","46,218,187","20,951,720","22,249,383","23,422,301","14,977,483","8,689,264","6,243,122","2,223,238","4,640,630","3,628,845","4,091,300"
Stock in Trade,"1,833,184,796","1,170,925,851","1,219,853,920","1,547,839,685","1,866,923,740","1,216,591,555","646,619,797","566,590,600","415,453,467","409,005,347","296,402,640","272,988,349","180,787,784"
Trade Debts,"1,026,879,355","887,452,305","536,412,764","365,941,171","387,586,473","232,931,043","145,664,372","139,090,930","106,334,607","102,924,380","45,215,438","49,545,707","24,454,201"
Current Assets,"3,870,693,481","3,159,607,149","3,008,809,690","2,920,787,570","3,042,794,494","2,855,596,419","1,785,755,764","1,327,758,579","1,055,311,408","727,584,986","477,790,420","529,175,639","509,539,106"
Quick Assets,"2,007,116,034","1,967,803,175","1,742,737,583","1,351,996,165","1,153,621,371","1,615,582,563","1,124,158,484","752,478,715","633,614,819","316,356,401","176,747,150","252,558,445","324,660,022"
Total Assets,"7,524,602,251","6,202,846,877","5,964,906,853","5,777,444,573","5,701,621,352","4,389,037,386","3,153,033,903","2,917,150,432","2,610,588,750","2,265,375,097","1,868,938,102","1,579,909,793","1,481,628,536"
Interest Bearing Long Term Liability,"90,090,384",0,0,0,0,0,0,0,0,0,"42,702,674","99,787,503","157,519,143"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"82,517,136",0,"96,852,363","2,138,283",0,0,0,"695,869",0,"80,368,311","93,753,052","57,733,653","59,149,815"
* Non Interest Bearing Short Term Liability,"1,323,363,961","1,011,334,451","793,209,517","765,112,777","651,506,915","1,250,155,548","391,825,313","274,987,658","205,663,630","153,600,639","156,367,330","150,463,442","122,011,371"
Trades Payables,"1,320,854,227","1,006,902,101","792,675,804","763,465,926","651,474,148","1,250,144,914","391,825,313","274,987,658","205,663,630","152,631,234","154,732,360","146,275,665","116,423,214"
Total Current Liabilities,"1,527,517,470","1,086,491,266","972,205,604","767,251,060","651,506,915","1,274,551,128","391,825,313","275,683,527","205,663,630","233,968,950","250,120,382","208,558,246","196,169,663"
Total Liabilities,"1,904,759,898","1,265,419,772","1,137,966,087","934,297,691","800,697,990","1,314,688,373","437,621,946","317,398,299","290,045,818","322,073,479","351,152,232","362,305,866","403,380,232"
Paid Up Capital,"301,868,410","301,868,410","301,868,410","301,868,410","301,868,410","301,868,410","301,868,410","301,868,410","287,493,720","249,994,540","208,328,786","173,607,322","144,672,768"
Reserves,"4,182,076,374","3,879,826,400","3,735,422,171","3,733,753,519","3,766,257,867","2,401,378,783","2,039,632,179","1,919,163,799","1,648,843,222","1,303,615,022","1,067,436,272","796,522,079","681,564,123"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,135,897,569","755,732,295","789,650,185","807,524,953","832,797,085","371,101,820","373,911,368","378,719,924","384,205,990","389,692,056","242,020,812","247,474,526","252,011,413"
Shareholder Equity,"5,619,842,353","4,937,427,105","4,826,940,766","4,843,146,882","4,900,923,362","3,074,349,013","2,715,411,957","2,599,752,133","2,320,542,932","1,943,301,618","1,517,785,870","1,217,603,927","1,078,248,304"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"30,186,841","30,186,841","30,186,841","30,186,841","30,186,841","30,186,841","30,186,841","30,186,841","28,749,372","24,999,454","20,832,879","17,360,732","14,467,277"
