Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"5,394,043,009","5,180,803,582","4,459,323,228","4,311,441,718","10,186,496,154","4,433,552,219","2,534,928,325","1,953,192,682","1,770,590,334","1,436,713,281","1,273,374,822","1,085,393,578","932,297,994"
COGS,"3,176,088,959","3,134,954,617","2,889,668,475","2,534,669,504","6,077,657,868","2,417,655,623","1,231,294,748","902,067,319","861,491,018","706,369,916","640,132,304","501,182,280","391,559,432"
Gross Profit,"2,217,954,050","2,045,848,965","1,569,654,753","1,776,772,214","4,108,838,286","2,015,896,596","1,303,633,577","1,051,125,363","909,099,316","730,343,365","633,242,518","584,211,298","540,738,562"
Administrative Expenses,"351,414,876","353,172,864","303,096,037","289,129,914","269,295,622","192,837,874","160,493,145","140,304,385","134,226,734","114,700,505","83,262,197","80,995,604","60,719,276"
Selling & Distributive Expenses,"1,282,275,582","1,309,653,498","1,126,344,657","913,763,385","1,039,975,164","733,990,364","600,132,625","501,773,098","439,167,708","325,511,125","234,076,533","261,185,939","199,424,660"
Financial Charges,"27,133,700","23,429,965","11,048,102","16,293,573","11,152,570","13,964,279","17,085,720","11,751,809","7,892,337","11,136,437","5,752,880","3,675,937","1,487,228"
Other Income,"93,134,095","182,390,571","129,086,882","47,849,556","126,515,313","88,535,346","95,711,404","86,334,057","123,351,742","84,357,608","51,442,154","23,954,076","20,809,630"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"89,734,107","123,265,414","50,987,393","3,216,963","260,905,050","81,100,687","54,558,644","32,712,047","28,689,871","26,838,834","28,819,846","27,964,316","21,073,792"
EBITDA,"913,812,520","728,927,958","466,696,203","830,156,118","2,805,089,242","1,208,037,083","685,491,686","540,669,516","501,789,077","414,681,476","388,224,512","294,424,241","327,394,027"
EBIT,"587,663,580","442,147,760","218,313,548","618,511,508","2,665,177,763","1,096,503,017","584,160,567","462,669,890","430,366,745","347,650,509","338,526,095","249,399,748","294,149,461"
EBT,"560,529,880","418,717,795","207,265,446","602,217,935","2,654,025,193","1,082,538,738","567,074,847","450,918,081","422,474,408","336,514,072","332,773,215","245,723,811","292,662,233"
Tax,"164,874,799","167,672,113","111,859,642","208,553,225","549,538,096","333,948,031","149,546,613","42,336,706","13,983,562","35,526,262","15,230,540","62,966,358","75,638,404"
PAT,"395,655,081","251,045,682","95,405,804","393,664,710","2,104,487,097","748,590,707","417,528,234","408,581,375","408,490,846","300,987,810","317,542,675","182,757,453","217,023,829"
EPS,13.11,8.32,3.16,13.04,69.72,24.8,13.83,13.54,14.21,12.04,15.24,10.53,12.5
