Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Payout,30.52,72.15,63.28,53.68,31.56,76.62,86.76,51.72,31.67,20.76,0.00,9.50,20.00
Plow Back,69.48,27.85,36.72,46.32,68.44,23.38,13.24,48.28,68.33,79.24,100.00,90.50,80.00
Return on Equity,7.04,5.08,1.98,8.13,42.94,24.35,15.38,15.72,17.60,15.49,20.92,15.01,20.13
Return on Assets,5.26,4.05,1.60,6.81,36.91,17.06,13.24,14.01,15.65,13.29,16.99,11.57,14.65
Book Value per Share,186.17,163.56,159.90,160.44,162.35,101.84,89.95,86.12,80.72,77.73,72.86,70.14,74.53
Earning Per Share,13.11,8.32,3.16,13.04,69.72,24.80,13.83,13.54,14.21,12.04,15.24,10.53,12.50
Net Working Capital to Total Asseets,0.31,0.33,0.34,0.37,0.42,0.36,0.44,0.36,0.33,0.22,0.12,0.20,0.21
Current Ratio,2.53,2.91,3.09,3.81,4.67,2.24,4.56,4.82,5.13,3.11,1.91,2.54,2.60
Acid Test,1.31,1.81,1.79,1.76,1.77,1.27,2.87,2.73,3.08,1.35,0.71,1.21,1.65
Times Interest Earned,21.66,18.87,19.76,37.96,238.97,78.52,34.19,39.37,54.53,31.22,58.84,67.85,197.78
Total Debt Ratio,0.25,0.20,0.19,0.16,0.14,0.30,0.14,0.11,0.11,0.14,0.19,0.23,0.27
Debt To Equity,0.34,0.26,0.24,0.19,0.16,0.43,0.16,0.12,0.12,0.17,0.23,0.30,0.37
Return on Capital Employed,0.10,0.09,0.04,0.12,0.53,0.35,0.21,0.18,0.18,0.17,0.21,0.18,0.23
Average Collection Period,69.49,62.52,43.91,30.98,13.89,19.18,20.97,25.99,21.92,26.15,12.96,16.66,9.57
Days sales Inventory,214.16,138.76,159.92,225.91,113.46,187.21,196.12,232.77,178.67,212.49,171.65,201.45,172.34
Total Assets Turnover,0.72,0.84,0.75,0.75,1.79,1.01,0.80,0.67,0.68,0.63,0.68,0.69,0.63
Gross Profit Margin,41.12,39.49,35.20,41.21,40.34,45.47,51.43,53.82,51.34,50.83,49.73,53.83,58.00
Net Profit Margin,7.33,4.85,2.14,9.13,20.66,16.89,16.47,20.92,23.07,20.95,24.94,16.84,23.28
