Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Fixed Assets,"10,192,781,000","10,427,911,000","9,747,537,000","10,426,780,000","11,298,191,000","12,126,103,000","12,202,673,000","13,059,509,000","13,822,842,000","14,410,169,000","14,706,760,000","15,576,899,000","15,847,104,000","16,458,265,000","14,930,339,000","14,563,103,000","14,539,349,000","15,202,542,000"
Investments,"24,546,403,000","27,188,780,000","35,500,397,000","37,259,040,000","30,029,840,000","22,502,369,000","21,360,905,000","15,187,269,000","5,077,062,000","11,549,074,000","3,485,255,000","6,786,908,000","2,416,770,000","5,305,812,000","1,913,537,000","734,275,000","358,600,000",0
Cash in Hand and Bank,"25,048,432,000","5,294,341,000","3,689,589,000","3,547,187,000","5,823,175,000","8,940,288,000","5,044,669,000","2,477,533,000","8,788,967,000","5,384,363,000","12,720,051,000","9,648,031,000","7,941,524,000","3,800,569,000","7,235,749,000","6,931,615,000","5,078,613,000","1,618,732,000"
Stores and Spares,"2,894,482,000","2,988,584,000","2,721,558,000","2,745,198,000","2,695,251,000","2,473,487,000","2,337,205,000","2,107,493,000","2,011,482,000","1,905,738,000","1,902,238,000","1,849,794,000","1,422,567,000","1,266,570,000","797,314,000","577,082,000","520,399,000","455,915,000"
Stock in Trade,"2,861,568,000","14,756,054,000","5,654,660,000","1,854,349,000","2,427,140,000","459,432,000","1,557,296,000","1,129,257,000","4,876,305,000","3,406,993,000","1,270,667,000","1,227,013,000","5,676,739,000","587,946,000","800,535,000","1,022,957,000","252,252,000","209,511,000"
Trade Debts,"1,656,387,000","8,606,885,000","5,719,424,000","1,004,582,000","3,523,559,000","1,024,702,000","1,466,063,000","1,603,643,000","2,469,075,000","646,516,000","829,985,000","476,728,000","285,454,000","243,751,000","231,272,000","115,081,000","431,246,000","392,377,000"
Current Assets,"49,157,097,000","51,331,879,000","43,470,998,000","30,759,508,000","32,291,744,000","29,307,989,000","21,836,727,000","14,159,838,000","23,268,115,000","22,932,547,000","18,317,665,000","18,443,765,000","28,492,569,000","11,161,328,000","11,322,594,000","9,266,673,000","6,906,950,000","2,979,606,000"
Quick Assets,"43,401,047,000","33,587,241,000","35,094,780,000","26,159,961,000","27,169,353,000","26,375,070,000","17,942,226,000","10,923,088,000","16,380,328,000","17,619,816,000","15,144,760,000","15,366,958,000","21,393,263,000","9,306,812,000","9,724,745,000","7,666,634,000","6,134,299,000","2,314,180,000"
Total Assets,"90,968,452,000","91,166,569,000","80,363,984,000","65,651,800,000","63,794,501,000","59,407,356,000","46,248,831,000","37,162,123,000","40,703,611,000","40,176,264,000","35,335,992,000","36,225,182,000","46,771,671,000","29,045,971,000","27,681,356,000","24,581,446,000","21,966,944,000","19,368,046,000"
Interest Bearing Long Term Liability,"15,425,006,000","13,791,667,000","16,083,333,000","15,333,333,000","16,541,667,000","9,375,000,000","10,000,000,000","584,119,000",0,0,0,"227,810,000","683,433,000","1,139,054,000","1,597,987,000","2,056,593,000","2,517,212,000","2,981,421,000"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,"1,232,320,000","3,241,002,000","3,889,203,000","4,537,404,000","5,185,605,000","5,833,806,000","6,482,007,000","7,130,208,000","7,778,409,000","8,426,610,000"
Interest Bearing Short Term Liability,"22,638,727,000","32,793,751,000","19,038,497,000","13,142,609,000","18,556,894,000","18,612,560,000","3,087,407,000","9,993,810,000","9,216,660,000","7,476,144,000","5,880,534,000","8,186,073,000","18,712,705,000","6,333,615,000","4,990,045,000","2,696,287,000","1,638,715,000","372,451,000"
* Non Interest Bearing Short Term Liability,"22,082,973,000","35,955,636,000","30,267,467,000","23,500,918,000","14,453,800,000","13,107,971,000","14,093,224,000","8,607,841,000","11,456,617,000","11,523,990,000","9,273,369,000","7,474,364,000","7,506,456,000","3,150,040,000","3,428,056,000","3,648,544,000","2,839,086,000","1,579,990,000"
Trades Payables,"21,637,647,000","34,993,385,000","29,825,284,000","23,328,113,000","13,380,007,000","12,828,378,000","13,860,083,000","8,371,789,000","11,176,011,000","10,671,400,000","8,469,073,000","6,715,839,000","6,264,669,000","2,377,952,000","2,674,903,000","2,905,995,000","2,163,349,000","929,295,000"
Total Current Liabilities,"47,053,661,000","68,962,290,000","49,434,278,000","36,643,527,000","33,010,694,000","33,016,932,000","19,900,389,000","19,329,233,000","23,167,823,000","19,659,438,000","15,389,027,000","16,747,253,000","26,219,469,000","9,483,655,000","8,429,327,000","6,344,831,000","4,524,681,000","1,952,441,000"
Total Liabilities,"77,009,047,000","84,332,608,000","66,466,528,000","52,501,162,000","51,037,443,000","45,126,340,000","33,177,194,000","23,373,749,000","28,072,782,000","26,540,582,000","23,125,960,000","25,565,281,000","36,285,300,000","20,537,044,000","19,143,660,000","16,853,915,000","14,820,302,000","13,360,472,000"
Paid Up Capital,"9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,341,100,000","9,099,014,000"
Reserves,"4,618,305,000","-2,507,139,000","4,556,356,000","3,809,538,000","3,415,958,000","4,939,916,000","3,730,537,000","4,447,274,000","3,289,729,000","4,294,582,000","2,868,932,000","1,318,801,000","1,145,271,000","-832,173,000","-803,404,000","-1,613,569,000","-2,194,458,000","-3,091,440,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
