Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Sales,"83,234,360,000","66,839,286,000","61,510,528,000","52,732,954,000","45,011,359,000","52,182,072,000","49,445,256,000","54,455,168,000","47,911,164,000","55,868,834,000","43,256,712,000","36,724,920,000","26,820,812,000","12,242,888,000","14,707,288,000","14,254,764,000","11,462,410,000","5,166,515,000"
COGS,"70,655,385,000","60,954,649,000","53,327,113,000","46,705,351,000","43,792,387,000","44,967,864,000","38,353,303,000","39,942,664,000","36,450,042,000","35,753,264,000","29,793,541,000","27,059,566,000","18,594,752,000","7,420,310,000","10,023,044,000","9,692,236,000","8,201,623,000","4,002,866,000"
Gross Profit,"12,578,975,000","5,884,637,000","8,183,415,000","6,027,603,000","1,218,972,000","7,214,208,000","11,091,953,000","14,512,504,000","11,461,122,000","20,115,570,000","13,463,171,000","9,665,354,000","8,226,060,000","4,822,578,000","4,684,244,000","4,562,528,000","3,260,787,000","1,163,649,000"
Administrative Expenses,"1,255,126,000","1,421,843,000","1,548,730,000","1,727,381,000","1,640,829,000","1,426,987,000","1,317,635,000","1,048,037,000","984,013,000","777,290,000","700,172,000","401,204,000","207,383,000","131,369,000","103,143,000","114,470,000","90,653,000","84,730,000"
Selling & Distributive Expenses,"5,517,769,000","5,345,447,000","4,525,306,000","4,871,699,000","4,371,228,000","3,819,533,000","3,314,074,000","3,452,539,000","2,665,725,000","2,553,795,000","2,584,683,000","2,236,123,000","1,776,864,000","1,068,629,000","1,420,401,000","1,257,698,000","931,066,000","580,286,000"
Financial Charges,"4,444,122,000","5,198,681,000","2,222,874,000","1,941,020,000","2,156,165,000","1,867,774,000","1,312,944,000","1,514,931,000","1,821,471,000","1,087,870,000","933,996,000","1,459,792,000","2,791,971,000","630,513,000","412,870,000","259,817,000","84,817,000","156,705,000"
Other Income,"3,842,539,000","4,370,245,000","3,181,634,000","4,377,262,000","8,726,060,000","5,683,100,000","1,062,774,000","494,075,000","1,044,753,000","1,650,409,000","1,153,982,000","682,760,000","1,519,549,000","1,251,675,000","1,252,158,000","1,154,123,000","807,688,000","43,401,000"
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,"311,681,000","2,157,818,000","1,259,030,000","423,422,000","176,199,000","399,132,000","429,820,000","629,399,000","565,239,000","1,177,080,000","712,524,000","442,692,000","564,516,000","343,813,000","243,074,000","169,746,000","113,686,000","19,970,000"
EBITDA,"10,263,274,000","2,997,269,000","5,665,708,000","4,982,775,000","5,264,631,000","8,649,879,000","8,474,999,000","11,263,395,000","9,662,567,000","18,590,913,000","11,934,170,000","8,484,854,000","8,386,918,000","5,586,430,000","5,159,922,000","5,114,175,000","3,892,095,000","1,924,915,000"
EBIT,"9,336,938,000","1,329,774,000","4,031,983,000","3,382,363,000","3,756,776,000","7,251,656,000","7,093,198,000","9,876,604,000","8,290,898,000","17,257,814,000","10,619,774,000","7,268,095,000","7,196,846,000","4,530,442,000","4,169,784,000","4,174,737,000","2,933,070,000","977,064,000"
EBT,"4,892,816,000","-3,868,907,000","1,809,109,000","1,441,343,000","1,600,611,000","5,383,882,000","5,780,254,000","8,361,673,000","6,469,427,000","16,169,944,000","9,685,778,000","5,808,303,000","4,404,875,000","3,899,929,000","3,756,914,000","3,914,920,000","2,848,253,000","820,359,000"
Tax,"2,700,379,000","2,051,838,000","372,577,000","437,017,000","262,303,000","1,322,295,000","1,763,928,000","2,748,662,000","2,131,279,000","5,402,796,000","3,171,329,000","2,023,938,000","1,505,254,000","1,359,896,000","1,312,056,000","1,465,811,000","1,017,161,000","-380,504,000"
PAT,"2,192,437,000","-5,920,745,000","1,436,532,000","1,004,326,000","1,338,308,000","4,061,587,000","4,016,326,000","5,613,011,000","4,338,148,000","10,767,148,000","6,514,449,000","3,784,365,000","2,899,621,000","2,540,033,000","2,444,858,000","2,449,109,000","1,831,092,000","1,200,863,000"
EPS,2.12,-6.34,1.54,1.08,1.43,4.35,4.3,6.01,4.64,11.53,6.97,4.05,3.1,2.72,2.62,2.62,1.98,1.31
