Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Fixed Assets,"7,550,092,840","8,106,036,190","7,953,143,603","6,822,273,698","4,937,750,901","1,037,778,370","576,927,727","645,046,579","636,753,480","565,924,030","503,509,658","446,179,682"
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"888,888,229","114,134,399","98,221,298","1,195,301,690","333,539,919","141,056,606","218,123,804","80,390,490","36,563,692","211,181,922","23,350,614","10,842,562"
Stores and Spares,"191,143,537","237,545,924","142,132,460","107,134,205","93,931,361","123,463,394","129,749,621","166,241,439","207,759,068","174,181,252","97,065,534","69,579,339"
Stock in Trade,"543,982,813","1,443,222,934","1,380,400,512","1,021,155,966","684,805,793","67,306,005","62,365,000","73,860,000","198,185,000","177,393,000","84,595,000","90,035,000"
Trade Debts,"350,850,105","181,171,112","124,573,265","129,704,758","77,969,418,000","21,625,863","221,612,937","176,824,316","109,019,336","73,624,303","92,007,844","61,764,021"
Current Assets,"4,156,133,843","4,000,770,448","3,971,394,488","4,005,422,450","2,108,972,985","541,827,106","838,281,874","728,576,684","687,177,252","793,342,136","410,964,292","299,073,317"
Quick Assets,"3,421,007,493","2,320,001,590","2,448,861,516","2,877,132,279","1,330,235,831","351,057,707","646,167,253","488,475,245","281,233,184","441,767,884","229,303,758","139,458,978"
Total Assets,"11,733,185,948","12,152,806,324","13,556,177,920","11,907,266,434","7,680,651,081","1,583,236,958","1,419,499,303","1,376,343,636","1,325,265,442","1,360,708,358","915,789,438","745,950,597"
Interest Bearing Long Term Liability,"6,304,514,019","2,963,888,961","4,480,939,562","4,553,054,926","129,919,028","2,795,925","367,648,286","211,966,813","97,786,099","229,709,065","64,822,022","121,075,711"
Non Interest Bearing Long Term Liability,0,0,0,0,0,0,0,0,0,0,0,0
Interest Bearing Short Term Liability,"7,918,085,544","11,067,553,003","5,394,715,508","1,488,084,202","3,935,349,085","798,417,079","394,879,990","308,962,710","240,983,172","281,989,736","223,304,433","178,068,457"
* Non Interest Bearing Short Term Liability,"1,407,133,067","1,721,549,744","1,450,913,529","865,124,354","1,341,020,671","428,684,738","545,327,381","614,805,772","583,019,486","450,701,689","325,591,956","191,363,767"
Trades Payables,"873,500,682","1,166,742,071","1,255,264,861","791,751,290","1,291,303,709","409,094,031","530,644,439","602,941,907","572,291,690","441,880,264","316,041,398","176,745,463"
Total Current Liabilities,"9,340,500,487","12,790,068,499","6,846,594,789","2,353,208,556","5,276,369,756","1,245,131,477","962,240,173","932,793,603","858,157,613","764,775,335","561,152,642","369,597,933"
Total Liabilities,"15,722,194,450","15,830,592,408","11,413,702,168","6,961,876,094","5,439,111,008","1,247,927,402","1,329,888,459","1,144,760,416","965,695,684","1,036,833,881","656,654,559","514,101,378"
Paid Up Capital,"8,032,935,630","5,284,071,920","5,284,071,920","5,284,071,920","1,321,017,980","313,632,000","139,392,000","139,392,000","139,392,000","126,720,000","126,720,000","115,200,000"
Reserves,"-13,265,668,477","-10,271,275,785","-4,565,973,929","-1,797,649,632","480,166,472","-441,601,603","-97,386,012","37,374,767","164,389,493","140,112,880","110,742,893","94,603,656"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"1,243,724,345","1,309,417,781","1,424,377,761","1,458,968,052","440,355,621","463,279,159","47,604,856","54,816,453","55,788,265","57,041,597","21,671,986","22,045,563"
Shareholder Equity,"-3,989,008,502","-3,677,786,084","2,142,475,752","4,945,390,340","2,241,540,073","335,309,556","89,610,844","231,583,220","359,569,758","323,874,477","259,134,879","231,849,219"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"803,293,563","528,407,192","528,407,192","528,407,192","132,101,798","31,363,200","13,939,200","13,939,200","13,939,200","12,672,000","12,672,000","11,520,000"
