Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Cash in Hand and Bank,"168,609,750","50,624,704","320,868,504","192,259,670","248,143,222","487,512,972","371,131,886","130,639,915","122,394,087","161,527,915","212,336,936","302,135,981","150,213,968"
Current Assets,"3,839,710,560","3,849,499,022","3,994,811,176","3,257,684,543","2,608,529,000","2,281,279,117","1,893,900,029","1,404,851,777","1,818,589,709","1,531,467,249","1,299,650,574","1,163,360,330","1,300,793,747"
Musharika & Morabaha finances-Assets,"7,002,500,914","6,939,904,873","5,595,932,174","4,291,637,804","3,051,518,340","1,729,117,245","1,061,119,580","546,817,996","382,437,331","233,350,862","70,052,653","25,255,125",0
Investments,"768,406,670","1,117,360,806","1,258,858,121","1,298,684,499","1,011,035,269","985,220,547","975,232,743","997,145,487","1,486,001,027","1,251,322,307","1,036,692,562","826,977,168","1,125,791,101"
Fixed Assets,"69,428,828","43,948,839","30,137,307","2,452,523,076","2,733,764,155","8,637,666","11,204,147","2,955,065,960","2,509,192,154","2,378,559,091","2,441,631,217","2,103,719,481","2,723,613,279"
Total Assets,"9,913,057,271","11,124,024,230","10,279,256,656","8,366,650,980","7,160,749,780","6,393,290,656","5,392,994,749","4,719,286,707","4,565,495,764","4,075,214,557","3,775,202,662","3,281,203,131","4,025,651,207"
Total Current Liabilities,"6,025,447,844","7,185,647,765","6,303,091,966","4,652,980,385","3,540,633,267","2,793,134,849","1,894,270,800","1,401,488,276","1,229,923,741","820,814,466","725,860,536","527,695,660","778,516,397"
Total Non Current Liabilities,"254,055,404","301,774,323","416,028,462","241,767,687","304,061,240","343,300,486","290,104,583","264,938,447","209,078,717","194,775,644","157,146,637","135,358,226","400,316,632"
Musharika & Morabaha finances-Liability,"5,279,731,965","6,149,278,129","5,682,714,400","3,913,784,732","3,050,913,721","2,360,079,584","1,533,668,767","1,007,807,729","969,290,959","613,289,892","515,291,426","349,831,923","810,219,291"
Total Liabilities,"6,279,503,248","7,487,422,088","6,719,120,428","4,894,748,072","3,844,694,507","3,136,435,335","2,184,375,383","1,666,426,723","1,439,002,458","1,015,590,110","883,007,173","663,053,886","1,178,833,029"
Paid Up Capital,"1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000","1,008,000,000"
Reserves,"2,538,683,912","2,503,722,123","2,434,258,336","2,463,902,908","2,308,055,273","2,248,855,321","2,200,619,366","2,044,859,984","2,118,493,306","2,051,624,447","1,884,195,489","1,610,149,245","1,838,818,178"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"3,633,554,023","3,636,602,142","3,560,136,228","3,471,902,908","3,316,055,273","3,256,855,321","3,208,619,366","3,052,859,984","3,126,493,306","3,059,624,447","2,892,195,489","2,618,149,245","2,846,818,178"
Paid Up Value,5,5,5,5,5,5,5,5,5,5,5,5,5
Number of Shares,"201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000","201,600,000"
Surplus On Revaluation of Assets,"86,870,111","124,880,019","117,877,892",0,0,0,0,0,0,0,0,0,0
