Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Operating Income,"1,106,824,492","905,832,867","585,788,945","539,840,175","475,517,680","440,336,495","391,507,973","365,849,805","378,915,055","1,437,269,658","1,348,643,308","1,666,234,691","1,666,786,130"
Other Income,"169,560,968","131,430,541","113,419,396","103,658,269","105,362,647","127,339,888","124,150,840","955,770,578","169,718,647","91,645,196","93,777,281","87,874,356","177,951,166"
Operating Expenses,"146,727,604","126,031,313","100,936,009","88,621,151","80,770,950","74,774,955","70,750,329","68,146,219","57,882,578","1,146,700,084","1,078,809,284","1,357,193,541","1,390,266,795"
Financial Charges,"765,344,450","543,465,072","264,299,889","203,084,962","155,345,333","138,968,139","114,767,714","102,499,415","91,737,334","66,172,247","50,851,357","75,015,126","155,401,738"
Other Expenses,"47,630,335","48,081,861","43,551,403","47,191,408","46,461,149","47,432,948","44,697,341","158,585,164","54,671,843","38,120,545","45,339,407","78,287,875","30,213,535"
Change in Value of Investment,0,0,"-860,483",0,0,0,0,0,0,0,0,0,0
EBT,"316,683,071","319,685,162","289,560,557","304,600,923","298,302,894","306,500,341","285,443,429","992,389,585","344,341,947","277,921,978","267,420,541","243,612,505","268,855,228"
Tax,0,0,0,"10,083,761",0,0,0,0,0,0,0,0,0
PAT,"316,683,071","319,685,162","289,560,557","294,517,162","298,302,894","306,500,341","285,443,429","992,389,585","344,341,947","277,921,978","267,420,541","243,612,505","268,855,228"
EPS,1.57,1.59,1.44,1.46,1.48,1.52,1.42,4.92,1.71,1.38,1.33,1.21,1.5
