Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2010,2009,2009,2008
Cash in Hand and Bank,"18,970,744","11,346,950","14,070,366","7,427,068","61,300,889","9,969,276","19,768,400","29,763,921","28,403,992","2,548,881,000","6,887,662","2,073,321,000","48,053,916","1,862,545,000"
Current Assets,"358,107,199","331,110,421","402,120,673","357,050,405","325,366,958","285,263,814","266,131,951","304,041,632","341,734,437",0,"216,965,823",0,"180,877,508",0
Musharika & Morabaha finances-Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,"1,104,182","9,410,881,000","1,275,085","10,037,950,000","796,473","10,294,970,000"
Fixed Assets,"6,413,376","9,294,441","11,644,710","12,008,848","12,497,055","6,703,667","6,989,826","3,955,977","6,089,851","2,179,707,000","7,534,703","2,321,845,000","5,247,538","2,414,783,000"
Total Assets,"365,005,377","341,228,937","415,089,462","370,778,598","339,942,376","292,243,219","273,544,875","308,616,451","348,008,080","39,479,376,000","224,989,438","35,490,705,000","186,316,236","39,803,003,000"
Total Current Liabilities,"166,173,322","171,868,769","255,191,865","212,043,453","180,339,947","146,238,525","140,707,824","162,152,552","217,317,425",0,"104,671,230",0,"76,988,642",0
Total Non Current Liabilities,"37,573,333","30,196,633","25,036,785","21,263,114","19,429,784","16,376,541","15,361,748","13,713,762","11,190,455",0,"8,140,466",0,"6,819,710",0
Musharika & Morabaha finances-Liability,"91,266,958","74,637,490","35,230,606","34,371,227","35,013,364","26,885,708","29,308,807","33,622,539","43,018,771",0,"7,627,316",0,0,0
Total Liabilities,"203,746,655","202,065,402","280,228,650","233,306,567","199,769,731","162,615,066","156,069,572","175,866,314","228,507,880","35,333,510,000","112,811,696","30,385,841,000","83,808,352","33,659,935,000"
Paid Up Capital,"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","30,000,000","5,303,582,000","30,000,000","5,303,582,000","30,000,000","5,303,582,000"
Reserves,"131,258,722","109,163,535","104,860,812","107,472,031","110,172,645","99,628,153","87,475,303","102,750,137","89,500,200","-2,091,498,000","82,177,742","-1,068,350,000","72,507,884","550,148,000"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shareholder Equity,"161,258,722","139,163,535","134,860,812","137,472,031","140,172,645","129,628,153","117,475,303","132,750,137","119,500,200","4,145,866,000","112,177,742","5,104,864,000","102,507,884","6,143,068,000"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","530,358,200","3,000,000","530,358,200","3,000,000","530,358,200"
Surplus On Revaluation of Assets,0,0,0,0,0,0,0,0,0,"933,782,000",0,"869,632,000",0,"289,338,000"
