Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2010,2009,2009,2008
Operating Income,"126,368,096","132,777,616","897,589,842","118,611,259","128,668,383","106,031,661","80,363,300","90,913,711","98,803,832","78,067,825",0,"58,779,251",0,0
Other Income,"1,109,572","1,540,650","508,463","3,210,048","1,101,731","702,424","2,969,188","2,329,373","2,108,636","2,428,505",0,"1,760,198",0,0
Operating Expenses,"63,025,876","64,826,520","753,652,187","54,444,056","46,822,304","43,087,929","37,674,317","31,497,554","35,347,489","29,724,391",0,"25,113,937",0,0
Financial Charges,"7,302,670","8,100,991","2,564,394","2,346,026","2,062,754",0,0,"3,761,064","5,076,093","1,837,513",0,"3,715,712",0,0
Other Expenses,"503,322","2,822,193","68,777,037",0,0,"3,777,394","2,595,169",0,"5,441,328","1,072,332",0,0,0,0
Change in Value of Investment,0,0,0,0,0,0,0,0,"-29,681","478,612",0,"-1,727,402",0,0
EBT,"56,645,800","58,568,562","73,104,687","65,031,225","80,885,056","59,868,762","43,063,002","57,984,466","55,017,877","48,340,706","-1,078,191,000","29,982,398","-2,156,512,000","-760,825,000"
Tax,"21,531,245","33,258,445","42,553,921","31,731,839","38,867,964","32,715,912","26,547,365","25,234,529","30,418,429","19,770,848","-34,780,000","7,917,314","-516,683,000","-410,532,000"
PAT,"35,114,555","25,310,117","30,550,766","33,299,386","42,017,092","27,152,850","16,515,637","32,749,937","24,599,448","28,569,858","-1,043,411,000","22,065,084","-1,639,829,000","-350,293,000"
EPS,11.7,8.44,10.18,11.1,14.01,9.05,5.51,10.92,8.2,9.52,-1.97,7.36,-3.09,-0.79
