Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Fixed Assets,"13,286,873,693","11,216,453,717","6,639,761,686","5,636,893,465","5,282,375,198","5,163,980,638","5,234,261,754","5,033,425,637","4,940,369,960","4,901,092,134","4,856,004,029","4,754,732,832","4,696,595,213"
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash in Hand and Bank,"23,392,025","58,687,596","114,882,063","15,099,725","46,349,157","24,331,420","3,633,070","8,410,171","6,091,450","9,738,656","944,374","6,365,666","14,611,976"
Stores and Spares,"799,103,679","751,322,337","727,988,564","438,035,187","273,383,958","180,080,442","164,335,375","360,763,306","350,465,195","14,443,881","39,320,838","29,174,560","6,513,412"
Stock in Trade,"1,307,317,011","457,639,437","316,862,420","210,155,475","218,229,743","396,878,718","360,094,547","252,631,093","110,181,988","368,283,760","423,596,305","425,981,534","404,629,135"
Trade Debts,"3,488,183","10,031,693","8,590,135","3,429,583","1,118,954","6,360,421","5,121,993","8,558,614","5,921,194","6,260,889","448,881","10,792,073","11,508,033"
Current Assets,"3,003,401,243","2,220,207,707","3,090,355,949","1,573,418,169","1,018,604,825","895,760,306","736,287,613","778,473,782","636,696,291","553,670,027","692,300,326","673,708,476","659,210,727"
Quick Assets,"896,980,553","1,011,245,933","2,045,504,965","925,227,507","526,991,124","318,801,146","211,857,691","165,079,383","176,049,108","170,942,386","229,383,183","218,552,382","248,068,180"
Total Assets,"16,323,155,087","13,469,541,575","9,761,534,518","7,228,904,794","6,319,573,183","6,101,534,104","6,012,342,527","5,853,692,579","5,600,266,251","5,454,762,161","5,548,304,355","5,428,441,308","5,355,805,940"
Interest Bearing Long Term Liability,"3,440,947,104","1,684,107,580","972,976,153","484,112,250","63,860,835","201,673,479","289,107,717","149,850,000","153,701,668","172,624,201","185,590,759","37,693,666","46,345,168"
Non Interest Bearing Long Term Liability,"342,732,268","386,749,700","1,613,549,831","592,895,003","313,831,930","64,828,819","331,755,841","554,221,474","594,063,487","505,329,673","415,126,233","302,916,125","17,505,000"
Interest Bearing Short Term Liability,"1,593,563,299","565,029,638","942,846,637","81,052,367","110,353,089","96,268,833","92,117,512","92,448,221","89,860,731","261,892,215","178,532,352","294,355,721","223,831,033"
* Non Interest Bearing Short Term Liability,"2,200,036,341","1,977,309,742","1,681,337,685","1,706,456,943","1,628,364,367","1,677,452,619","1,400,091,580","1,303,236,466","998,861,754","539,191,883","566,924,725","378,757,663","413,167,407"
Trades Payables,"2,200,036,341","1,977,309,742","1,681,337,685","1,699,856,315","1,601,324,909","1,576,765,243","1,299,404,204","1,224,521,814","936,566,701","506,872,934","563,957,431","349,128,710","131,340,172"
Total Current Liabilities,"3,800,659,166","2,584,515,474","2,663,864,615","1,821,319,033","1,771,924,390","1,805,745,250","1,502,531,941","1,395,684,687","1,088,722,485","808,323,585","745,860,161","673,113,384","637,789,931"
Total Liabilities,"8,167,092,210","5,237,773,892","5,842,804,316","3,491,722,251","2,743,722,455","2,671,441,811","2,699,342,718","2,641,056,825","2,398,748,230","2,281,731,393","2,229,332,166","1,937,295,573","1,702,913,449"
Paid Up Capital,"1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000","1,760,000,000"
Reserves,"2,368,396,460","2,380,831,201","692,095,204","479,767,159","287,026,785","109,218,800","-39,175,722","-171,003,903","-213,741,429","-274,493,777","-161,475,923","-22,897,852","104,567,807"
Preferred Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
Surplus On Revaluation of Assets,"4,027,666,417","4,090,936,482","1,466,634,998","1,497,415,385","1,528,823,943","1,560,873,493","1,592,175,531","1,623,639,657","1,655,259,450","1,687,524,545","1,720,448,111","1,754,043,587","1,788,324,684"
Shareholder Equity,"8,156,062,877","8,231,767,683","3,918,730,202","3,737,182,544","3,575,850,728","3,430,092,293","3,312,999,809","3,212,635,754","3,201,518,021","3,173,030,768","3,318,972,188","3,491,145,735","3,652,892,491"
Paid Up Value,10,10,10,10,10,10,10,10,10,10,10,10,10
Number of Shares,"176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000","176,000,000"
