Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Sales,"1,079,508,134","3,271,374,910","2,910,361,399","2,470,224,763","2,475,777,927","2,222,797,816","2,064,569,791","841,229,501","1,307,903,515","723,948,685","80,616,760","666,072,160","158,298,146"
COGS,"1,541,891,726","3,080,761,888","2,653,476,436","2,266,867,959","2,309,063,450","2,103,185,113","1,958,591,535","846,380,883","1,477,297,999","886,966,148","239,689,273","815,030,174","435,416,978"
Gross Profit,"-462,383,592","190,613,022","256,884,963","203,356,804","166,714,477","119,612,703","105,978,256","-5,151,382","-169,394,484","-163,017,463","-159,072,513","-148,958,014","-277,118,832"
Administrative Expenses,"57,679,187","48,959,179","46,480,725","39,545,994","26,394,127","25,356,493","18,705,521","12,205,218","9,223,472","10,247,210","11,796,194","17,725,117","19,264,003"
Selling & Distributive Expenses,"8,290,495","9,091,095","7,314,275","6,059,253","5,199,911","4,788,441","3,577,763","2,799,631","4,634,666","3,999,096","2,982,274","7,021,029","3,815,269"
Financial Charges,"79,963,580","32,719,230","43,865,443","8,084,273","2,915,487","1,417,342","22,870,285","23,791,338","73,321,272","45,066,748","28,118,910","65,715,079","31,141,035"
Other Income,"95,491,568","98,460,744","91,725,324","64,374,591","78,381,977","114,976,074","102,596,695","73,697,968",0,0,0,0,0
Change In Value of Investment,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,0,"14,142,870","17,815,495","15,161,151","15,252,023","14,651,219","12,079,497",0,0,"77,693",0,"30,583",0
EBITDA,"-295,429,712","307,388,260","369,128,665","301,039,701","290,138,933","283,632,359","269,653,561","144,148,248","-93,901,363","-85,866,599","-97,758,904","-98,332,298","-223,905,691"
EBIT,"-432,861,706","216,880,622","276,999,792","206,964,997","198,250,393","189,792,624","174,212,170","53,541,737","-183,252,622","-177,341,461","-173,850,982","-173,734,743","-300,198,104"
EBT,"-512,825,286","184,161,392","233,134,349","198,880,724","195,334,906","188,375,282","151,341,885","29,750,399","-256,573,894","-222,408,209","-201,969,892","-239,449,822","-331,339,139"
Tax,"17,894,634","41,799,006","51,626,560","37,624,875","49,638,438","71,240,471","50,983,546","18,632,666","-285,061,147","-76,466,790","-29,796,345","-77,703,066","-58,751,892"
PAT,"-530,719,920","142,362,386","181,507,789","161,255,849","145,696,468","117,134,811","100,358,339","11,117,733","28,487,253","-145,941,419","-172,173,547","-161,746,756","-272,587,247"
EPS,-2.91,0.81,1.03,1.13,1.11,0.67,0.86,0.17,0.16,-1.26,-1.15,-1.36,-1.88
