Year,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Payout,30.02,39.95,49.97,40.86,40.55,24.34,22.24,18.20,35.28,0.07,0.00
Plow Back,69.98,60.05,50.03,59.14,59.45,75.66,77.76,81.80,64.72,99.93,0.00
Return on Equity,13.89,29.80,17.02,17.16,29.84,23.23,20.85,18.47,9.22,16.37,0.00
Return on Assets,6.82,17.63,11.79,13.29,24.57,18.31,13.43,10.86,5.25,7.12,0.00
Book Value per Share,56.12,53.35,42.91,38.50,33.88,26.57,21.60,17.90,15.40,12.62,39.46
Earning Per Share,7.80,15.90,7.30,6.61,10.11,6.17,4.50,3.31,1.42,2.07,0.00
Net Working Capital to Total Asseets,0.21,0.25,0.26,0.36,0.42,0.36,0.27,0.24,0.18,0.11,0.16
Current Ratio,1.54,1.73,1.94,2.76,3.79,3.00,1.84,1.68,1.52,1.23,1.49
Acid Test,0.98,1.11,1.24,1.67,2.23,1.77,0.91,0.74,0.66,0.54,0.53
Times Interest Earned,10.46,40.91,33.71,35.01,50.38,79.31,6.71,7.39,2.96,3.21,0.00
Total Debt Ratio,0.51,0.41,0.31,0.23,0.18,0.21,0.36,0.41,0.43,0.56,0.40
Debt To Equity,1.04,0.69,0.44,0.29,0.21,0.27,0.55,0.70,0.76,1.30,0.66
Return on Capital Employed,0.14,0.29,0.17,0.17,0.31,0.25,0.26,0.22,0.16,0.23,0.00
Average Collection Period,79.65,95.23,87.02,79.37,51.65,58.77,54.26,60.15,48.86,75.07,0.00
Days sales Inventory,141.02,123.65,97.44,94.43,93.64,75.76,94.94,128.31,99.61,134.69,0.00
Total Assets Turnover,0.72,0.86,0.93,1.07,1.27,1.38,1.40,1.18,1.30,1.07,0.00
Gross Profit Margin,24.05,26.12,22.16,20.17,28.35,22.30,18.90,19.03,14.30,18.14,0.00
Net Profit Margin,9.41,20.48,12.64,12.43,19.38,13.26,9.59,9.24,4.03,6.64,0.00
